workerId;assignmentId;hitId;curtime;OSName;browserName;country;IP;trialn;shown;response;feedback;responseTime;fbcondition;phase;score
AWE8DF2ZY0LB2;20W5UUKQOYGN2AEWQJFG610ALRAFXP;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391427;Windows;Chrome-22;India;122.164.41.191;1;25;40;25;10598;1;-1;4
AWE8DF2ZY0LB2;20W5UUKQOYGN2AEWQJFG610ALRAFXP;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391434;Windows;Chrome-22;India;122.164.41.191;2;105;30;105;4169;1;-1;4
AWE8DF2ZY0LB2;20W5UUKQOYGN2AEWQJFG610ALRAFXP;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391440;Windows;Chrome-22;India;122.164.41.191;3;352;180;352;3813;1;-1;5
ABSUHBDLLVK01;2TOKUDD8XMB3AHM8YMXUZO6WXAPODI;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391442;Windows;Chrome-22;India;124.155.255.185;1;198;52;198;7840;0;-1;0
AWE8DF2ZY0LB2;20W5UUKQOYGN2AEWQJFG610ALRAFXP;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391445;Windows;Chrome-22;India;122.164.41.191;4;313;400;313;2175;1;-1;13
AWE8DF2ZY0LB2;20W5UUKQOYGN2AEWQJFG610ALRAFXP;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391451;Windows;Chrome-22;India;122.164.41.191;5;170;300;170;4389;1;-1;15
ABSUHBDLLVK01;2TOKUDD8XMB3AHM8YMXUZO6WXAPODI;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391452;Windows;Chrome-22;India;124.155.255.185;2;70;65;70;5964;0;-1;10
AWE8DF2ZY0LB2;20W5UUKQOYGN2AEWQJFG610ALRAFXP;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391457;Windows;Chrome-22;India;122.164.41.191;6;459;450;459;2527;1;-1;25
ABSUHBDLLVK01;2TOKUDD8XMB3AHM8YMXUZO6WXAPODI;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391459;Windows;Chrome-22;India;124.155.255.185;3;138;210;138;4511;0;-1;15
AWQ2DG8RUK1ZS;299HRRLFQ0ON794QZV8OFEGU430QH1;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391460;Windows;Chrome-23;United States;74.62.120.82;1;397;245;397;11056;-1;-1;4
AWE8DF2ZY0LB2;20W5UUKQOYGN2AEWQJFG610ALRAFXP;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391462;Windows;Chrome-22;India;122.164.41.191;7;272;350;272;2519;1;-1;33
ABSUHBDLLVK01;2TOKUDD8XMB3AHM8YMXUZO6WXAPODI;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391465;Windows;Chrome-22;India;124.155.255.185;4;378;250;378;3151;0;-1;20
AWE8DF2ZY0LB2;20W5UUKQOYGN2AEWQJFG610ALRAFXP;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391467;Windows;Chrome-22;India;122.164.41.191;8;312;420;312;2331;1;-1;40
A2PEL01IY4YBLJ;20NJ8EBDPGFLQ9PYUA0RTDWLHRVG1X;2RCC26DG67D1HH89DVRCUK2K782E7J;1352391468;Windows;Chrome-22;India;122.174.101.16;1;356;0;356;23695;-1;-1;0
