part,num_dots,answer,feedback,a,points,time
1,5,5,False,0.000000,0,6.18
1,201,300,False,0.000000,0,11.46
1,15,20,False,0.000000,0,3.35
1,5,4,False,0.000000,0,1.99
1,3,3,False,0.000000,0,1.27
1,47,50,False,0.000000,0,2.45
1,54,75,False,0.000000,0,6.36
1,68,100,False,0.000000,0,1.39
1,63,100,False,0.000000,0,2.28
1,70,100,False,0.000000,0,1.89
1,34,50,False,0.000000,0,2.00
1,84,100,False,0.000000,0,1.37
1,76,200,False,0.000000,0,2.20
1,81,100,False,0.000000,0,1.25
1,9,10,False,0.000000,0,1.24
1,27,30,False,0.000000,0,2.22
1,50,40,False,0.000000,0,1.77
1,91,100,False,0.000000,0,1.32
1,16,20,False,0.000000,0,1.86
1,160,100,False,0.000000,0,1.27
1,16,15,False,0.000000,0,1.85
1,73,50,False,0.000000,0,4.52
1,98,100,False,0.000000,0,0.97
1,38,50,False,0.000000,0,1.73
1,36,50,False,0.000000,0,2.97
1,72,100,False,0.000000,0,2.29
1,13,20,False,0.000000,0,1.18
1,42,30,False,0.000000,0,1.69
1,100,100,False,0.000000,0,1.20
1,87,100,False,0.000000,0,2.66
1,8,10,False,0.000000,0,0.99
1,37,300,False,0.000000,0,4.07
1,31,50,False,0.000000,0,3.11
1,88,100,False,0.000000,0,0.95
1,10,10,False,0.000000,0,0.78
1,6,6,False,0.000000,0,2.88
1,45,20,False,0.000000,0,5.12
1,5,5,False,0.000000,0,2.45
1,50,30,False,0.000000,0,1.14
1,80,50,False,0.000000,0,1.93
1,200,100,False,0.000000,0,2.18
1,30,20,False,0.000000,0,1.29
1,5,5,False,0.000000,0,2.31
1,35,20,False,0.000000,0,1.55
1,4,4,False,0.000000,0,1.40
1,37,30,False,0.000000,0,3.47
1,57,100,False,0.000000,0,1.42
1,12,25,False,0.000000,0,3.50
1,112,100,False,0.000000,0,1.16
1,25,30,False,0.000000,0,2.95
1,55,100,False,0.000000,0,1.70
1,9,15,False,0.000000,0,1.95
1,146,100,False,0.000000,0,1.26
1,63,100,False,0.000000,0,1.06
1,25,20,False,0.000000,0,1.18
1,27,30,False,0.000000,0,2.29
1,10,10,False,0.000000,0,3.39
1,10,10,False,0.000000,0,2.65
1,19,15,False,0.000000,0,1.91
1,82,50,False,0.000000,0,1.82
1,4,4,False,0.000000,0,1.56
1,49,20,False,0.000000,0,2.84
1,2,2,False,0.000000,0,0.74
1,65,100,False,0.000000,0,1.61
1,115,100,False,0.000000,0,2.41
1,178,200,False,0.000000,0,1.69
1,132,125,False,0.000000,0,3.27
1,3,3,False,0.000000,0,1.11
1,29,30,False,0.000000,0,2.36
1,160,100,False,0.000000,0,1.03
1,75,50,False,0.000000,0,1.32
1,29,25,False,0.000000,0,3.16
1,11,15,False,0.000000,0,1.82
1,11,10,False,0.000000,0,3.13
1,31,25,False,0.000000,0,2.35
1,21,20,False,0.000000,0,2.14
1,68,40,False,0.000000,0,3.80
1,32,30,False,0.000000,0,1.95
1,203,125,False,0.000000,0,2.36
1,7,7,False,0.000000,0,3.18
1,73,30,False,0.000000,0,1.85
1,3,3,False,0.000000,0,1.30
1,4,4,False,0.000000,0,1.29
1,84,20,False,0.000000,0,2.17
1,15,15,False,0.000000,0,4.07
1,23,20,False,0.000000,0,2.77
1,5,5,False,0.000000,0,2.12
1,19,15,False,0.000000,0,1.80
1,43,25,False,0.000000,0,2.38
1,111,50,False,0.000000,0,2.06
1,2,2,False,0.000000,0,1.81
1,141,100,False,0.000000,0,1.36
1,97,100,False,0.000000,0,2.97
1,55,50,False,0.000000,0,1.62
1,4,4,False,0.000000,0,1.34
1,112,100,False,0.000000,0,1.62
1,65,100,False,0.000000,0,1.35
1,15,20,False,0.000000,0,1.09
1,4,4,False,0.000000,0,1.55
1,3,3,False,0.000000,0,1.12
2,15,10,True,0.750000,8,1.12
2,121,100,True,0.750000,7,0.91
2,94,75,True,0.750000,6,2.69
2,17,15,True,0.750000,9,4.28
2,134,100,True,0.750000,7,1.63
2,4,4,True,0.750000,10,1.22
2,3,3,True,0.750000,10,1.22
2,122,100,True,0.750000,7,2.63
2,107,100,True,0.750000,7,2.05
2,74,150,True,0.750000,10,2.87
2,32,30,True,0.750000,3,2.16
2,4,4,True,0.750000,10,1.43
2,24,20,True,0.750000,9,1.67
2,6,5,True,0.750000,9,1.34
2,8,7,True,0.750000,9,2.89
2,97,75,True,0.750000,6,2.45
2,18,15,True,0.750000,9,2.49
