part,num_dots,answer,feedback,a,points,time
1,92,20,False,0.000000,0,7.66
1,14,10,False,0.000000,0,6.21
1,110,50,False,0.000000,0,3.11
1,14,10,False,0.000000,0,3.19
1,11,10,False,0.000000,0,3.40
1,126,40,False,0.000000,0,3.78
1,44,20,False,0.000000,0,2.82
1,71,30,False,0.000000,0,1.30
1,39,20,False,0.000000,0,1.21
1,154,50,False,0.000000,0,1.35
1,29,10,False,0.000000,0,1.33
1,24,10,False,0.000000,0,2.87
1,17,10,False,0.000000,0,1.38
1,17,10,False,0.000000,0,1.32
1,8,5,False,0.000000,0,2.15
1,50,40,False,0.000000,0,1.84
1,22,10,False,0.000000,0,2.50
1,20,10,False,0.000000,0,1.30
1,64,30,False,0.000000,0,2.40
1,26,20,False,0.000000,0,5.91
1,6,5,False,0.000000,0,1.60
1,37,20,False,0.000000,0,3.86
1,76,40,False,0.000000,0,3.94
1,29,20,False,0.000000,0,2.33
1,45,30,False,0.000000,0,1.53
1,15,10,False,0.000000,0,1.50
1,35,20,False,0.000000,0,1.35
1,5,4,False,0.000000,0,1.37
1,8,7,False,0.000000,0,3.44
1,6,6,False,0.000000,0,3.38
1,144,60,False,0.000000,0,2.18
1,33,30,False,0.000000,0,3.01
1,27,20,False,0.000000,0,1.35
1,4,4,False,0.000000,0,1.54
1,7,7,False,0.000000,0,4.03
1,73,40,False,0.000000,0,2.04
1,50,30,False,0.000000,0,2.04
1,68,40,False,0.000000,0,1.29
1,46,40,False,0.000000,0,1.34
1,79,50,False,0.000000,0,1.55
1,70,50,False,0.000000,0,1.44
1,17,20,False,0.000000,0,1.59
1,30,20,False,0.000000,0,1.16
1,15,10,False,0.000000,0,1.27
1,65,20,False,0.000000,0,1.79
1,34,15,False,0.000000,0,1.91
1,85,30,False,0.000000,0,2.46
1,39,20,False,0.000000,0,1.24
1,127,50,False,0.000000,0,1.75
1,69,50,False,0.000000,0,1.14
1,37,40,False,0.000000,0,1.17
1,62,40,False,0.000000,0,1.34
1,18,10,False,0.000000,0,1.69
1,69,30,False,0.000000,0,2.42
1,30,20,False,0.000000,0,1.39
1,128,50,False,0.000000,0,1.58
1,17,10,False,0.000000,0,1.45
1,4,4,False,0.000000,0,1.39
1,18,10,False,0.000000,0,1.68
1,14,10,False,0.000000,0,3.64
1,98,40,False,0.000000,0,2.19
1,109,50,False,0.000000,0,3.65
1,103,50,False,0.000000,0,1.37
1,14,10,False,0.000000,0,2.97
1,80,50,False,0.000000,0,1.85
1,15,10,False,0.000000,0,1.40
1,49,20,False,0.000000,0,1.51
1,6,5,False,0.000000,0,2.73
1,53,30,False,0.000000,0,3.85
1,13,10,False,0.000000,0,1.27
1,20,10,False,0.000000,0,1.05
1,106,30,False,0.000000,0,2.62
1,22,20,False,0.000000,0,1.11
1,15,10,False,0.000000,0,1.02
1,23,15,False,0.000000,0,3.00
1,50,30,False,0.000000,0,1.88
1,56,30,False,0.000000,0,0.90
1,32,30,False,0.000000,0,0.78
1,16,20,False,0.000000,0,1.42
1,78,40,False,0.000000,0,2.20
1,4,4,False,0.000000,0,1.34
1,42,20,False,0.000000,0,2.99
1,27,10,False,0.000000,0,1.33
1,16,10,False,0.000000,0,1.02
1,107,40,False,0.000000,0,1.65
1,54,30,False,0.000000,0,1.22
1,69,40,False,0.000000,0,0.97
1,77,40,False,0.000000,0,1.00
1,82,40,False,0.000000,0,1.47
1,32,20,False,0.000000,0,1.67
1,15,10,False,0.000000,0,1.08
1,21,10,False,0.000000,0,0.87
1,44,20,False,0.000000,0,1.00
1,3,3,False,0.000000,0,1.82
1,30,10,False,0.000000,0,1.62
1,76,20,False,0.000000,0,6.17
1,2,2,False,0.000000,0,1.00
1,109,30,False,0.000000,0,1.68
1,67,30,False,0.000000,0,1.20
1,82,30,False,0.000000,0,0.92
2,8,6,True,0.750000,9,7.57
2,33,15,True,0.750000,1,2.91
2,20,10,True,0.750000,7,3.82
2,13,10,True,0.750000,9,1.47
2,21,10,True,0.750000,7,5.84
2,24,16,True,0.750000,8,2.49
2,38,22,True,0.750000,2,2.12
2,124,50,True,0.750000,4,2.11
2,72,40,True,0.750000,3,1.70
2,28,17,True,0.750000,8,3.17
2,52,20,True,0.750000,2,3.49
2,2,2,True,0.750000,10,1.04
2,175,70,True,0.750000,5,3.24
2,138,80,True,0.750000,6,1.96
2,24,10,True,0.750000,6,1.65
2,2,2,True,0.750000,10,1.04
2,22,9,True,0.750000,6,3.92
2,14,9,True,0.750000,8,1.22
2,90,45,True,0.750000,4,2.55
2,59,30,True,0.750000,3,4.86
2,15,10,True,0.750000,8,2.10
2,38,20,True,0.750000,2,1.43
2,15,10,True,0.750000,8,1.36
2,24,10,True,0.750000,6,1.95
2,84,30,True,0.750000,3,1.51
2,30,20,True,0.750000,8,1.23
2,101,40,True,0.750000,3,1.43
2,37,22,True,0.750000,2,2.94
2,3,3,True,0.750000,10,1.34
2,100,60,True,0.750000,5,1.88
2,144,80,True,0.750000,6,1.97
2,45,20,True,0.750000,2,1.91
2,24,10,True,0.750000,6,1.26
2,71,40,True,0.750000,3,2.65
2,50,30,True,0.750000,3,2.36
2,99,50,True,0.750000,4,1.65
