part,num_dots,answer,feedback,a,points,time
1,67,200,False,0.000000,0,6.24
1,36,80,False,0.000000,0,1.87
1,110,90,False,0.000000,0,2.21
1,29,70,False,0.000000,0,1.18
1,13,3,False,0.000000,0,2.47
1,23,6,False,0.000000,0,0.98
1,30,60,False,0.000000,0,2.49
1,45,100,False,0.000000,0,1.72
1,9,10,False,0.000000,0,1.42
1,4,9,False,0.000000,0,3.66
1,37,90,False,0.000000,0,1.14
1,37,70,False,0.000000,0,2.23
1,15,30,False,0.000000,0,1.61
1,37,50,False,0.000000,0,1.33
1,65,150,False,0.000000,0,3.42
1,77,140,False,0.000000,0,1.27
1,176,300,False,0.000000,0,2.04
1,118,200,False,0.000000,0,2.54
1,82,170,False,0.000000,0,1.82
1,2,2,False,0.000000,0,0.78
1,164,190,False,0.000000,0,2.54
1,36,100,False,0.000000,0,1.57
1,48,120,False,0.000000,0,3.71
1,173,250,False,0.000000,0,2.66
1,2,2,False,0.000000,0,0.79
1,36,80,False,0.000000,0,1.41
1,192,200,False,0.000000,0,1.54
1,25,30,False,0.000000,0,0.87
1,44,20,False,0.000000,0,0.71
1,38,80,False,0.000000,0,0.94
1,45,40,False,0.000000,0,1.21
1,84,30,False,0.000000,0,0.98
1,20,40,False,0.000000,0,1.96
1,10,10,False,0.000000,0,1.19
1,17,10,False,0.000000,0,0.69
1,56,50,False,0.000000,0,1.67
1,16,30,False,0.000000,0,1.11
1,31,30,False,0.000000,0,0.81
1,13,30,False,0.000000,0,0.42
1,52,50,False,0.000000,0,1.14
1,68,100,False,0.000000,0,1.04
1,114,100,False,0.000000,0,0.86
1,5,60,False,0.000000,0,1.61
1,8,4,False,0.000000,0,1.47
1,8,10,False,0.000000,0,1.07
1,35,50,False,0.000000,0,1.44
1,72,50,False,0.000000,0,3.82
1,50,70,False,0.000000,0,2.03
1,49,70,False,0.000000,0,0.96
1,30,50,False,0.000000,0,1.07
1,43,50,False,0.000000,0,0.84
1,60,50,False,0.000000,0,0.65
1,41,60,False,0.000000,0,0.82
1,111,150,False,0.000000,0,1.29
1,96,150,False,0.000000,0,0.96
1,36,100,False,0.000000,0,0.82
1,88,130,False,0.000000,0,1.61
1,132,200,False,0.000000,0,1.09
1,130,250,False,0.000000,0,1.26
1,70,10,False,0.000000,0,1.72
1,31,100,False,0.000000,0,1.04
1,5,5,False,0.000000,0,1.13
1,7,7,False,0.000000,0,3.13
1,155,200,False,0.000000,0,1.34
1,93,200,False,0.000000,0,1.06
1,89,250,False,0.000000,0,2.09
1,44,100,False,0.000000,0,1.11
1,16,30,False,0.000000,0,2.24
1,53,70,False,0.000000,0,1.42
1,28,77,False,0.000000,0,2.21
1,9,15,False,0.000000,0,1.99
1,33,30,False,0.000000,0,1.32
1,81,90,False,0.000000,0,1.65
1,16,30,False,0.000000,0,1.61
1,33,40,False,0.000000,0,3.57
1,30,30,False,0.000000,0,1.08
1,24,20,False,0.000000,0,0.84
1,15,20,False,0.000000,0,0.67
1,2,2,False,0.000000,0,0.63
1,2,2,False,0.000000,0,0.37
1,23,40,False,0.000000,0,1.05
1,5,5,False,0.000000,0,0.93
1,11,15,False,0.000000,0,1.81
1,53,100,False,0.000000,0,2.01
1,71,100,False,0.000000,0,0.91
1,105,100,False,0.000000,0,0.64
1,134,100,False,0.000000,0,1.49
1,59,100,False,0.000000,0,0.93
1,70,100,False,0.000000,0,1.48
1,13,20,False,0.000000,0,1.87
1,27,100,False,0.000000,0,1.93
1,6,6,False,0.000000,0,2.53
1,41,70,False,0.000000,0,4.11
1,26,60,False,0.000000,0,1.66
1,53,100,False,0.000000,0,1.39
1,48,100,False,0.000000,0,0.94
1,28,100,False,0.000000,0,0.73
1,80,100,False,0.000000,0,1.17
1,17,100,False,0.000000,0,1.27
1,10,100,False,0.000000,0,1.51
2,30,100,True,0.750000,5,1.17
2,10,8,True,0.750000,9,2.84
2,56,400,True,0.750000,20,2.37
2,42,180,True,0.750000,11,3.65
2,15,14,True,0.750000,10,4.05
2,110,150,True,0.750000,10,2.78
2,45,90,True,0.750000,6,1.71
2,11,9,True,0.750000,9,3.13
2,23,20,True,0.750000,9,1.41
2,47,30,True,0.750000,3,1.02
2,106,200,True,0.750000,12,1.54
2,64,150,True,0.750000,10,3.31
2,20,90,True,0.750000,3,1.77
2,16,40,True,0.750000,6,2.54
2,12,12,True,0.750000,10,4.16
2,46,10,True,0.750000,1,1.60
2,100,100,True,0.750000,7,1.60
2,84,100,True,0.750000,7,0.57
2,55,150,True,0.750000,10,1.55
2,39,70,True,0.750000,5,1.35
2,48,10,True,0.750000,1,1.25
2,104,200,True,0.750000,12,1.97
2,5,5,True,0.750000,10,1.09
2,35,5,True,0.750000,0,2.06
2,134,250,True,0.750000,14,2.18
2,35,40,True,0.750000,3,2.48
2,15,20,True,0.750000,9,1.57
2,19,20,True,0.750000,10,1.14
2,49,20,True,0.750000,2,1.61
2,22,50,True,0.750000,6,1.88
2,11,15,True,0.750000,9,1.77
2,41,70,True,0.750000,5,1.42
2,117,200,True,0.750000,12,1.87
2,86,200,True,0.750000,12,0.77
2,25,200,True,0.750000,1,1.83
2,16,100,True,0.750000,2,1.92
2,16,20,True,0.750000,9,1.41
2,42,30,True,0.750000,3,0.86
2,29,50,True,0.750000,8,1.05
2,40,7,True,0.750000,1,0.75
2,33,60,True,0.750000,5,0.95
2,40,70,True,0.750000,5,0.85
2,21,80,True,0.750000,4,1.12
2,156,250,True,0.750000,14,1.37
2,57,250,True,0.750000,14,1.26
2,38,100,True,0.750000,7,1.27
2,3,3,True,0.750000,10,1.22
2,188,300,True,0.750000,16,1.91
2,50,300,True,0.750000,16,1.89
2,94,300,True,0.750000,16,0.53
2,180,300,True,0.750000,16,0.85
2,21,300,True,0.750000,0,0.56
2,14,200,True,0.750000,0,1.02
2,9,10,True,0.750000,10,0.80
2,78,200,True,0.750000,12,0.93
2,32,10,True,0.750000,1,0.75
2,5,6,True,0.750000,9,1.15
2,88,10,True,0.750000,1,0.91
2,5,5,True,0.750000,10,1.05
2,83,100,True,0.750000,7,1.25
2,32,50,True,0.750000,4,1.18
2,64,60,True,0.750000,5,2.97
2,43,200,True,0.750000,12,1.02
2,52,100,True,0.750000,7,1.00
2,32,100,True,0.750000,7,0.94
2,107,100,True,0.750000,7,0.89
2,63,100,True,0.750000,7,0.76
2,96,100,True,0.750000,7,0.50
2,105,100,True,0.750000,7,1.04
2,31,100,True,0.750000,7,0.81
2,75,200,True,0.750000,12,1.10
2,7,10,True,0.750000,8,1.15
2,38,50,True,0.750000,4,1.05
2,12,40,True,0.750000,5,2.81
2,44,80,True,0.750000,6,1.40
2,153,300,True,0.750000,16,1.36
2,18,20,True,0.750000,10,1.00
2,87,150,True,0.750000,10,1.23
2,89,180,True,0.750000,11,1.42
2,26,40,True,0.750000,8,1.40
2,37,60,True,0.750000,5,0.96
2,41,60,True,0.750000,5,0.67
2,12,60,True,0.750000,3,0.84
2,77,100,True,0.750000,7,0.94
2,15,40,True,0.750000,6,1.84
2,40,40,True,0.750000,3,0.85
2,26,30,True,0.750000,9,0.77
2,76,60,True,0.750000,5,1.29
2,73,70,True,0.750000,5,0.90
2,41,10,True,0.750000,1,0.32
2,23,100,True,0.750000,4,0.52
2,34,200,True,0.750000,12,1.01
2,12,30,True,0.750000,6,1.84
2,34,30,True,0.750000,3,1.13
2,35,30,True,0.750000,3,1.83
2,15,30,True,0.750000,7,0.85
2,58,60,True,0.750000,5,1.25
2,46,70,True,0.750000,5,0.70
2,27,30,True,0.750000,10,1.09
2,48,35,True,0.750000,3,2.47
3,30,25,False,0.000000,0,3.14
3,9,10,False,0.000000,0,1.47
3,54,20,False,0.000000,0,1.72
3,2,2,False,0.000000,0,0.72
3,45,50,False,0.000000,0,1.04
3,32,60,False,0.000000,0,1.47
3,98,150,False,0.000000,0,1.52
3,61,150,False,0.000000,0,1.24
3,9,10,False,0.000000,0,1.09
3,101,100,False,0.000000,0,2.12
3,7,20,False,0.000000,0,2.23
3,93,100,False,0.000000,0,1.37
3,85,100,False,0.000000,0,0.65
3,47,80,False,0.000000,0,1.19
3,4,4,False,0.000000,0,1.02
3,69,70,False,0.000000,0,1.25
3,49,50,False,0.000000,0,1.59
3,53,80,False,0.000000,0,1.12
3,22,30,False,0.000000,0,1.01
3,17,30,False,0.000000,0,0.81
3,24,30,False,0.000000,0,0.49
3,31,30,False,0.000000,0,0.40
3,43,50,False,0.000000,0,0.22
3,3,3,False,0.000000,0,0.77
3,15,20,False,0.000000,0,1.66
3,111,100,False,0.000000,0,1.72
3,5,5,False,0.000000,0,1.04
3,3,3,False,0.000000,0,0.86
3,72,150,False,0.000000,0,1.47
3,31,10,False,0.000000,0,0.90
3,4,4,False,0.000000,0,0.98
3,45,100,False,0.000000,0,1.03
3,113,100,False,0.000000,0,0.83
3,70,130,False,0.000000,0,1.66
3,36,120,False,0.000000,0,1.16
3,46,80,False,0.000000,0,0.91
3,34,70,False,0.000000,0,0.53
3,7,10,False,0.000000,0,1.05
3,53,100,False,0.000000,0,1.22
3,110,100,False,0.000000,0,0.63
3,9,10,False,0.000000,0,1.94
3,16,15,False,0.000000,0,1.57
3,70,30,False,0.000000,0,1.21
3,95,50,False,0.000000,0,0.99
3,17,25,False,0.000000,0,1.61
3,98,100,False,0.000000,0,1.67
3,2,2,False,0.000000,0,0.69
3,4,4,False,0.000000,0,0.74
3,4,4,False,0.000000,0,0.79
3,57,60,False,0.000000,0,1.21
3,47,50,False,0.000000,0,0.96
3,48,40,False,0.000000,0,1.14
3,8,10,False,0.000000,0,0.95
3,28,50,False,0.000000,0,1.92
3,26,50,False,0.000000,0,0.42
3,9,10,False,0.000000,0,0.69
3,38,100,False,0.000000,0,0.98
3,44,80,False,0.000000,0,1.30
3,51,90,False,0.000000,0,0.85
3,61,100,False,0.000000,0,0.84
3,67,120,False,0.000000,0,1.16
3,6,7,False,0.000000,0,2.39
3,24,20,False,0.000000,0,1.23
3,119,100,False,0.000000,0,1.10
3,6,6,False,0.000000,0,2.04
3,11,10,False,0.000000,0,1.00
3,7,7,False,0.000000,0,2.15
3,31,20,False,0.000000,0,1.26
3,19,20,False,0.000000,0,0.49
3,137,80,False,0.000000,0,2.79
3,17,20,False,0.000000,0,1.22
3,78,90,False,0.000000,0,0.95
3,25,50,False,0.000000,0,1.03
3,45,60,False,0.000000,0,0.63
3,30,70,False,0.000000,0,0.60
3,46,70,False,0.000000,0,0.76
3,87,70,False,0.000000,0,0.48
3,75,50,False,0.000000,0,0.38
3,31,40,False,0.000000,0,1.08
3,20,30,False,0.000000,0,0.55
3,27,30,False,0.000000,0,0.41
3,21,20,False,0.000000,0,0.46
3,47,30,False,0.000000,0,0.55
3,15,10,False,0.000000,0,0.86
3,53,20,False,0.000000,0,0.56
3,8,10,False,0.000000,0,0.61
3,35,30,False,0.000000,0,0.71
3,147,60,False,0.000000,0,0.86
3,54,70,False,0.000000,0,0.62
3,38,80,False,0.000000,0,0.74
3,61,80,False,0.000000,0,0.47
3,18,330,False,0.000000,0,0.99
3,66,30,False,0.000000,0,0.33
3,11,10,False,0.000000,0,0.93
3,21,30,False,0.000000,0,0.91
3,40,20,False,0.000000,0,1.02
3,7,6,False,0.000000,0,1.34
3,28,40,False,0.000000,0,1.49
3,184,10,False,0.000000,0,1.06
3,4,4,False,0.000000,0,2.02
4,141,10,True,1.250000,0,1.36
4,15,10,True,1.250000,8,0.85
4,26,20,True,1.250000,9,2.34
4,79,100,True,1.250000,13,1.10
4,19,40,True,1.250000,7,1.46
4,37,20,True,1.250000,1,1.56
4,13,10,True,1.250000,9,0.69
4,222,100,True,1.250000,13,0.78
4,46,90,True,1.250000,11,0.87
4,58,90,True,1.250000,11,0.82
4,39,70,True,1.250000,8,1.63
4,7,10,True,1.250000,8,0.97
4,166,200,True,1.250000,32,1.32
4,31,90,True,1.250000,11,1.55
4,16,80,True,1.250000,3,0.68
4,68,70,True,1.250000,8,0.75
4,40,780,True,1.250000,176,1.02
4,37,899,True,1.250000,210,1.71
4,105,988,True,1.250000,236,0.52
4,35,77,True,1.250000,9,0.57
4,75,10,True,1.250000,0,0.61
4,66,20,True,1.250000,1,1.66
4,48,100,True,1.250000,13,1.03
4,99,90,True,1.250000,11,1.11
4,12,88,True,1.250000,1,0.26
4,9,300,True,1.250000,0,0.53
4,6,6,True,1.250000,10,1.12
4,35,10,True,1.250000,0,1.28
4,108,200,True,1.250000,32,2.11
4,18,90,True,1.250000,3,1.42
4,10,10,True,1.250000,10,0.69
4,20,10,True,1.250000,7,0.56
4,46,20,True,1.250000,1,0.97
4,35,50,True,1.250000,5,0.88
4,33,600,True,1.250000,126,1.33
4,42,600,True,1.250000,126,0.98
4,24,500,True,1.250000,0,0.51
4,6,10,True,1.250000,8,1.15
4,60,800,True,1.250000,181,1.15
4,43,200,True,1.250000,32,0.77
4,37,300,True,1.250000,53,0.45
4,10,300,True,1.250000,0,0.87
4,81,800,True,1.250000,181,1.37
4,20,20,True,1.250000,10,1.27
4,4,4,True,1.250000,10,0.96
4,101,300,True,1.250000,53,1.51
4,42,200,True,1.250000,32,0.63
4,44,80,True,1.250000,10,1.92
4,24,555,True,1.250000,0,1.55
4,23,800,True,1.250000,0,1.00
4,8,10,True,1.250000,9,0.72
4,36,20,True,1.250000,1,0.67
4,55,30,True,1.250000,3,0.24
4,46,300,True,1.250000,53,0.64
4,64,70,True,1.250000,8,1.96
4,25,80,True,1.250000,5,0.53
4,46,80,True,1.250000,10,0.58
4,157,200,True,1.250000,32,1.43
4,20,300,True,1.250000,0,0.51
4,72,200,True,1.250000,32,0.47
4,25,300,True,1.250000,0,0.82
4,21,10,True,1.250000,7,0.62
4,217,400,True,1.250000,76,1.30
4,19,20,True,1.250000,10,1.46
4,5,5,True,1.250000,10,0.81
4,4,4,True,1.250000,10,0.71
4,7,7,True,1.250000,10,1.70
4,20,40,True,1.250000,7,1.18
4,78,80,True,1.250000,10,1.35
4,7,10,True,1.250000,8,1.26
4,70,90,True,1.250000,11,1.38
4,12,25,True,1.250000,7,2.04
