part,num_dots,answer,feedback,a,points,time
1,111,65,False,0.000000,0,3.97
1,115,71,False,0.000000,0,2.07
1,24,20,False,0.000000,0,3.39
1,7,5,False,0.000000,0,1.51
1,35,33,False,0.000000,0,3.32
1,23,21,False,0.000000,0,2.62
1,12,14,False,0.000000,0,2.84
1,87,45,False,0.000000,0,2.52
1,27,20,False,0.000000,0,2.68
1,25,19,False,0.000000,0,2.19
1,44,38,False,0.000000,0,2.67
1,52,37,False,0.000000,0,1.91
1,64,55,False,0.000000,0,2.62
1,47,45,False,0.000000,0,1.43
1,18,11,False,0.000000,0,2.18
1,18,12,False,0.000000,0,1.10
1,82,65,False,0.000000,0,3.72
1,13,9,False,0.000000,0,1.99
1,74,55,False,0.000000,0,2.83
1,3,3,False,0.000000,0,1.00
1,23,18,False,0.000000,0,3.17
1,69,56,False,0.000000,0,3.29
1,36,46,False,0.000000,0,1.89
1,33,30,False,0.000000,0,1.46
1,73,56,False,0.000000,0,2.19
1,29,37,False,0.000000,0,2.01
1,2,2,False,0.000000,0,0.92
1,4,4,False,0.000000,0,1.09
1,39,37,False,0.000000,0,2.61
1,35,47,False,0.000000,0,1.41
1,33,45,False,0.000000,0,2.52
1,68,67,False,0.000000,0,1.62
1,64,58,False,0.000000,0,1.77
1,55,60,False,0.000000,0,2.34
1,124,100,False,0.000000,0,3.61
1,34,20,False,0.000000,0,1.84
1,62,45,False,0.000000,0,1.61
1,25,34,False,0.000000,0,2.84
1,34,23,False,0.000000,0,4.71
1,14,16,False,0.000000,0,2.32
1,42,39,False,0.000000,0,2.78
1,58,56,False,0.000000,0,2.14
1,4,4,False,0.000000,0,1.18
1,53,49,False,0.000000,0,1.39
1,85,88,False,0.000000,0,1.86
1,2,2,False,0.000000,0,0.84
1,5,4,False,0.000000,0,0.96
1,21,21,False,0.000000,0,2.78
1,21,23,False,0.000000,0,1.45
1,71,56,False,0.000000,0,1.31
1,88,83,False,0.000000,0,2.76
1,19,22,False,0.000000,0,3.54
1,21,20,False,0.000000,0,1.19
1,19,20,False,0.000000,0,2.01
1,8,8,False,0.000000,0,2.67
1,40,23,False,0.000000,0,1.72
1,15,34,False,0.000000,0,1.74
1,37,45,False,0.000000,0,1.04
1,52,56,False,0.000000,0,1.31
1,148,120,False,0.000000,0,2.07
1,17,19,False,0.000000,0,3.10
1,12,12,False,0.000000,0,1.96
1,72,46,False,0.000000,0,2.12
1,22,32,False,0.000000,0,1.31
1,64,57,False,0.000000,0,3.46
1,24,21,False,0.000000,0,1.11
1,45,33,False,0.000000,0,1.24
1,45,43,False,0.000000,0,1.04
1,25,34,False,0.000000,0,0.81
1,22,22,False,0.000000,0,0.68
1,60,76,False,0.000000,0,1.48
1,32,45,False,0.000000,0,0.88
1,125,96,False,0.000000,0,2.51
1,52,74,False,0.000000,0,1.19
1,39,32,False,0.000000,0,1.11
1,134,66,False,0.000000,0,1.86
1,61,43,False,0.000000,0,1.57
1,195,150,False,0.000000,0,2.05
1,34,25,False,0.000000,0,2.98
1,21,15,False,0.000000,0,1.96
1,10,9,False,0.000000,0,1.41
1,2,2,False,0.000000,0,1.14
1,52,43,False,0.000000,0,1.46
1,74,54,False,0.000000,0,1.11
1,40,32,False,0.000000,0,0.94
1,87,75,False,0.000000,0,1.20
1,12,13,False,0.000000,0,2.09
1,77,34,False,0.000000,0,2.42
1,7,6,False,0.000000,0,1.77
1,8,7,False,0.000000,0,1.06
1,52,34,False,0.000000,0,1.27
1,101,56,False,0.000000,0,1.79
1,29,43,False,0.000000,0,1.39
1,49,39,False,0.000000,0,2.92
1,15,14,False,0.000000,0,3.53
1,27,23,False,0.000000,0,1.29
1,18,21,False,0.000000,0,1.81
1,16,17,False,0.000000,0,2.91
1,71,43,False,0.000000,0,1.29
1,20,23,False,0.000000,0,2.94
2,16,2,True,1.250000,1,1.77
2,66,34,True,1.250000,3,2.28
2,121,67,True,1.250000,8,3.12
2,59,23,True,1.250000,2,1.79
2,65,34,True,1.250000,3,2.01
2,4,4,True,1.250000,10,1.21
2,89,56,True,1.250000,6,2.43
2,4,4,True,1.250000,10,1.29
2,5,4,True,1.250000,9,1.09
2,9,8,True,1.250000,9,1.52
2,28,20,True,1.250000,9,2.83
2,9,8,True,1.250000,9,2.09
2,22,23,True,1.250000,10,1.60
2,33,30,True,1.250000,3,3.06
2,38,45,True,1.250000,5,1.39
2,20,21,True,1.250000,10,2.35
2,68,56,True,1.250000,6,1.48
2,5,4,True,1.250000,9,1.22
2,38,43,True,1.250000,4,3.88
2,122,80,True,1.250000,10,2.91
2,9,5,True,1.250000,7,1.38
2,24,54,True,1.250000,6,4.01
2,55,65,True,1.250000,7,1.65
2,13,13,True,1.250000,10,2.33
2,33,43,True,1.250000,4,4.17
2,138,89,True,1.250000,11,1.79
2,84,89,True,1.250000,11,2.54
2,41,45,True,1.250000,5,1.50
2,87,89,True,1.250000,11,2.23
2,10,23,True,1.250000,6,3.18
2,24,45,True,1.250000,7,1.43
2,126,78,True,1.250000,9,1.93
2,21,40,True,1.250000,7,2.70
2,48,34,True,1.250000,3,1.27
2,51,45,True,1.250000,5,1.34
2,25,16,True,1.250000,8,2.67
2,62,34,True,1.250000,3,1.08
2,8,7,True,1.250000,9,1.67
2,17,9,True,1.250000,7,1.85
2,27,19,True,1.250000,8,2.10
2,22,25,True,1.250000,9,1.75
2,50,56,True,1.250000,6,1.31
2,45,45,True,1.250000,5,1.26
2,45,33,True,1.250000,3,1.62
2,106,78,True,1.250000,9,2.19
2,189,100,True,1.250000,13,1.74
2,21,32,True,1.250000,8,4.63
2,131,99,True,1.250000,13,1.63
2,17,78,True,1.250000,3,2.82
2,17,4,True,1.250000,4,1.73
2,13,35,True,1.250000,6,2.41
2,18,33,True,1.250000,7,3.34
2,46,34,True,1.250000,3,1.92
2,59,50,True,1.250000,5,2.22
2,14,19,True,1.250000,9,3.45
2,7,7,True,1.250000,10,1.57
2,120,84,True,1.250000,10,2.73
2,3,3,True,1.250000,10,1.00
2,11,9,True,1.250000,9,1.67
2,36,28,True,1.250000,2,2.49
2,47,40,True,1.250000,4,2.25
2,59,50,True,1.250000,5,1.57
2,30,29,True,1.250000,10,2.77
2,33,33,True,1.250000,3,1.65
2,31,31,True,1.250000,3,1.87
2,63,45,True,1.250000,5,1.67
2,14,12,True,1.250000,9,2.42
2,27,63,True,1.250000,6,4.78
2,4,4,True,1.250000,10,0.99
2,12,45,True,1.250000,4,1.43
2,15,28,True,1.250000,7,2.44
2,9,21,True,1.250000,6,2.40
2,64,67,True,1.250000,8,2.20
2,54,78,True,1.250000,9,1.77
2,13,15,True,1.250000,9,2.24
2,18,21,True,1.250000,9,1.48
2,13,34,True,1.250000,6,1.06
2,31,23,True,1.250000,2,1.36
2,58,73,True,1.250000,9,2.05
2,26,34,True,1.250000,9,1.13
2,8,11,True,1.250000,9,1.49
2,4,4,True,1.250000,10,1.08
2,56,19,True,1.250000,1,1.74
2,8,9,True,1.250000,9,2.06
2,12,33,True,1.250000,6,2.81
2,24,24,True,1.250000,10,1.18
2,10,22,True,1.250000,7,2.92
2,6,7,True,1.250000,9,2.08
2,170,100,True,1.250000,13,1.22
2,9,21,True,1.250000,6,1.91
2,27,43,True,1.250000,8,1.34
2,71,88,True,1.250000,11,2.04
2,62,88,True,1.250000,11,1.25
2,3,3,True,1.250000,10,1.06
2,47,44,True,1.250000,4,1.77
2,61,76,True,1.250000,9,1.26
2,68,56,True,1.250000,6,1.05
2,44,47,True,1.250000,5,1.45
2,16,44,True,1.250000,6,1.07
2,7,9,True,1.250000,9,1.36
3,7,3,False,0.000000,0,1.48
3,150,100,False,0.000000,0,1.71
3,51,23,False,0.000000,0,1.04
3,41,45,False,0.000000,0,2.49
3,15,21,False,0.000000,0,1.82
