Subject: C03BO
trial	startTime	responseTime	vary	n	response	Rdot	Rspace	Nrings	Feedback	points	score
1	43349	13143	space	75	57	11	31.67	7	75	8	8
2	61251	15416	size	432	117	15	15.00	14	432	0	8
3	79776	4935	space	38	35	11	44.34	5	38	9	17
4	88046	7129	area	360	176	11	11.00	13	360	0	17
5	98221	6630	space	25	19	11	55.43	4	25	8	25
6	107195	4424	space	96	67	11	31.67	7	96	7	32
7	114138	4936	space	149	180	11	24.63	9	149	9	41
8	121161	9735	size	153	82	24	24.00	9	153	2	43
9	132519	5095	area	55	66	11	11.00	6	55	9	52
10	139269	4904	space	69	85	11	36.95	6	69	9	61
11	145395	3977	size	158	67	24	24.00	9	158	0	61
12	150484	7384	size	156	93	24	24.00	9	156	4	65
13	159281	3689	size	10	9	73	73.00	3	10	9	74
14	164241	4583	area	41	37	11	11.00	5	41	9	83
15	169760	4969	size	142	66	24	24.00	9	142	0	83
16	175631	3639	area	66	88	11	11.00	6	66	8	91
17	180238	4456	size	29	32	44	44.00	5	29	9	100
18	186077	4712	area	77	76	11	11.00	7	77	9	109
19	192347	2761	area	40	77	11	11.00	5	40	1	110
20	196092	3128	size	108	88	27	27.00	8	108	9	119
21	200203	5416	size	12	12	73	73.00	3	12	10	129
22	207546	5223	area	154	180	11	11.00	9	154	9	138
23	213673	4598	space	94	150	11	31.67	7	94	5	143
24	219176	3735	area	24	32	11	11.00	4	24	8	151
25	223751	4311	area	25	31	11	11.00	4	25	9	160
26	228934	2272	size	47	45	44	44.00	5	0	9	169
27	234149	5647	space	42	50	11	44.34	5	0	9	178
28	241716	2319	area	13	13	11	11.00	3	0	10	188
29	246083	5695	space	238	357	11	20.15	11	0	6	194
30	252818	4383	area	170	420	11	11.00	9	0	0	194
31	258320	3264	space	278	420	11	18.48	12	0	6	200
32	262464	3200	area	52	88	11	11.00	6	0	4	204
33	266431	4384	size	383	390	15	15.00	14	0	9	213
34	271822	6047	size	52	87	36	36.00	6	0	4	217
35	278653	2944	size	69	66	36	36.00	6	0	9	226
36	282364	3039	space	120	99	11	27.71	8	0	9	235
37	286140	6063	area	50	82	11	11.00	6	0	5	240
38	292923	4623	area	111	112	11	11.00	8	0	9	249
39	298506	2703	space	222	225	11	20.15	11	0	9	258
40	301993	4032	size	256	222	20	20.00	11	0	9	267
41	306808	3712	area	51	111	11	11.00	6	0	0	267
42	311367	5616	area	38	61	11	11.00	5	0	5	272
43	317734	2336	area	37	44	11	11.00	5	0	9	281
44	320918	3454	space	60	66	11	36.95	6	0	9	290
45	325045	3760	size	14	14	73	73.00	3	0	10	300
46	329988	4688	area	140	168	11	11.00	9	0	9	309
47	335587	4544	space	129	146	11	27.71	8	0	9	318
48	340786	2928	size	233	355	20	20.00	11	0	6	324
49	344546	2639	area	21	21	11	11.00	4	0	10	334
50	348304	6688	area	19	34	11	11.00	4	0	3	337
51	355808	2526	size	14	13	73	73.00	3	0	9	346
52	359071	3792	area	214	267	11	11.00	10	0	9	355
53	363726	3088	size	17	17	55	55.00	4	0	10	365
54	367982	3231	space	129	237	11	27.71	8	0	2	367
55	372221	4015	size	36	58	44	44.00	5	0	5	372
56	376844	6847	size	98	167	31	31.00	7	0	4	376
57	384427	4783	area	80	109	11	11.00	7	0	8	384
58	390026	3342	space	28	19	11	55.43	4	0	6	390
59	394057	4703	size	54	70	36	36.00	6	0	8	398
60	399496	4192	size	115	140	27	27.00	8	0	9	407
61	404519	2783	space	122	200	11	27.71	8	0	5	412
62	408247	3038	size	165	240	24	24.00	9	0	7	419
63	411878	4703	space	399	400	11	15.84	14	0	9	428
64	417493	3440	area	57	90	11	11.00	6	0	5	433
