Subject: C13EC
trial	startTime	responseTime	vary	n	response	Rdot	Rspace	Nrings	Feedback	points	score
1	32141	12839	size	38	30	44	44.00	5	38	8	8
2	47466	7896	size	49	36	36	36.00	6	49	8	16
3	58568	13096	size	145	106	24	24.00	9	145	8	24
4	74790	14261	area	50	32	11	11.00	6	50	6	30
5	91811	5464	size	71	64	36	36.00	6	71	9	39
6	98722	5750	area	11	9	11	11.00	3	11	9	48
7	107599	11464	area	290	211	11	11.00	12	290	7	55
8	122109	12454	size	40	34	44	44.00	5	40	9	64
9	136907	6695	size	187	185	22	22.00	10	187	9	73
10	147081	8360	size	43	39	44	44.00	5	43	9	82
11	157879	11768	size	119	111	27	27.00	8	119	9	91
12	171541	5144	size	104	115	27	27.00	8	104	9	100
13	180067	8279	area	13	13	11	11.00	3	13	9	109
14	190306	9143	size	23	27	55	55.00	4	23	9	118
15	201392	7766	area	58	38	11	11.00	6	58	6	124
16	211166	10437	space	134	76	11	27.71	8	134	3	127
17	223884	9685	space	19	22	11	55.43	4	19	9	136
18	237433	5959	space	45	70	11	44.34	5	45	6	142
19	247144	4504	size	94	74	31	31.00	7	94	8	150
20	252631	5576	size	152	167	24	24.00	9	152	9	159
21	260389	4937	size	102	134	27	27.00	8	102	8	167
22	266084	6617	size	391	276	15	15.00	14	391	7	174
23	274371	15382	area	149	80	11	11.00	9	149	2	176
24	292320	5911	space	63	61	11	36.95	6	63	9	185
25	299679	8006	area	18	14	11	11.00	4	18	8	193
26	309437	9742	space	27	29	11	55.43	4	0	9	202
27	324346	4831	size	45	33	44	44.00	5	0	8	210
28	333657	4879	size	75	72	31	31.00	7	0	9	219
29	341160	5918	size	46	38	44	44.00	5	0	9	228
30	348710	4527	space	28	32	11	55.43	4	0	9	237
31	355685	4479	area	49	54	11	11.00	6	0	9	246
32	361636	4543	area	85	72	11	11.00	7	0	9	255
33	367683	9758	space	181	184	11	22.17	10	0	9	264
34	378721	8398	space	21	17	11	55.43	4	0	9	273
35	388431	6271	space	150	210	11	24.63	9	0	7	280
36	396302	7454	space	58	81	11	36.95	6	0	7	287
37	405052	5199	space	125	137	11	27.71	8	0	9	296
38	411227	10862	space	260	224	11	20.15	11	0	9	305
39	423849	3263	space	81	87	11	31.67	7	0	9	314
40	428136	7727	size	273	165	18	18.00	12	0	4	318
41	437095	5663	area	104	65	11	11.00	8	0	5	323
42	443973	9023	size	10	11	73	73.00	3	0	9	332
43	454900	4815	size	55	34	36	36.00	6	0	5	337
44	460995	3055	space	205	180	11	22.17	10	0	9	346
45	465218	9838	area	181	130	11	11.00	10	0	7	353
46	477776	5806	size	15	14	55	55.00	4	0	9	362
47	485150	3248	area	90	67	11	11.00	7	0	8	370
48	489630	6941	size	109	147	27	27.00	8	0	8	378
49	497980	7775	area	17	18	11	11.00	4	0	9	387
50	508746	6814	space	275	269	11	18.48	12	0	9	396
51	519272	12942	size	354	281	17	17.00	13	0	8	404
52	535526	8222	area	24	22	11	11.00	4	0	9	413
53	545620	3391	size	67	60	36	36.00	6	0	9	422
54	550291	6943	space	12	13	11	73.90	3	0	9	431
55	559169	5967	size	92	34	31	31.00	7	0	0	431
56	567599	4160	size	192	156	22	22.00	10	0	9	440
57	573551	5375	size	33	37	44	44.00	5	0	9	449
58	580206	3151	size	43	42	44	44.00	5	0	9	458
59	583917	3280	size	49	44	36	36.00	6	0	9	467
60	587884	5855	area	13	12	11	11.00	3	0	9	476
61	594523	6319	area	37	29	11	11.00	5	0	8	484
62	601962	30331	space	56	50	11	36.95	6	0	9	493
63	636292	7039	size	211	221	22	22.00	10	0	9	502
64	645378	4080	area	470	450	11	11.00	15	0	9	511
65	651249	4351	size	376	330	15	15.00	14	0	9	520
66	656416	6623	size	40	31	44	44.00	5	0	8	528
67	664287	6063	space	14	14	11	73.90	3	0	9	537
68	672334	6031	size	148	77	24	24.00	9	0	1	538
69	679996	6527	size	176	149	22	22.00	10	0	9	547
70	687851	4511	size	70	76	36	36.00	6	0	9	556
71	693194	15661	area	130	81	11	11.00	8	0	5	561
72	709991	4511	space	117	109	11	27.71	8	0	9	570
