Subject: C14VC
trial	startTime	responseTime	vary	n	response	Rdot	Rspace	Nrings	Feedback	points	score
1	41991	4231	space	102	46	11	27.71	8	102	0	0
2	48358	2519	space	22	15	11	55.43	4	22	7	7
3	53093	2216	area	108	50	11	11.00	8	108	0	7
4	57172	2792	space	125	80	11	27.71	8	125	6	13
5	61795	2585	size	156	100	24	24.00	9	156	6	19
6	66259	5606	area	20	14	11	11.00	4	20	7	26
7	73568	4040	size	75	35	31	31.00	7	75	0	26
8	79136	2665	size	145	60	24	24.00	9	145	0	26
9	82368	1880	area	95	60	11	11.00	7	95	5	31
10	84895	2505	size	64	40	36	36.00	6	64	5	36
11	88415	2648	size	10	9	73	73.00	3	10	9	45
12	92462	2487	space	15	15	11	55.43	4	15	9	54
13	96269	2426	space	571	200	11	13.86	16	571	0	54
14	99229	3000	space	24	14	11	55.43	4	24	4	58
15	102893	2103	area	42	30	11	11.00	5	42	7	65
16	105676	2199	space	51	20	11	36.95	6	51	0	65
17	108315	2712	space	55	50	11	36.95	6	55	9	74
18	111883	2135	space	124	100	11	27.71	8	124	9	83
19	114601	4999	space	74	19	11	31.67	7	74	0	83
20	120425	2457	size	69	40	36	36.00	6	69	4	87
21	123241	3258	size	353	560	17	17.00	13	353	5	92
22	127192	2792	size	62	40	36	36.00	6	62	6	98
23	130663	3400	size	14	14	73	73.00	3	14	9	107
24	136294	3496	space	58	79	11	36.95	6	58	8	115
25	140486	2583	area	61	30	11	11.00	6	61	0	115
26	143493	2544	space	16	25	11	55.43	4	0	5	120
27	147780	2032	area	13	9	11	11.00	3	0	7	127
28	151348	2143	size	192	400	22	22.00	10	0	0	127
29	154803	1791	space	105	100	11	27.71	8	0	9	136
30	158483	1823	size	24	19	55	55.00	4	0	8	144
31	161010	1280	area	46	50	11	11.00	5	0	9	153
32	162994	1631	space	210	1000	11	22.17	10	0	0	153
33	165473	2976	size	75	120	31	31.00	7	0	5	158
34	169265	2015	area	236	400	11	11.00	11	0	4	162
35	172208	1584	size	89	50	31	31.00	7	0	3	165
36	174128	1024	size	70	50	36	36.00	6	0	7	172
37	175648	1407	space	86	50	11	31.67	7	0	4	176
38	177727	1120	size	118	50	27	27.00	8	0	0	176
39	179679	1823	size	21	20	55	55.00	4	0	9	185
40	181918	1695	size	133	60	27	27.00	8	0	0	185
41	184238	1792	space	19	14	11	55.43	4	0	8	193
42	186622	1807	space	73	70	11	31.67	7	0	9	202
43	188861	1520	size	64	40	36	36.00	6	0	5	207
44	190669	1520	space	20	20	11	55.43	4	0	9	216
45	192541	2239	space	167	200	11	24.63	9	0	9	225
46	195164	1680	space	53	400	11	36.95	6	0	0	225
47	197308	4079	area	56	27	11	11.00	6	0	0	225
48	201739	3311	space	29	20	11	44.34	5	0	7	232
49	205498	3904	size	150	100	24	24.00	9	0	6	238
50	209978	2495	area	12	8	11	11.00	3	0	6	244
51	212841	1727	space	15	15	11	55.43	4	0	9	253
52	214921	2654	area	146	87	11	11.00	9	0	4	257
53	218088	3839	area	35	47	11	11.00	5	0	8	265
54	222471	1904	size	16	10	55	55.00	4	0	5	270
55	224503	2176	size	292	1000	18	18.00	12	0	0	270
56	226951	3407	area	43	58	11	11.00	5	0	8	278
57	230646	2991	space	261	368	11	20.15	11	0	7	285
58	233893	2496	area	227	3867	11	11.00	11	0	0	285
59	236693	3743	space	75	100	11	31.67	7	0	8	293
60	240788	2272	area	235	90	11	11.00	11	0	0	293
61	243540	4175	size	110	0100	27	27.00	8	0	9	302
62	248291	4047	size	45	50	44	44.00	5	0	9	311
63	253218	2016	space	18	19	11	55.43	4	0	9	320
64	255730	1343	space	21	19	11	55.43	4	0	9	329
65	257281	1488	area	18	20	11	11.00	4	0	9	338
66	259153	2256	size	215	90	22	22.00	10	0	0	338
67	262496	3360	area	50	40	11	11.00	6	0	9	347
68	266544	1823	area	90	40	11	11.00	7	0	0	347
69	268623	1248	space	162	100	11	24.63	9	0	5	352
70	270223	1792	area	22	20	11	11.00	4	0	9	361
71	272303	1743	area	133	80	11	11.00	8	0	4	365
72	274190	1296	size	35	40	44	44.00	5	0	9	374
73	275678	1456	space	12	20	11	73.90	3	0	4	378
74	277310	3135	size	169	120	24	24.00	9	0	7	385
75	280669	1760	space	83	100	11	31.67	7	0	9	394
76	282637	1712	space	21	40	11	55.43	4	0	1	395
77	284493	1391	size	19	10	55	55.00	4	0	2	397
78	286172	1568	space	107	90	11	27.71	8	0	9	406
79	287900	1344	space	44	90	11	44.34	5	0	0	406
80	289436	1055	area	88	90	11	11.00	7	0	9	415
81	290715	1360	space	99	90	11	31.67	7	0	9	424
82	292379	1424	size	85	80	31	31.00	7	0	9	433
83	293963	1728	area	10	10	11	11.00	3	0	9	442
84	295867	1263	size	64	30	36	36.00	6	0	0	442
85	297450	1984	area	113	60	11	11.00	8	0	2	444
86	299674	1680	area	155	60	11	11.00	9	0	0	444
87	301513	1552	area	46	60	11	11.00	5	0	8	452
88	303209	1568	space	24	30	11	55.43	4	0	8	460
89	304905	1056	area	45	30	11	11.00	5	0	6	466
90	306105	1503	area	146	80	11	11.00	9	0	2	468
91	307752	1872	space	82	60	11	31.67	7	0	8	476
92	309768	1056	size	190	90	22	22.00	10	0	0	476
93	310984	1136	size	56	68	36	36.00	6	0	9	485
94	312344	1279	space	91	30	11	31.67	7	0	0	485
95	313783	960	space	51	30	11	36.95	6	0	4	489
96	314871	960	space	27	20	11	55.43	4	0	8	497
97	315975	960	size	32	20	44	44.00	5	0	5	502
98	317095	1808	area	458	100	11	11.00	15	0	0	502
99	319047	1919	area	133	1440	11	11.00	8	0	0	502
100	321750	1200	space	98	100	11	31.67	7	0	9	511
101	323078	1184	size	50	40	36	36.00	6	0	9	520
102	324406	959	space	11	10	11	73.90	3	0	9	529
103	325477	976	size	98	50	31	31.00	7	0	0	529
104	326629	1200	area	48	780	11	11.00	5	0	0	529
105	327925	1168	area	14	40	11	11.00	3	0	0	529
106	329189	1184	space	58	60	11	36.95	6	0	9	538
107	330533	1038	size	78	60	31	31.00	7	0	8	546
108	331668	2416	space	116	90	11	27.71	8	0	8	554
109	334212	9118	space	104	40	11	27.71	8	0	0	554
110	343601	1889	size	147	60	24	24.00	9	0	0	554
111	345634	1264	space	56	40	11	36.95	6	0	7	561
112	347426	16461	size	91	30	31	31.00	7	0	0	561
113	364271	2031	size	93	30	31	31.00	7	0	0	561
114	366990	1599	size	187	70	22	22.00	10	0	0	561
115	368926	1184	space	112	50	11	27.71	8	0	0	561
116	370254	1247	size	99	40	31	31.00	7	0	0	561
117	371821	2720	space	17	10	11	55.43	4	0	4	565
118	375213	1759	space	103	50	11	27.71	8	0	0	565
119	377420	2112	space	249	90	11	20.15	11	0	0	565
120	379900	2048	size	10	7	73	73.00	3	0	7	572
121	382316	2286	size	63	30	36	36.00	6	0	0	572
122	384747	1616	area	27	20	11	11.00	4	0	8	580
123	386795	1790	area	82	70	11	11.00	7	0	9	589
124	388762	2144	area	317	150	11	11.00	13	0	0	589
125	391306	1872	size	89	40	31	31.00	7	0	0	589
126	393546	1423	space	64	40	11	36.95	6	0	5	594
127	395353	2000	size	29	20	44	44.00	5	0	7	601
128	397673	2671	area	14	16	11	11.00	3	0	9	610
129	400824	1328	area	41	40	11	11.00	5	0	9	619
130	402392	1312	space	74	70	11	31.67	7	0	9	628
131	403880	1280	size	35	30	44	44.00	5	0	9	637
132	405367	1952	area	43	40	11	11.00	5	0	9	646
133	407479	3712	space	96	30	11	31.67	7	0	0	646
134	411686	1360	size	121	60	27	27.00	8	0	0	646
135	413158	1104	area	46	40	11	11.00	5	0	9	655
136	414406	1024	size	35	30	44	44.00	5	0	9	664
137	415573	1121	size	49	30	36	36.00	6	0	5	669
138	416854	1439	space	92	50	11	31.67	7	0	2	671
139	418437	1552	size	27	20	55	55.00	4	0	8	679
140	420133	1360	area	36	50	11	11.00	5	0	7	686
141	421604	1184	size	66	60	36	36.00	6	0	9	695
142	422884	1440	area	32	50	11	11.00	5	0	5	700
143	424452	912	area	64	50	11	11.00	6	0	8	708
144	425476	1216	space	60	30	11	36.95	6	0	0	708
145	426804	1391	area	19	30	11	11.00	4	0	5	713
146	428339	1456	area	134	60	11	11.00	8	0	0	713
147	429923	992	size	77	70	31	31.00	7	0	9	722
148	431043	832	area	107	40	11	11.00	8	0	0	722
149	432003	1856	size	197	80	22	22.00	10	0	0	722
150	433971	1614	area	39	9	11	11.00	5	0	0	722
151	435778	1376	space	98	40	11	31.67	7	0	0	722
152	437250	1616	area	23	40	11	11.00	4	0	3	725
153	440273	2896	size	104	50	27	27.00	8	0	0	725
154	443761	4639	area	18	50	11	11.00	4	0	0	725
155	448480	992	space	67	40	11	36.95	6	0	4	729
156	449567	817	size	28	40	55	55.00	4	0	7	736
157	450480	1102	area	97	40	11	11.00	7	0	0	736
158	451663	1152	area	96	560	11	11.00	7	0	0	736
159	452863	1008	size	20	50	55	55.00	4	0	0	736
160	453951	1488	area	67	70	11	11.00	6	0	9	745
161	455503	992	size	37	40	44	44.00	5	0	9	754
162	456558	1408	size	10	10	73	73.00	3	0	9	763
163	458078	912	space	15	10	11	55.43	4	0	6	769
164	459102	944	size	18	10	55	55.00	4	0	3	772
165	460142	1200	space	160	70	11	24.63	9	0	0	772
166	461438	896	size	39	70	44	44.00	5	0	3	775
167	462430	3519	size	220	190	20	20.00	11	0	9	784
168	465997	2240	area	10	70	11	11.00	3	0	0	784
169	468332	1488	area	25	80	11	11.00	4	0	0	784
170	470012	1328	space	169	80	11	24.63	9	0	0	784
171	471484	17597	space	166	40	11	24.63	9	0	0	784
172	489417	17981	size	149	30	24	24.00	9	0	0	784
173	507542	2287	area	327	100	11	11.00	13	0	0	784
174	510165	1391	size	138	90	24	24.00	9	0	6	790
175	511685	1680	area	63	60	11	11.00	6	0	9	799
176	513445	2255	size	32	20	44	44.00	5	0	5	804
177	516180	1375	space	101	30	11	27.71	8	0	0	804
178	517652	1616	area	124	70	11	11.00	8	0	3	807
179	519380	1263	space	18	10	11	55.43	4	0	3	810
180	520755	976	area	10	10	11	11.00	3	0	9	819
181	521827	1743	space	174	40	11	22.17	10	0	0	819
182	523683	1952	area	224	150	11	11.00	11	0	6	825
183	525746	2096	size	82	50	31	31.00	7	0	5	830
184	527954	1344	space	57	30	11	36.95	6	0	1	831
185	529410	1376	area	211	90	11	11.00	10	0	0	831
186	530882	1055	size	24	40	55	55.00	4	0	4	835
187	532049	1088	size	15	10	55	55.00	4	0	6	841
188	533217	1359	size	103	50	27	27.00	8	0	0	841
189	534673	1024	area	78	50	11	11.00	7	0	6	847
190	535777	928	area	65	50	11	11.00	6	0	8	855
191	536753	1023	space	73	30	11	31.67	7	0	0	855
192	537824	672	area	178	40	11	11.00	10	0	0	855
193	538591	849	area	74	50	11	11.00	7	0	6	861
194	539520	848	space	32	20	11	44.34	5	0	5	866
195	540432	832	area	51	50	11	11.00	6	0	9	875
196	541328	880	space	52	40	11	36.95	6	0	8	883
197	542288	895	size	39	50	44	44.00	5	0	8	891
