Subject: D06NA
trial	startTime	responseTime	vary	n	response	Rdot	Rspace	Nrings	Feedback	points	score
1	68408	11526	area	82	54	11	11.00	7	82	6	6
2	84551	6022	size	193	212	22	22.00	10	193	9	15
3	93750	7382	size	80	75	31	31.00	7	80	9	24
4	103477	8341	space	117	120	11	27.71	8	117	9	33
5	114355	5974	area	16	18	11	11.00	4	16	9	42
6	122195	5365	area	29	20	11	11.00	5	29	7	49
7	129586	4982	size	73	43	31	31.00	7	73	4	53
8	137185	4967	size	224	354	20	20.00	11	224	5	58
9	143760	11206	space	99	212	11	31.67	7	99	0	58
10	158687	10165	area	68	90	11	11.00	6	68	8	66
11	170974	4661	space	75	74	11	31.67	7	75	9	75
12	177885	6150	area	88	68	11	11.00	7	88	8	83
13	185516	8566	space	361	400	11	17.05	13	361	9	92
14	196251	4773	space	35	21	11	44.34	5	35	4	96
15	203018	5542	size	12	13	73	73.00	3	12	9	105
16	210697	8919	space	193	200	11	22.17	10	193	9	114
17	221864	4550	size	21	14	55	55.00	4	21	6	120
18	228839	6327	area	311	275	11	11.00	12	311	9	129
19	237271	8245	space	185	312	11	22.17	10	185	4	133
20	247461	8966	area	58	65	11	11.00	6	58	9	142
21	259876	7654	size	39	20	44	44.00	5	39	1	143
22	269715	6183	size	318	300	17	17.00	13	318	9	152
23	277346	7462	space	158	200	11	24.63	9	158	8	160
24	286242	10245	space	33	50	11	44.34	5	33	6	166
25	297984	4534	space	27	32	11	55.43	4	27	9	175
26	303888	4015	space	12	11	11	73.90	3	0	9	184
27	310767	5151	space	45	25	11	44.34	5	0	3	187
28	320094	8687	space	73	89	11	31.67	7	0	9	196
29	331309	6991	space	62	92	11	36.95	6	0	6	202
30	340700	4911	space	390	350	11	15.84	14	0	9	211
31	348779	8703	space	53	78	11	36.95	6	0	6	217
32	359578	6095	size	182	200	22	22.00	10	0	9	226
33	368345	9903	area	72	80	11	11.00	6	0	9	235
34	380633	10077	space	209	200	11	22.17	10	0	9	244
35	392615	4607	size	36	20	44	44.00	5	0	3	247
36	399302	6927	area	150	61	11	11.00	9	0	0	247
37	409333	5711	area	298	200	11	11.00	12	0	6	253
38	416308	3487	space	113	112	11	27.71	8	0	9	262
39	421395	3824	size	20	13	55	55.00	4	0	6	268
40	426307	12606	space	95	74	11	31.67	7	0	8	276
41	440081	4896	space	117	85	11	27.71	8	0	7	283
42	446145	4271	size	99	85	31	31.00	7	0	9	292
43	451648	5056	space	21	21	11	55.43	4	0	9	301
44	457919	5120	area	74	50	11	11.00	7	0	6	307
45	464047	7663	area	221	180	11	11.00	11	0	9	316
46	472750	10847	space	40	112	11	44.34	5	0	0	316
47	484749	4095	space	14	12	11	73.90	3	0	9	325
48	490044	5711	size	192	200	22	22.00	10	0	9	334
49	496987	6608	space	44	56	11	44.34	5	0	8	342
50	504698	3904	space	57	49	11	36.95	6	0	9	351
