Subject: D17WN
trial	startTime	responseTime	vary	n	response	Rdot	Rspace	Nrings	Feedback	points	score
1	61574	10326	area	212	30	11	11.00	10	212	0	0
2	75253	6998	space	90	200	11	31.67	7	90	0	0
3	83715	5831	area	68	60	11	11.00	6	68	9	9
4	93251	4551	size	240	180	20	20.00	11	240	8	17
5	99986	5126	space	51	34	11	36.95	6	51	6	23
6	107410	3862	space	42	34	11	44.34	5	42	9	32
7	112145	4391	size	167	117	24	24.00	9	167	7	39
8	117585	4757	area	87	40	11	11.00	7	87	0	39
9	123600	4437	area	17	19	11	11.00	4	17	9	48
10	129103	4517	area	55	29	11	11.00	6	55	1	49
11	134351	5125	area	38	40	11	11.00	5	38	9	58
12	140366	4070	area	21	17	11	11.00	4	21	9	67
13	144846	5157	area	119	150	11	11.00	8	119	8	75
14	150636	5784	area	203	240	11	11.00	10	203	9	84
15	157452	4213	area	16	15	11	11.00	4	16	9	93
16	162444	3894	space	71	60	11	36.95	6	71	9	102
17	167019	2934	space	81	90	11	31.67	7	81	9	111
18	171674	4295	area	34	27	11	11.00	5	34	8	119
19	176330	5990	space	98	150	11	31.67	7	98	6	125
20	182745	4965	area	19	14	11	11.00	4	19	8	133
21	188537	4999	size	139	150	24	24.00	9	139	9	142
22	194104	4391	space	245	280	11	20.15	11	245	9	151
23	199240	5654	area	82	67	11	11.00	7	82	9	160
24	205559	4054	size	198	170	22	22.00	10	198	9	169
25	210071	5141	space	60	69	11	36.95	6	60	9	178
26	215894	3200	space	89	56	11	31.67	7	0	5	183
27	219766	3087	size	73	26	31	31.00	7	0	0	183
28	224549	2832	area	135	99	11	11.00	9	0	8	191
29	229237	4271	space	33	36	11	44.34	5	0	9	200
30	234675	6991	area	119	230	11	11.00	8	0	1	201
31	242979	5376	size	487	340	14	14.00	15	0	7	208
32	249443	4815	area	30	25	11	11.00	5	0	9	217
33	255154	4384	area	171	200	11	11.00	9	0	9	226
34	260752	2513	area	44	55	11	11.00	5	0	8	234
35	264065	3328	size	86	45	31	31.00	7	0	1	235
36	268145	7759	space	73	40	11	31.67	7	0	2	237
37	278144	3215	size	14	12	73	73.00	3	0	9	246
38	282335	4415	space	24	20	11	55.43	4	0	9	255
39	287375	3007	area	264	190	11	11.00	11	0	7	262
40	291118	5744	space	80	80	11	31.67	7	0	9	271
41	297518	3567	size	16	14	55	55.00	4	0	9	280
42	301708	4465	area	21	21	11	11.00	4	0	9	289
43	307165	4959	space	25	18	11	55.43	4	0	7	296
44	312940	2912	size	176	180	22	22.00	10	0	9	305
45	317532	6271	size	137	120	24	24.00	9	0	9	314
46	326523	4255	area	137	170	11	11.00	9	0	9	323
47	331498	4016	area	89	160	11	11.00	7	0	3	326
48	336937	4560	size	26	18	55	55.00	4	0	7	333
49	342329	4350	area	37	28	11	11.00	5	0	8	341
50	347384	4032	size	187	180	22	22.00	10	0	9	350
51	352024	5614	size	38	28	44	44.00	5	0	8	358
52	358279	4112	space	33	29	11	44.34	5	0	9	367
53	362935	3742	area	19	18	11	11.00	4	0	9	376
54	367350	3472	area	145	199	11	11.00	9	0	7	383
55	371350	2271	space	513	250	11	13.86	16	0	0	383
56	374374	7055	space	71	100	11	36.95	6	0	7	390
57	381909	5615	space	36	20	11	44.34	5	0	3	393
58	388148	8063	size	48	28	44	44.00	5	0	4	397
59	396642	3697	space	83	55	11	31.67	7	0	6	403
60	400899	1968	space	97	75	11	31.67	7	0	8	411
61	403459	3407	size	164	200	24	24.00	9	0	9	420
62	407426	2592	space	143	180	11	24.63	9	0	8	428
63	410625	4208	space	63	130	11	36.95	6	0	0	428
64	415632	3857	area	15	13	11	11.00	4	0	9	437
65	420033	3119	area	62	99	11	11.00	6	0	5	442
66	423759	2321	area	55	70	11	11.00	6	0	8	450
67	426623	2897	area	97	120	11	11.00	7	0	9	459
68	430064	3359	space	157	130	11	24.63	9	0	9	468
69	433999	3759	space	13	13	11	73.90	3	0	9	477
70	438367	3791	area	40	22	11	11.00	5	0	2	479
71	442894	5248	size	35	20	44	44.00	5	0	3	482
72	448798	3343	area	113	199	11	11.00	8	0	3	485
73	453293	4383	area	71	70	11	11.00	6	0	9	494
74	458205	4223	space	346	150	11	17.05	13	0	0	494
75	462892	2751	size	65	30	36	36.00	6	0	0	494
76	466220	3376	space	164	190	11	24.63	9	0	9	503
77	470348	2703	size	177	150	22	22.00	10	0	9	512
78	473658	5585	area	278	170	11	11.00	12	0	5	517
79	479771	7231	size	138	180	24	24.00	9	0	8	525
80	487578	2415	space	145	190	11	24.63	9	0	8	533
81	490841	2783	size	55	50	36	36.00	6	0	9	542
82	494201	2080	size	85	60	31	31.00	7	0	7	549
83	496777	2304	size	72	50	36	36.00	6	0	7	556
84	499703	4289	space	75	48	11	31.67	7	0	6	562
85	507448	2719	space	203	170	11	22.17	10	0	9	571
86	511063	2352	size	44	90	44	44.00	5	0	0	571
87	513911	4432	size	18	11	55	55.00	4	0	5	576
88	518918	4528	size	85	100	31	31.00	7	0	9	585
89	524390	3072	space	106	140	11	27.71	8	0	8	593
90	527958	2655	size	268	190	18	18.00	12	0	7	600
91	531093	2896	space	194	200	11	22.17	10	0	9	609
92	534789	2304	space	27	35	11	55.43	4	0	8	617
93	537541	6206	size	95	130	31	31.00	7	0	8	625
94	544132	3871	size	194	180	22	22.00	10	0	9	634
95	548611	2576	space	111	160	11	27.71	8	0	7	641
96	551714	5057	area	105	120	11	11.00	8	0	9	650
97	557490	6976	space	92	130	11	31.67	7	0	7	657
98	564930	3279	area	170	180	11	11.00	9	0	9	666
99	568593	3312	size	217	150	20	20.00	11	0	7	673
100	572353	4286	space	24	20	11	55.43	4	0	9	682
101	577024	2000	size	61	30	36	36.00	6	0	0	682
102	579600	2528	area	221	190	11	11.00	11	0	9	691
103	582768	4543	space	50	35	11	36.95	6	0	7	698
104	587758	3713	space	12	12	11	73.90	3	0	9	707
105	592015	4079	size	85	80	31	31.00	7	0	9	716
106	596669	3217	size	216	200	22	22.00	10	0	9	725
107	600510	4735	size	205	176	22	22.00	10	0	9	734
108	605805	4496	size	28	21	55	55.00	4	0	8	742
109	610781	2816	size	16	12	55	55.00	4	0	8	750
110	614076	5088	area	117	70	11	11.00	8	0	4	754
111	619675	4047	area	51	50	11	11.00	6	0	9	763
112	624187	2224	size	82	70	31	31.00	7	0	9	772
113	626987	3840	size	88	110	31	31.00	7	0	8	780
114	631403	3199	area	14	10	11	11.00	3	0	7	787
115	635114	3440	area	71	76	11	11.00	6	0	9	796
116	639098	4654	space	70	170	11	36.95	6	0	0	796
117	644217	2672	size	151	200	24	24.00	9	0	8	804
118	647513	2944	space	46	150	11	44.34	5	0	0	804
119	650985	6686	size	133	160	27	27.00	8	0	9	813
120	658168	2800	size	488	257	14	14.00	15	0	1	814
121	661686	2129	space	36	60	11	44.34	5	0	4	818
122	664391	2400	size	28	40	55	55.00	4	0	7	825
123	667750	2353	area	140	120	11	11.00	9	0	9	834
124	671127	5679	size	54	120	36	36.00	6	0	0	834
125	677510	3375	size	30	20	44	44.00	5	0	6	840
126	683269	6208	size	20	20	55	55.00	4	0	9	849
127	690069	3407	space	50	68	11	36.95	6	0	8	857
128	694068	3984	area	25	43	11	11.00	4	0	4	861
129	698755	4384	area	148	150	11	11.00	9	0	9	870
130	703682	1873	space	79	150	11	31.67	7	0	1	871
131	706243	4446	size	66	100	36	36.00	6	0	6	877
132	711330	2240	space	140	140	11	24.63	9	0	9	886
133	714306	4446	size	20	25	55	55.00	4	0	8	894
134	719313	2624	space	12	12	11	73.90	3	0	9	903
135	722977	6415	size	61	69	36	36.00	6	0	9	912
136	730304	4000	area	65	99	11	11.00	6	0	6	918
137	734960	5311	area	118	150	11	11.00	8	0	8	926
138	740847	2640	area	42	55	11	11.00	5	0	8	934
139	743999	6191	area	13	16	11	11.00	3	0	9	943
140	751038	6751	area	135	120	11	11.00	9	0	9	952
141	758205	3264	space	45	70	11	44.34	5	0	6	958
142	762061	4224	size	16	14	55	55.00	4	0	9	967
143	766829	4175	size	20	15	55	55.00	4	0	8	975
144	771580	2480	area	232	200	11	11.00	11	0	9	984
145	774556	4639	space	20	16	11	55.43	4	0	9	993
146	779722	3729	area	58	55	11	11.00	6	0	9	1002
147	783963	2047	area	80	77	11	11.00	7	0	9	1011
148	786729	2016	area	19	22	11	11.00	4	0	9	1020
149	789274	1760	space	24	33	11	55.43	4	0	7	1027
150	791705	2513	size	128	111	27	27.00	8	0	9	1036
151	794826	2239	size	81	120	31	31.00	7	0	6	1042
152	797577	2736	space	217	170	11	20.15	11	0	8	1050
153	800921	5822	area	25	70	11	11.00	4	0	0	1050
154	807144	2128	space	142	160	11	24.63	9	0	9	1059
155	809751	2673	size	48	140	44	44.00	5	0	0	1059
156	812904	2895	space	66	80	11	36.95	6	0	9	1068
157	816247	2447	size	341	180	17	17.00	13	0	1	1069
158	819255	3616	size	81	90	31	31.00	7	0	9	1078
159	823303	3679	size	52	75	36	36.00	6	0	7	1085
160	827574	2320	size	199	140	22	22.00	10	0	7	1092
161	830406	2640	space	98	100	11	31.67	7	0	9	1101
162	833558	3583	size	46	55	44	44.00	5	0	9	1110
163	837652	3441	space	80	150	11	31.67	7	0	2	1112
164	841636	4128	space	12	12	11	73.90	3	0	9	1121
165	846324	4592	space	28	19	11	55.43	4	0	7	1128
166	851540	6239	size	42	40	44	44.00	5	0	9	1137
167	858547	4015	space	214	199	11	22.17	10	0	9	1146
168	863106	2864	area	37	34	11	11.00	5	0	9	1155
169	866530	4191	area	118	75	11	11.00	8	0	5	1160
170	871394	4879	area	22	40	11	11.00	4	0	2	1162
171	877680	3951	size	19	17	55	55.00	4	0	9	1171
172	882448	2944	area	24	25	11	11.00	4	0	9	1180
173	885984	4639	area	18	40	11	11.00	4	0	0	1180
174	891263	3808	size	19	20	55	55.00	4	0	9	1189
175	895551	3568	area	279	140	11	11.00	12	0	0	1189
176	899967	3951	space	96	119	11	31.67	7	0	9	1198
177	904894	5790	space	80	120	11	31.67	7	0	6	1204
178	911821	2911	space	54	80	11	36.95	6	0	6	1210
179	915421	1952	space	89	90	11	31.67	7	0	9	1219
180	918317	3631	space	142	100	11	24.63	9	0	7	1226
181	922524	2416	area	169	120	11	11.00	9	0	7	1233
182	925532	2159	area	183	160	11	11.00	10	0	9	1242
183	928316	1967	space	104	170	11	27.71	8	0	5	1247
184	930779	2943	area	19	30	11	11.00	4	0	5	1252
185	934714	2000	space	205	170	11	22.17	10	0	9	1261
186	937371	2463	area	74	55	11	11.00	7	0	8	1269
187	940906	5536	area	106	120	11	11.00	8	0	9	1278
188	946970	3646	space	94	99	11	31.67	7	0	9	1287
189	952857	4799	space	187	170	11	22.17	10	0	9	1296
190	959208	4016	area	180	160	11	11.00	10	0	9	1305
191	963623	2177	area	202	200	11	11.00	10	0	9	1314
