Subject: E03DE
trial	startTime	responseTime	vary	n	response	Rdot	Rspace	Nrings	Feedback	points	score
1	30354	7943	size	62	50	36	36.00	6	62	9	9
2	40881	4199	size	42	55	44	44.00	5	42	8	17
3	48098	5526	space	200	100	11	22.17	10	200	0	17
4	55921	3287	space	31	40	11	44.34	5	31	8	25
5	60913	4536	space	163	180	11	24.63	9	163	9	34
6	67186	2694	size	32	30	44	44.00	5	32	9	43
7	70546	4262	size	151	90	24	24.00	9	151	4	47
8	75585	3720	size	42	46	44	44.00	5	42	9	56
9	80065	5177	size	213	170	22	22.00	10	213	8	64
10	85969	2423	space	24	20	11	55.43	4	24	9	73
11	89475	3333	area	52	40	11	11.00	6	52	8	81
12	93298	2823	size	53	45	36	36.00	6	53	9	90
13	96435	3718	space	111	120	11	27.71	8	111	9	99
14	100722	6934	area	89	80	11	11.00	7	89	9	108
15	108259	4837	space	18	20	11	55.43	4	18	9	117
16	113890	6343	space	78	80	11	31.67	7	78	9	126
17	120642	6711	area	81	60	11	11.00	7	81	8	134
18	127906	3607	area	35	50	11	11.00	5	35	7	141
19	132018	4679	size	249	180	20	20.00	11	249	7	148
20	137090	2647	space	142	190	11	24.63	9	142	8	156
21	139810	2822	area	47	70	11	11.00	5	47	6	162
22	143267	2629	area	15	15	11	11.00	4	15	10	172
23	147395	3960	space	399	280	11	15.84	14	399	7	179
24	151762	3592	size	32	30	44	44.00	5	32	9	188
25	155907	2870	area	83	70	11	11.00	7	83	9	197
26	159235	1711	size	34	30	44	44.00	5	0	9	206
27	161731	5824	space	359	320	11	17.05	13	0	9	215
28	168468	3008	space	152	170	11	24.63	9	0	9	224
29	172356	8591	area	203	180	11	11.00	10	0	9	233
30	183460	4880	size	20	12	55	55.00	4	0	4	237
31	189603	8224	space	53	28	11	36.95	6	0	1	238
32	199204	2032	area	71	40	11	11.00	6	0	3	241
33	202180	2911	area	12	13	11	11.00	3	0	9	250
34	206003	6784	size	47	30	44	44.00	5	0	5	255
35	213492	4495	area	113	80	11	11.00	8	0	7	262
36	218851	6353	space	19	17	11	55.43	4	0	9	271
37	226003	14833	size	249	100	20	20.00	11	0	0	271
38	242068	6016	area	23	20	11	11.00	4	0	9	280
39	248932	4640	area	115	90	11	11.00	8	0	8	288
40	254485	1567	area	93	90	11	11.00	7	0	9	297
41	258644	2673	area	750	320	11	11.00	19	0	0	297
42	262101	4991	area	41	40	11	11.00	5	0	9	306
43	268084	1792	space	35	20	11	44.34	5	0	3	309
44	270453	2207	area	43	25	11	11.00	5	0	4	313
45	273844	3697	space	39	25	11	44.34	5	0	6	319
46	278517	1840	area	65	40	11	11.00	6	0	5	324
47	281173	2304	space	13	18	11	73.90	3	0	7	331
48	284020	1776	size	30	19	44	44.00	5	0	5	336
49	286564	1729	space	22	20	11	55.43	4	0	9	345
50	288788	2096	space	37	30	11	44.34	5	0	9	354
51	291509	4976	space	69	70	11	36.95	6	0	9	363
52	297269	1631	space	74	80	11	31.67	7	0	9	372
53	299413	1679	area	84	90	11	11.00	7	0	9	381
54	302293	6848	space	238	180	11	20.15	11	0	8	389
55	309845	3665	size	32	25	44	44.00	5	0	8	397
56	314021	2000	size	21	20	55	55.00	4	0	9	406
57	316454	1535	area	25	20	11	11.00	4	0	9	415
58	318406	2479	space	190	190	11	22.17	10	0	10	425
59	321318	3519	size	151	150	24	24.00	9	0	9	434
60	325270	3503	space	176	270	11	22.17	10	0	6	440
61	329158	3535	space	22	30	11	55.43	4	0	8	448
62	333077	1393	space	39	30	11	44.34	5	0	8	456
63	334853	2752	size	170	120	24	24.00	9	0	7	463
64	338037	1872	size	25	50	55	55.00	4	0	0	463
65	340230	6543	size	167	110	24	24.00	9	0	6	469
66	347589	1793	area	80	120	11	11.00	7	0	6	475
67	349685	2192	size	16	15	55	55.00	4	0	9	484
68	352230	2112	space	68	70	11	36.95	6	0	9	493
69	354661	1489	area	46	60	11	11.00	5	0	8	501
70	356534	3247	area	191	190	11	11.00	10	0	9	510
71	360118	2639	area	79	150	11	11.00	7	0	1	511
72	363190	2016	space	11	15	11	73.90	3	0	8	519
73	365621	3072	space	16	16	11	55.43	4	0	10	529
74	369286	8080	area	52	110	11	11.00	6	0	0	529
75	377829	5249	space	111	90	11	27.71	8	0	9	538
76	383479	1824	size	18	20	55	55.00	4	0	9	547
77	385638	3537	space	102	100	11	27.71	8	0	9	556
78	390263	3216	space	71	120	11	36.95	6	0	4	560
79	393862	4208	size	122	80	27	27.00	8	0	6	566
80	398519	1535	space	61	90	11	36.95	6	0	6	572
