Subject: E04TN
trial	startTime	responseTime	vary	n	response	Rdot	Rspace	Nrings	Feedback	points	score
1	33888	4967	size	179	4	22	22.00	10	179	0	0
2	41136	7239	space	145	130	11	24.63	9	145	9	9
3	50160	8279	space	92	70	11	31.67	7	92	8	17
4	60352	5365	area	40	20	11	11.00	5	40	0	17
5	67424	5078	area	27	30	11	11.00	4	27	9	26
6	74033	4486	area	12	12	11	11.00	3	12	9	35
7	80225	3878	space	20	12	11	55.43	4	20	4	39
8	85664	8440	space	236	180	11	20.15	11	236	8	47
9	96656	4504	size	284	210	18	18.00	12	284	8	55
10	102720	4856	space	206	340	11	22.17	10	206	4	59
11	109089	4326	space	20	40	11	55.43	4	20	0	59
12	114241	5879	area	174	100	11	11.00	10	174	3	62
13	121760	4583	size	18	15	55	55.00	4	18	9	71
14	127569	4535	area	320	200	11	11.00	13	320	5	76
15	133537	4791	space	84	87	11	31.67	7	84	9	85
16	139505	6007	space	296	171	11	18.48	12	296	3	88
17	146546	4966	size	42	25	44	44.00	5	42	4	92
18	152562	5879	space	506	200	11	13.86	16	506	0	92
19	160482	6471	size	267	180	18	18.00	12	267	6	98
20	168530	2710	space	49	30	11	36.95	6	49	5	103
21	172354	12646	space	109	175	11	27.71	8	109	5	108
22	186258	6134	space	57	20	11	36.95	6	57	0	108
23	193122	2694	size	17	15	55	55.00	4	17	9	117
24	196402	3655	size	104	50	27	27.00	8	104	0	117
25	203042	3960	size	203	200	22	22.00	10	203	9	126
26	208482	3792	area	59	89	11	11.00	6	0	6	132
27	214721	8065	area	134	160	11	11.00	8	0	9	141
28	224626	4305	size	119	90	27	27.00	8	0	8	149
29	231427	4448	size	55	60	36	36.00	6	0	9	158
30	237411	5632	space	131	130	11	27.71	8	0	9	167
31	244595	4015	space	46	40	11	44.34	5	0	9	176
32	249698	3457	size	252	250	20	20.00	11	0	9	185
33	254307	4768	area	55	40	11	11.00	6	0	8	193
34	260243	3232	area	61	50	11	11.00	6	0	9	202
35	264371	2064	size	40	30	44	44.00	5	0	8	210
36	266995	2256	size	47	30	44	44.00	5	0	6	216
37	269955	4112	size	103	50	27	27.00	8	0	0	216
38	274915	2799	area	55	45	11	11.00	6	0	9	225
39	278499	3600	size	130	95	27	27.00	8	0	8	233
40	282915	2783	size	109	75	27	27.00	8	0	7	240
41	286499	2528	size	72	75	36	36.00	6	0	9	249
42	289908	3984	size	38	55	44	44.00	5	0	7	256
43	294771	3297	area	287	130	11	11.00	12	0	0	256
44	298996	3040	area	13	15	11	11.00	3	0	9	265
45	302788	3216	space	10	9	11	73.90	3	0	9	274
46	306820	4208	size	22	20	55	55.00	4	0	9	283
47	311747	9297	space	220	160	11	20.15	11	0	7	290
48	321603	2801	area	199	210	11	11.00	10	0	9	299
49	325316	4528	size	98	110	31	31.00	7	0	9	308
50	330627	8992	size	80	100	31	31.00	7	0	8	316
51	340452	3872	size	32	18	44	44.00	5	0	3	319
52	345028	3344	area	57	30	11	11.00	6	0	1	320
53	349140	6463	space	35	24	11	44.34	5	0	7	327
54	356916	5505	space	83	40	11	31.67	7	0	0	327
55	363572	3233	space	51	60	11	36.95	6	0	9	336
56	368005	5136	size	145	100	24	24.00	9	0	7	343
57	373989	4544	size	27	27	55	55.00	4	0	9	352
58	379461	5984	area	33	29	11	11.00	5	0	9	361
59	386405	2624	area	30	35	11	11.00	5	0	9	370
60	389941	2304	area	37	40	11	11.00	5	0	9	379
61	392756	2417	size	186	120	22	22.00	10	0	6	385
62	395845	4783	space	210	140	11	22.17	10	0	6	391
63	401381	1824	space	211	140	11	22.17	10	0	6	397
64	403797	3807	size	75	80	31	31.00	7	0	9	406
65	408357	2128	area	39	60	11	11.00	5	0	6	412
66	411365	2239	space	35	40	11	44.34	5	0	9	421
67	414389	3808	space	160	150	11	24.63	9	0	9	430
68	418933	4160	area	17	28	11	11.00	4	0	4	434
69	423989	3856	space	28	20	11	55.43	4	0	7	441
70	428644	4785	space	170	100	11	24.63	9	0	4	445
71	434053	2064	space	186	150	11	22.17	10	0	9	454
72	436934	3072	size	258	100	20	20.00	11	0	0	454
73	440677	3377	space	373	230	11	17.05	13	0	5	459
74	446054	4607	area	58	40	11	11.00	6	0	7	466
