Subject: E12CS
trial	startTime	responseTime	vary	n	response	Rdot	Rspace	Nrings	Feedback	points	score
1	28672	25047	size	157	120	24	24.00	9	157	8	8
2	56513	33703	size	32	20	44	44.00	5	32	5	13
3	94338	68023	space	12	10	11	73.90	3	12	9	22
4	164914	60312	area	140	120	11	11.00	9	140	9	31
5	230356	11701	area	51	30	11	11.00	6	51	4	35
6	244099	5432	size	187	132	22	22.00	10	187	7	42
7	252083	4806	area	78	35	11	11.00	7	78	0	42
8	258915	7815	space	92	56	11	31.67	7	92	5	47
9	269075	2823	area	232	78	11	11.00	11	232	0	47
10	273268	4822	size	103	78	27	27.00	8	103	8	55
11	279652	4247	size	208	100	22	22.00	10	208	0	55
12	285381	4006	space	16	20	11	55.43	4	16	8	63
13	291156	5495	space	44	56	11	44.34	5	44	8	71
14	298068	4583	space	14	12	11	73.90	3	14	9	80
15	303796	4727	size	20	12	55	55.00	4	20	4	84
16	309956	3879	area	284	140	11	11.00	12	284	0	84
17	315076	5447	space	41	31	11	44.34	5	41	8	92
18	322485	4390	size	50	45	36	36.00	6	50	9	101
19	328100	2919	size	95	200	31	31.00	7	95	0	101
20	331924	2854	area	15	13	11	11.00	4	15	9	110
21	336309	3271	area	277	200	11	11.00	12	277	7	117
22	340645	4712	size	379	450	15	15.00	14	379	9	126
23	346309	3960	size	130	120	27	27.00	8	130	9	135
24	351525	5398	area	80	78	11	11.00	7	80	9	144
25	357844	3561	size	181	120	22	22.00	10	181	6	150
26	362214	3822	size	39	35	44	44.00	5	0	9	159
27	367174	3871	space	157	150	11	24.63	9	0	9	168
28	372646	2864	size	29	32	44	44.00	5	0	9	177
29	377174	3008	space	228	87	11	20.15	11	0	0	177
30	381861	2256	area	235	200	11	11.00	11	0	9	186
31	385446	4335	space	121	150	11	27.71	8	0	9	195
32	390821	3184	space	64	130	11	36.95	6	0	0	195
33	395045	2736	size	32	12	44	44.00	5	0	0	195
34	398821	3601	space	101	78	11	27.71	8	0	8	203
35	403366	3056	space	61	80	11	36.95	6	0	8	211
36	407382	3776	area	57	60	11	11.00	6	0	9	220
37	412278	3248	area	13	15	11	11.00	3	0	9	229
38	416486	3984	space	109	120	11	27.71	8	0	9	238
39	421366	4128	space	17	40	11	55.43	4	0	0	238
40	426390	3120	size	68	50	36	36.00	6	0	8	246
41	431382	3888	area	44	50	11	11.00	5	0	9	255
42	436199	4016	size	60	60	36	36.00	6	0	9	264
43	440998	5265	area	47	56	11	11.00	5	0	9	273
44	446934	2353	size	48	35	44	44.00	5	0	8	281
45	450359	3040	space	50	60	11	36.95	6	0	9	290
46	454247	2831	area	55	70	11	11.00	6	0	8	298
47	457718	2449	area	32	80	11	11.00	5	0	0	298
48	460822	2048	area	38	50	11	11.00	5	0	8	306
49	463559	2255	size	153	150	24	24.00	9	0	9	315
50	466519	2335	area	189	200	11	11.00	10	0	9	324
51	469319	1775	size	229	200	20	20.00	11	0	9	333
52	471639	2560	area	71	60	11	11.00	6	0	9	342
53	474663	4656	space	27	28	11	55.43	4	0	9	351
54	480070	2289	size	145	78	24	24.00	9	0	2	353
55	483094	2417	size	344	400	17	17.00	13	0	9	362
56	486551	4784	area	85	150	11	11.00	7	0	3	365
57	491894	2064	area	274	250	11	11.00	12	0	9	374
58	494455	3184	size	56	60	36	36.00	6	0	9	383
59	497942	1872	area	12	10	11	11.00	3	0	9	392
60	500295	4799	size	77	90	31	31.00	7	0	9	401
61	505686	2721	space	39	30	11	44.34	5	0	8	409
62	508903	3297	size	101	80	27	27.00	8	0	8	417
63	512648	4319	area	30	30	11	11.00	5	0	9	426
64	517448	4639	size	168	250	24	24.00	9	0	6	432
65	522552	4191	size	110	100	27	27.00	8	0	9	441
66	527047	4337	space	27	20	11	55.43	4	0	8	449
67	531943	3184	space	113	90	11	27.71	8	0	8	457
68	535703	2881	size	11	9	73	73.00	3	0	9	466
69	539528	4399	area	34	50	11	11.00	5	0	6	472
70	544408	2752	space	36	40	11	44.34	5	0	9	481
71	547847	2832	area	50	70	11	11.00	6	0	7	488
72	551063	2337	area	466	400	11	11.00	15	0	9	497
73	553911	4160	space	270	250	11	18.48	12	0	9	506
74	558584	2000	space	87	150	11	31.67	7	0	4	510
75	561143	3377	area	61	50	11	11.00	6	0	9	519
76	565608	3648	area	69	80	11	11.00	6	0	9	528
77	569927	4784	area	27	30	11	11.00	4	0	9	537
78	575063	2193	space	100	70	11	31.67	7	0	7	544
79	577863	1761	area	37	50	11	11.00	5	0	8	552
80	580119	2066	area	54	60	11	11.00	6	0	9	561
81	582584	2945	size	44	30	44	44.00	5	0	7	568
82	586665	2576	size	59	40	36	36.00	6	0	7	575
83	589577	2351	size	121	100	27	27.00	8	0	9	584
84	592665	2127	space	12	10	11	73.90	3	0	9	593
85	595144	3824	space	75	40	11	31.67	7	0	2	595
86	599401	4032	size	39	30	44	44.00	5	0	8	603
87	604569	2335	space	57	70	11	36.95	6	0	9	612
88	607433	4032	area	95	90	11	11.00	7	0	9	621
89	611784	2369	area	66	60	11	11.00	6	0	9	630
90	614505	2559	space	54	30	11	36.95	6	0	3	633
91	617545	2816	size	119	100	27	27.00	8	0	9	642
92	620760	2032	area	120	150	11	11.00	8	0	8	650
93	623193	2863	space	150	150	11	24.63	9	0	9	659
94	626521	2064	size	308	250	18	18.00	12	0	9	668
95	629048	2624	area	200	250	11	11.00	10	0	9	677
