Subject: E13WK
trial	startTime	responseTime	vary	n	response	Rdot	Rspace	Nrings	Feedback	points	score
1	47511	7943	space	111	16	11	27.71	8	111	0	0
2	58711	6198	area	49	25	11	11.00	6	49	1	1
3	67896	3927	size	272	100	18	18.00	12	272	0	1
4	73960	5463	size	154	60	24	24.00	9	154	0	1
5	81032	3126	area	65	60	11	11.00	6	65	9	10
6	85752	3926	space	298	180	11	18.48	12	298	4	14
7	91288	3894	size	95	90	31	31.00	7	95	9	23
8	97352	2934	area	11	9	11	11.00	3	11	9	32
9	102008	3767	size	228	200	20	20.00	11	228	9	41
10	106872	4470	space	65	40	11	36.95	6	65	5	46
11	112776	4774	space	25	13	11	55.43	4	25	1	47
12	119592	4406	space	36	30	11	44.34	5	36	9	56
13	125240	3334	space	17	15	11	55.43	4	17	9	65
14	130024	5575	space	74	60	11	31.67	7	74	9	74
15	137224	3814	area	18	15	11	11.00	4	18	9	83
16	141671	5527	space	31	40	11	44.34	5	31	8	91
17	149032	3431	space	101	100	11	27.71	8	101	9	100
18	153961	3670	area	203	200	11	11.00	10	203	9	109
19	158937	4343	size	237	100	20	20.00	11	237	0	109
20	165593	3287	size	170	200	24	24.00	9	170	9	118
21	169833	3382	size	18	10	55	55.00	4	18	3	121
22	173833	3495	space	393	250	11	15.84	14	393	5	126
23	178153	4406	space	62	30	11	36.95	6	62	0	126
24	183113	4438	area	115	130	11	11.00	8	115	9	135
25	188361	3111	area	161	160	11	11.00	9	161	9	144
26	192377	3392	area	54	70	11	11.00	6	0	8	152
27	199017	5584	area	30	90	11	11.00	5	0	0	152
28	206057	7536	size	34	30	44	44.00	5	0	9	161
29	215081	3583	area	20	25	11	11.00	4	0	8	169
30	219961	2352	area	100	150	11	11.00	7	0	6	175
31	223386	3584	space	49	50	11	36.95	6	0	9	184
32	228506	2256	size	19	14	55	55.00	4	0	8	192
33	231754	2784	size	184	140	22	22.00	10	0	8	200
34	235898	3360	area	234	300	11	11.00	11	0	8	208
35	240362	6992	space	30	20	11	44.34	5	0	6	214
36	248410	2544	area	125	180	11	11.00	8	0	7	221
37	252665	2785	size	14	9	73	73.00	3	0	6	227
38	256362	4416	space	225	250	11	20.15	11	0	9	236
39	261738	2880	space	15	20	11	55.43	4	0	8	244
40	265706	3744	area	76	100	11	11.00	7	0	8	252
41	270634	5248	area	34	70	11	11.00	5	0	0	252
42	276810	2144	area	80	150	11	11.00	7	0	2	254
43	279626	3055	area	77	120	11	11.00	7	0	6	260
44	283610	9312	size	61	100	36	36.00	6	0	5	265
45	293867	2656	area	254	350	11	11.00	11	0	7	272
46	298315	6528	size	136	280	24	24.00	9	0	0	272
47	305547	3696	space	213	150	11	22.17	10	0	7	279
48	309787	4112	space	105	120	11	27.71	8	0	9	288
49	314811	3824	area	444	380	11	11.00	15	0	9	297
50	319259	4176	size	312	300	18	18.00	12	0	9	306
51	324155	4336	area	38	50	11	11.00	5	0	8	314
52	329483	2016	area	11	9	11	11.00	3	0	9	323
53	332507	3200	size	26	15	55	55.00	4	0	4	327
54	336587	4672	space	231	150	11	20.15	11	0	6	333
55	342363	2800	space	80	130	11	31.67	7	0	5	338
56	346027	2944	size	426	400	15	15.00	14	0	9	347
57	350635	9216	space	83	130	11	31.67	7	0	5	352
58	360860	3743	size	67	50	36	36.00	6	0	8	360
59	365692	7184	size	165	150	24	24.00	9	0	9	369
60	373708	2320	area	23	30	11	11.00	4	0	8	377
61	377388	2720	size	23	15	55	55.00	4	0	6	383
62	381308	4128	size	263	300	20	20.00	11	0	9	392
63	386700	4160	space	26	40	11	55.43	4	0	6	398
64	391932	3200	area	13	11	11	11.00	3	0	9	407
65	396540	4080	area	120	140	11	11.00	8	0	9	416
66	401884	5840	space	84	100	11	31.67	7	0	9	425
67	408876	2976	space	152	150	11	24.63	9	0	9	434
68	412860	4112	size	22	15	55	55.00	4	0	7	441
69	418108	2848	area	175	350	11	11.00	10	0	0	441
70	422284	3792	size	93	120	31	31.00	7	0	8	449
71	427020	2528	area	104	200	11	11.00	8	0	1	450
72	430508	2688	space	43	100	11	44.34	5	0	0	450
73	433980	2896	size	150	180	24	24.00	9	0	9	459
74	437853	4176	space	97	140	11	31.67	7	0	7	466
75	442989	3632	area	53	100	11	11.00	6	0	1	467
76	447453	2880	area	79	140	11	11.00	7	0	3	470
77	451165	2048	area	70	180	11	11.00	6	0	0	470
78	454077	4575	space	36	80	11	44.34	5	0	0	470
79	459309	2080	space	86	140	11	31.67	7	0	5	475
80	462237	2528	area	15	20	11	11.00	4	0	8	483
81	465773	2528	size	28	25	55	55.00	4	0	9	492
82	469644	2545	size	25	20	55	55.00	4	0	9	501
83	473453	3184	space	154	180	11	24.63	9	0	9	510
84	477597	3136	size	134	230	27	27.00	8	0	4	514
85	481805	3168	size	34	40	44	44.00	5	0	9	523
86	486317	2864	size	61	80	36	36.00	6	0	8	531
87	490237	2800	space	131	130	11	27.71	8	0	9	540
88	494652	5313	space	34	80	11	44.34	5	0	0	540
89	501037	2768	space	25	25	11	55.43	4	0	9	549
90	505053	4721	size	206	150	22	22.00	10	0	7	556
91	511534	2768	size	168	250	24	24.00	9	0	6	562
92	515630	3200	area	43	45	11	11.00	5	0	9	571
93	521294	3375	space	22	24	11	55.43	4	0	9	580
94	526046	4448	space	90	85	11	31.67	7	0	9	589
95	531677	3009	space	112	125	11	27.71	8	0	9	598
96	536398	3247	size	195	195	22	22.00	10	0	9	607
97	542270	2383	size	49	25	36	36.00	6	0	1	608
98	545470	3072	size	65	75	36	36.00	6	0	9	617
99	549566	2848	size	57	85	36	36.00	6	0	6	623
100	553550	2384	size	79	115	31	31.00	7	0	7	630
101	557102	6416	area	43	80	11	11.00	5	0	2	632
102	564606	2304	space	102	120	11	27.71	8	0	9	641
103	568430	3104	area	97	200	11	11.00	7	0	0	641
104	572350	3840	space	70	85	11	36.95	6	0	9	650
105	576974	3728	area	159	175	11	11.00	9	0	9	659
106	581646	3985	area	113	210	11	11.00	8	0	2	661
107	586287	3456	area	58	85	11	11.00	6	0	7	668
108	590479	3552	size	106	85	27	27.00	8	0	9	677
109	594847	4064	size	85	145	31	31.00	7	0	4	681
110	599519	5808	area	34	75	11	11.00	5	0	0	681
111	606111	2400	area	54	95	11	11.00	6	0	3	684
112	609503	2240	size	201	250	22	22.00	10	0	9	693
113	613103	3808	size	133	200	27	27.00	8	0	6	699
114	617535	2784	area	56	75	11	11.00	6	0	8	707
115	621727	4672	space	110	185	11	27.71	8	0	4	711
116	627183	3312	space	109	100	11	27.71	8	0	9	720
117	631823	2560	space	47	45	11	44.34	5	0	9	729
118	635646	3345	size	27	25	55	55.00	4	0	9	738
119	640223	3760	area	27	65	11	11.00	4	0	0	738
120	645343	3840	area	140	125	11	11.00	9	0	9	747
121	650191	2496	size	46	45	44	44.00	5	0	9	756
122	654128	2143	size	26	25	55	55.00	4	0	9	765
123	657232	3376	size	280	275	18	18.00	12	0	9	774
124	662480	5840	size	103	105	27	27.00	8	0	9	783
125	669520	4784	area	73	145	11	11.00	7	0	0	783
126	674896	3152	space	48	45	11	44.34	5	0	9	792
127	679024	4000	size	300	250	18	18.00	12	0	9	801
128	684528	4400	space	182	200	11	22.17	10	0	9	810
129	689552	2880	area	119	180	11	11.00	8	0	6	816
130	693792	2112	size	42	35	44	44.00	5	0	9	825
131	697088	3936	size	57	95	36	36.00	6	0	4	829
132	702096	3008	size	167	145	24	24.00	9	0	9	838
133	705920	3008	size	141	200	24	24.00	9	0	7	845
134	710096	6144	size	49	60	36	36.00	6	0	9	854
135	717632	2320	size	178	140	22	22.00	10	0	8	862
136	721488	1888	size	26	20	55	55.00	4	0	8	870
137	724608	2369	area	23	30	11	11.00	4	0	8	878
138	728305	2351	size	79	80	31	31.00	7	0	9	887
139	731745	2432	area	149	150	11	11.00	9	0	9	896
140	735105	2976	area	47	80	11	11.00	5	0	4	900
141	739073	2304	area	20	30	11	11.00	4	0	6	906
142	742113	2400	size	89	75	31	31.00	7	0	9	915
143	745377	2656	size	47	55	44	44.00	5	0	9	924
144	748721	3360	space	45	60	11	44.34	5	0	8	932
145	752801	2832	area	130	125	11	11.00	8	0	9	941
146	756801	2608	space	42	75	11	44.34	5	0	3	944
147	760209	1872	size	167	150	24	24.00	9	0	9	953
148	762833	1839	area	212	200	11	11.00	10	0	9	962
149	765297	2928	size	38	45	44	44.00	5	0	9	971
150	769313	4176	area	126	125	11	11.00	8	0	9	980
151	774257	2144	size	125	150	27	27.00	8	0	9	989
