Subject: c11sk
trial	startTime	responseTime	vary	n	response	Rdot	Rspace	Nrings	Feedback	points	score
1	63313	6826	size	435	80	15	15.00	14	435	0	0
2	71743	4073	size	55	60	36	36.00	6	55	9	9
3	77135	2487	area	100	60	11	11.00	7	100	4	13
4	80846	2186	size	237	80	20	20.00	11	237	0	13
5	85485	2424	space	56	60	11	36.95	6	56	9	22
6	90013	4296	size	72	80	36	36.00	6	72	9	31
7	96267	8392	size	312	230	18	18.00	12	312	8	39
8	108233	5018	space	492	230	11	14.78	15	492	0	39
9	115080	2264	space	41	60	11	44.34	5	41	7	46
10	117512	2119	area	121	80	11	11.00	8	121	6	52
11	120423	4407	area	18	30	11	11.00	4	18	4	56
12	126070	2456	area	72	80	11	11.00	6	72	9	65
13	128530	4154	area	23	70	11	11.00	4	23	0	65
14	135525	4663	size	26	30	55	55.00	4	26	9	74
15	140324	3864	size	61	60	36	36.00	6	61	9	83
16	146803	4312	size	112	130	27	27.00	8	112	9	92
17	152370	4230	size	16	15	55	55.00	4	16	9	101
18	157969	3623	size	50	80	36	36.00	6	50	5	106
19	162591	3338	area	362	330	11	11.00	13	362	9	115
20	167007	3879	area	27	30	11	11.00	4	27	9	124
21	171422	5737	size	174	140	22	22.00	10	174	9	133
22	178141	3927	area	24	40	11	11.00	4	24	4	137
23	182747	2202	size	158	80	24	24.00	9	158	0	137
24	185691	4568	area	55	150	11	11.00	6	55	0	137
25	191387	2585	size	206	230	22	22.00	10	206	9	146
26	194522	3728	area	17	25	11	11.00	4	0	6	152
27	200680	4880	space	69	60	11	36.95	6	0	9	161
28	207671	3616	area	94	130	11	11.00	7	0	7	168
29	212566	6352	space	162	80	11	24.63	9	0	0	168
30	219846	2128	area	120	130	11	11.00	8	0	9	177
31	222853	2480	area	135	230	11	11.00	9	0	4	181
32	226325	3583	size	22	16	55	55.00	4	0	8	189
33	230964	4479	size	118	90	27	27.00	8	0	8	197
34	236163	5359	size	205	135	22	22.00	10	0	6	203
35	242034	2352	size	120	135	27	27.00	8	0	9	212
36	244946	3327	area	15	17	11	11.00	4	0	9	221
37	248929	4670	area	28	36	11	11.00	4	0	8	229
38	254048	3839	size	137	97	24	24.00	9	0	7	236
39	258335	2768	size	100	99	31	31.00	7	0	9	245
40	261471	5343	size	111	136	27	27.00	8	0	9	254
41	267358	3615	space	18	13	11	55.43	4	0	7	261
42	271437	8047	size	85	80	31	31.00	7	0	9	270
43	280027	2208	space	187	130	11	22.17	10	0	7	277
44	282618	2576	space	22	20	11	55.43	4	0	9	286
45	285418	3104	area	22	46	11	11.00	4	0	0	286
46	288986	2815	space	38	23	11	44.34	5	0	5	291
47	292153	1439	size	23	23	55	55.00	4	0	9	300
48	294153	2032	space	63	47	11	36.95	6	0	8	308
49	296616	4176	area	88	80	11	11.00	7	0	9	317
50	301464	1871	space	12	10	11	73.90	3	0	9	326
51	303718	2097	space	143	130	11	24.63	9	0	9	335
52	306247	3903	area	33	70	11	11.00	5	0	0	335
53	310470	2239	area	95	130	11	11.00	7	0	8	343
54	313110	3582	size	11	12	73	73.00	3	0	9	352
55	317125	6207	area	135	90	11	11.00	9	0	6	358
56	323651	2480	area	87	140	11	11.00	7	0	5	363
57	326563	1151	area	128	140	11	11.00	8	0	9	372
58	327987	2751	size	60	70	36	36.00	6	0	9	381
59	331235	2414	space	31	30	11	44.34	5	0	9	390
60	334050	5167	area	13	14	11	11.00	3	0	9	399
61	339664	6864	area	45	60	11	11.00	5	0	8	407
62	346960	5215	space	17	14	11	55.43	4	0	9	416
63	352622	5760	space	39	30	11	44.34	5	0	8	424
64	358765	3919	size	15	14	55	55.00	4	0	9	433
65	363261	3935	space	13	10	11	73.90	3	0	8	441
66	367659	7071	size	175	90	22	22.00	10	0	1	442
67	375051	6670	space	22	20	11	55.43	4	0	9	451
68	382170	2335	space	163	80	11	24.63	9	0	0	451
69	384985	3152	size	74	70	31	31.00	7	0	9	460
70	388600	2159	area	40	50	11	11.00	5	0	8	468
71	391128	1936	area	61	70	11	11.00	6	0	9	477
72	393432	5711	size	19	24	55	55.00	4	0	8	485
73	399590	4528	size	204	160	22	22.00	10	0	8	493
74	404566	7550	area	13	15	11	11.00	3	0	9	502
75	412532	5008	size	110	90	27	27.00	8	0	9	511
76	417939	12749	area	31	27	11	11.00	5	0	9	520
77	431137	9501	area	28	37	11	11.00	4	0	8	528
78	441135	5486	area	592	230	11	11.00	17	0	0	528
79	447534	4815	area	25	80	11	11.00	4	0	0	528
80	452861	3823	size	193	190	22	22.00	10	0	9	537
81	457149	2831	size	124	130	27	27.00	8	0	9	546
82	460428	1984	size	147	190	24	24.00	9	0	8	554
83	462940	3439	size	10	13	73	73.00	3	0	8	562
84	466875	6878	area	157	90	11	11.00	9	0	3	565
85	474170	1151	size	114	90	27	27.00	8	0	8	573
86	475497	1247	size	33	90	44	44.00	5	0	0	573
87	476921	2544	space	99	40	11	31.67	7	0	0	573
88	479849	5103	area	72	70	11	11.00	6	0	9	582
89	485480	2415	area	77	80	11	11.00	7	0	9	591
90	488343	1840	size	53	50	36	36.00	6	0	9	600
91	490646	1648	area	19	40	11	11.00	4	0	0	600
92	493078	3984	size	90	60	31	31.00	7	0	6	606
93	497494	2063	size	21	30	55	55.00	4	0	7	613
94	499941	1408	space	35	30	11	44.34	5	0	9	622
95	501732	1745	size	143	80	24	24.00	9	0	3	625
96	503908	1408	area	479	230	11	11.00	15	0	0	625
97	505972	2848	area	56	80	11	11.00	6	0	7	632
98	509380	1119	area	54	80	11	11.00	6	0	6	638
99	510787	1552	space	75	60	11	31.67	7	0	9	647
100	512706	2816	size	56	40	36	36.00	6	0	7	654
101	515938	3344	space	131	45	11	27.71	8	0	0	654
102	519842	3359	area	94	60	11	11.00	7	0	5	659
103	523568	1985	space	208	60	11	22.17	10	0	0	659
104	525937	3087	size	13	14	73	73.00	3	0	9	668
105	529488	2064	space	93	70	11	31.67	7	0	8	676
106	532032	2511	space	148	80	11	24.63	9	0	2	678
107	535071	2336	size	80	50	31	31.00	7	0	5	683
108	537903	1822	space	215	70	11	22.17	10	0	0	683
109	540286	1760	size	174	80	22	22.00	10	0	0	683
110	542510	2895	size	60	60	36	36.00	6	0	9	692
111	545917	5055	area	100	45	11	11.00	7	0	0	692
112	551627	10751	area	22	18	11	11.00	4	0	9	701
113	562970	6399	space	39	22	11	44.34	5	0	3	704
114	569833	5007	area	119	65	11	11.00	8	0	2	706
115	575464	2239	space	132	45	11	27.71	8	0	0	706
116	578184	1071	space	105	45	11	27.71	8	0	0	706
117	579734	4528	space	116	30	11	27.71	8	0	0	706
118	584741	3073	size	36	36	44	44.00	5	0	9	715
119	588454	3246	space	19	18	11	55.43	4	0	9	724
120	592229	3871	area	104	55	11	11.00	8	0	1	725
121	596595	3425	area	264	130	11	11.00	11	0	0	725
122	600564	9806	size	58	22	36	36.00	6	0	0	725
123	611042	2831	space	153	55	11	24.63	9	0	0	725
124	614401	3024	size	96	46	31	31.00	7	0	0	725
125	617825	1503	area	228	70	11	11.00	11	0	0	725
126	619775	4641	area	168	130	11	11.00	9	0	8	733
