Subject: d10LE
trial	startTime	responseTime	vary	n	response	Rdot	Rspace	Nrings	Feedback	points	score
1	65088	6757	space	75	50	11	31.67	7	75	6	6
2	75630	5494	area	41	15	11	11.00	5	41	0	6
3	83741	5991	space	280	70	11	18.48	12	280	0	6
4	92989	6342	space	66	60	11	36.95	6	66	9	15
5	101964	7303	size	192	60	22	22.00	10	192	0	15
6	110698	6551	size	49	40	36	36.00	6	49	9	24
7	120394	10150	size	56	50	36	36.00	6	56	9	33
8	132329	6853	space	22	10	11	55.43	4	22	0	33
9	141000	7110	size	133	120	27	27.00	8	133	9	42
10	149862	8614	area	55	80	11	11.00	6	55	7	49
11	160246	8005	space	73	90	11	31.67	7	73	9	58
12	171061	5653	size	12	8	73	73.00	3	12	6	64
13	178228	7141	area	41	50	11	11.00	5	41	9	73
14	186834	4088	size	161	130	24	24.00	9	161	9	82
15	192546	4694	space	96	160	11	31.67	7	96	4	86
16	198785	8486	area	85	80	11	11.00	7	85	9	95
17	209089	7765	size	66	90	36	36.00	6	66	8	103
18	218224	3782	space	249	200	11	20.15	11	249	9	112
19	223311	4710	area	92	140	11	11.00	7	92	6	118
20	229135	5078	size	140	160	24	24.00	9	140	9	127
21	235214	9125	area	74	90	11	11.00	7	74	9	136
22	245309	7653	area	25	30	11	11.00	4	25	9	145
23	255228	3510	space	461	250	11	14.78	15	461	2	147
24	260315	5429	size	34	15	44	44.00	5	34	0	147
25	267227	4213	space	35	20	11	44.34	5	35	3	150
26	272761	4048	area	163	140	11	11.00	9	0	9	159
27	281257	4816	space	17	16	11	55.43	4	0	9	168
28	289992	3727	area	137	150	11	11.00	9	0	9	177
29	295735	4176	size	97	170	31	31.00	7	0	3	180
30	301319	7422	space	88	100	11	31.67	7	0	9	189
31	309877	4433	space	93	90	11	31.67	7	0	9	198
32	316772	3104	space	273	300	11	18.48	12	0	9	207
33	321509	5743	size	114	180	27	27.00	8	0	5	212
34	328436	3472	size	53	60	36	36.00	6	0	9	221
35	332964	3678	size	13	10	73	73.00	3	0	8	229
36	337746	6880	space	141	250	11	24.63	9	0	3	232
37	345458	3088	space	15	10	11	55.43	4	0	6	238
38	349538	2496	space	177	250	11	22.17	10	0	7	245
39	352833	2416	area	29	40	11	11.00	5	0	7	252
40	356097	3280	space	18	30	11	55.43	4	0	4	256
41	360209	2400	size	39	50	44	44.00	5	0	8	264
42	363457	3487	area	258	400	11	11.00	11	0	6	270
43	367791	2241	area	235	500	11	11.00	11	0	0	270
44	371104	2734	size	159	400	24	24.00	9	0	0	270
45	374766	4305	area	75	40	11	11.00	7	0	2	272
46	380031	4496	space	19	6	11	55.43	4	0	0	272
47	385422	3263	size	15	14	55	55.00	4	0	9	281
48	389773	3392	space	130	190	11	27.71	8	0	7	288
49	393933	2927	space	209	300	11	22.17	10	0	7	295
50	397501	6799	area	95	130	11	11.00	7	0	8	303
51	405036	4384	size	27	30	55	55.00	4	0	9	312
52	410316	5406	area	132	80	11	11.00	8	0	5	317
53	416443	5151	space	34	30	11	44.34	5	0	9	326
54	422282	6096	area	43	20	11	11.00	5	0	0	326
55	429386	6175	size	76	45	31	31.00	7	0	4	330
56	436345	4318	size	281	180	18	18.00	12	0	6	336
57	441320	3152	size	238	250	20	20.00	11	0	9	345
58	445384	3311	size	121	150	27	27.00	8	0	9	354
59	449703	2848	size	750	350	11	11.00	19	0	0	354
60	453447	3056	space	28	18	11	55.43	4	0	6	360
61	457271	3167	size	99	60	31	31.00	7	0	5	365
62	461142	4384	space	121	160	11	27.71	8	0	8	373
63	466278	3647	area	47	35	11	11.00	5	0	8	381
64	470708	3345	area	112	60	11	11.00	8	0	2	383
65	474724	3903	area	239	180	11	11.00	11	0	8	391
66	479236	4928	space	53	30	11	36.95	6	0	3	394
67	484851	3280	area	248	450	11	11.00	11	0	2	396
68	488754	4976	area	88	25	11	11.00	7	0	0	396
69	494323	4895	size	23	15	55	55.00	4	0	6	402
70	499954	2863	area	24	20	11	11.00	4	0	9	411
71	503681	5616	space	44	150	11	44.34	5	0	0	411
72	509921	4384	area	57	40	11	11.00	6	0	7	418
73	515073	3535	area	61	60	11	11.00	6	0	9	427
74	519488	5375	size	205	150	22	22.00	10	0	8	435
75	525679	6832	size	17	14	55	55.00	4	0	9	444
76	534447	2575	space	24	15	11	55.43	4	0	5	449
77	537869	5169	size	134	160	27	27.00	8	0	9	458
78	544046	3646	area	39	80	11	11.00	5	0	0	458
79	548605	5296	area	274	300	11	11.00	12	0	9	467
80	556924	9918	area	78	100	11	11.00	7	0	8	475
81	568011	2944	area	132	200	11	11.00	8	0	6	481
82	571850	2368	space	178	200	11	22.17	10	0	9	490
83	575657	2160	area	413	400	11	11.00	14	0	9	499
84	578761	4848	space	51	50	11	36.95	6	0	9	508
85	584664	3489	area	212	350	11	11.00	10	0	4	512
86	589113	4702	area	218	300	11	11.00	11	0	7	519
87	594615	3120	size	53	30	36	36.00	6	0	3	522
88	598488	2704	space	78	50	11	31.67	7	0	6	528
89	601944	2798	space	127	100	11	27.71	8	0	8	536
90	606678	4016	area	134	40	11	11.00	8	0	0	536
91	611319	2831	space	468	450	11	14.78	15	0	9	545
92	614885	4513	area	154	200	11	11.00	9	0	8	553
93	620406	5406	area	107	80	11	11.00	8	0	8	561
94	626981	5790	area	25	15	11	11.00	4	0	4	565
95	633699	4657	size	22	14	55	55.00	4	0	6	571
96	638996	3135	space	35	20	11	44.34	5	0	3	574
97	642995	6320	area	24	15	11	11.00	4	0	5	579
98	650610	3664	area	111	200	11	11.00	8	0	3	582
99	654898	3520	space	112	150	11	27.71	8	0	8	590
100	659186	5311	size	21	9	55	55.00	4	0	0	590
101	665457	2112	area	30	20	11	11.00	5	0	6	596
102	668193	4015	area	119	200	11	11.00	8	0	4	600
103	672944	4560	area	102	80	11	11.00	8	0	8	608
104	678176	5999	size	112	80	27	27.00	8	0	7	615
105	684911	2656	space	184	150	11	22.17	10	0	9	624
106	689487	10510	area	21	16	11	11.00	4	0	8	632
107	700941	3472	area	59	40	11	11.00	6	0	7	639
108	705724	9983	area	25	28	11	11.00	4	0	9	648
109	717164	4590	size	31	38	44	44.00	5	0	9	657
110	722539	5071	space	125	98	11	27.71	8	0	8	665
111	728522	5536	space	21	8	11	55.43	4	0	0	665
112	734857	5488	area	89	15	11	11.00	7	0	0	665
113	741049	2591	space	254	400	11	20.15	11	0	5	670
114	744409	2302	space	262	400	11	20.15	11	0	6	676
115	747352	3888	area	120	130	11	11.00	8	0	9	685
116	752136	3471	size	136	120	24	24.00	9	0	9	694
117	756359	5584	area	37	30	11	11.00	5	0	9	703
118	764023	3935	space	77	35	11	31.67	7	0	0	703
119	768837	2928	area	67	40	11	11.00	6	0	4	707
120	772358	2799	space	224	250	11	20.15	11	0	9	716
121	776772	3489	area	10	7	11	11.00	3	0	7	723
122	783093	2670	area	29	18	11	11.00	5	0	5	728
123	787108	5920	space	29	15	11	44.34	5	0	1	729
124	793908	3647	space	32	18	11	44.34	5	0	3	732
125	798307	5583	space	186	180	11	22.17	10	0	9	741
126	804673	4992	area	316	450	11	11.00	12	0	7	748
127	810322	4526	area	73	50	11	11.00	7	0	7	755
128	815441	2399	size	193	60	22	22.00	10	0	0	755
129	818497	2383	area	56	30	11	11.00	6	0	2	757
130	821553	2286	space	88	45	11	31.67	7	0	1	758
131	824592	3680	size	115	60	27	27.00	8	0	1	759
132	829024	6207	size	19	12	55	55.00	4	0	5	764
133	835951	4384	area	73	50	11	11.00	7	0	7	771
134	841103	3311	area	64	40	11	11.00	6	0	5	776
135	845022	5088	area	218	200	11	11.00	11	0	9	785
136	852925	3951	area	90	130	11	11.00	7	0	7	792
137	857517	11246	size	75	100	31	31.00	7	0	8	800
138	870236	4815	size	182	140	22	22.00	10	0	8	808
139	876283	3200	size	64	130	36	36.00	6	0	0	808
140	880106	3216	space	34	80	11	44.34	5	0	0	808
141	883914	5200	area	84	70	11	11.00	7	0	9	817
142	890489	3088	space	72	85	11	36.95	6	0	9	826
143	895145	3566	size	177	100	22	22.00	10	0	3	829
144	899336	2431	area	222	400	11	11.00	11	0	3	832
145	902312	3296	size	57	40	36	36.00	6	0	7	839
146	906232	3263	space	84	120	11	31.67	7	0	7	846
147	910023	3631	area	56	80	11	11.00	6	0	7	853
148	914215	2032	area	45	90	11	11.00	5	0	0	853
149	917335	3135	area	111	250	11	11.00	8	0	0	853
150	921014	4240	area	36	25	11	11.00	5	0	7	860
151	926134	3775	size	64	35	36	36.00	6	0	2	862
152	930820	2097	size	149	60	24	24.00	9	0	0	862
153	933925	3870	size	174	180	22	22.00	10	0	9	871
154	939908	5168	space	110	60	11	27.71	8	0	2	873
155	945604	4351	area	53	35	11	11.00	6	0	6	879
156	950563	3119	area	112	80	11	11.00	8	0	7	886
157	954339	2526	area	337	450	11	11.00	13	0	8	894
158	958530	3103	space	49	25	11	36.95	6	0	1	895
159	962801	4160	area	171	350	11	11.00	9	0	0	895
160	967632	5841	size	31	25	44	44.00	5	0	9	904
161	975505	4655	size	34	30	44	44.00	5	0	9	913
162	981663	2913	area	66	45	11	11.00	6	0	7	920
163	985935	5711	space	218	60	11	20.15	11	0	0	920
164	992255	3279	area	123	90	11	11.00	8	0	8	928
165	997086	3376	space	74	70	11	31.67	7	0	9	937
166	1001885	3696	size	198	80	22	22.00	10	0	0	937
167	1006365	3359	area	79	60	11	11.00	7	0	8	945
168	1010349	3727	size	38	30	44	44.00	5	0	8	953
169	1015500	4303	area	42	20	11	11.00	5	0	0	953
170	1020428	2335	space	39	20	11	44.34	5	0	1	954
171	1023371	2640	size	44	35	44	44.00	5	0	8	962
172	1027595	2784	area	84	45	11	11.00	7	0	2	964
173	1031531	2447	space	58	40	11	36.95	6	0	7	971
174	1034649	2881	area	46	35	11	11.00	5	0	8	979
175	1038922	2575	size	70	40	36	36.00	6	0	3	982
176	1042313	3184	area	139	200	11	11.00	9	0	7	989
177	1046569	3680	size	151	160	24	24.00	9	0	9	998
178	1053464	2672	area	147	180	11	11.00	9	0	9	1007
179	1057639	4191	area	100	100	11	11.00	7	0	9	1016
180	1063527	3311	space	262	400	11	20.15	11	0	6	1022
181	1067878	2625	size	175	450	22	22.00	10	0	0	1022
182	1071158	2623	space	47	30	11	44.34	5	0	6	1028
183	1074613	2817	area	146	45	11	11.00	9	0	0	1028
184	1078773	2128	area	27	20	11	11.00	4	0	8	1036
185	1081989	5136	space	177	120	11	22.17	10	0	6	1042
186	1087957	2575	space	33	20	11	44.34	5	0	5	1047
187	1091588	6336	size	14	13	73	73.00	3	0	9	1056
188	1100019	3296	area	102	56	11	11.00	8	0	2	1058
189	1104339	5215	size	127	100	27	27.00	8	0	8	1066
190	1110354	2944	size	299	430	18	18.00	12	0	7	1073
191	1114130	3408	area	41	30	11	11.00	5	0	8	1081
192	1119153	4880	space	122	70	11	27.71	8	0	3	1084
193	1125105	3487	area	174	50	11	11.00	10	0	0	1084
194	1129600	2752	area	37	35	11	11.00	5	0	9	1093
195	1133424	2912	size	107	60	27	27.00	8	0	3	1096
196	1137312	4462	area	122	40	11	11.00	8	0	0	1096
197	1142575	4943	size	155	130	24	24.00	9	0	9	1105
198	1148701	4433	space	81	40	11	31.67	7	0	0	1105
199	1153966	3087	area	219	360	11	11.00	11	0	5	1110
200	1158301	7872	size	133	100	27	27.00	8	0	8	1118
201	1167276	4976	area	17	14	11	11.00	4	0	9	1127
202	1174380	6831	size	42	35	44	44.00	5	0	9	1136
203	1182283	4751	space	179	180	11	22.17	10	0	9	1145
204	1189290	5999	size	16	16	55	55.00	4	0	9	1154
205	1196377	3359	space	296	360	11	18.48	12	0	9	1163
206	1200969	6335	size	27	20	55	55.00	4	0	8	1171
207	1208280	4976	area	32	30	11	11.00	5	0	9	1180
208	1214343	3439	area	107	350	11	11.00	8	0	0	1180
209	1218583	5423	space	28	25	11	55.43	4	0	9	1189
210	1226070	3824	space	58	120	11	36.95	6	0	0	1189
211	1230486	8302	area	28	19	11	11.00	4	0	7	1196
212	1239589	3118	area	47	30	11	11.00	5	0	6	1202
213	1243428	3407	area	38	30	11	11.00	5	0	8	1210
214	1247779	8480	size	22	20	55	55.00	4	0	9	1219
215	1257571	2816	area	25	18	11	11.00	4	0	7	1226
216	1261139	2383	size	63	50	36	36.00	6	0	8	1234
217	1265282	4000	size	160	250	24	24.00	9	0	6	1240
218	1271361	4192	area	220	350	11	11.00	11	0	5	1245
219	1276561	6879	space	66	200	11	36.95	6	0	0	1245
220	1284128	2928	size	106	100	27	27.00	8	0	9	1254
221	1289936	4527	size	20	80	55	55.00	4	0	0	1254
222	1295343	4655	size	48	60	44	44.00	5	0	8	1262
223	1301486	4928	area	20	30	11	11.00	4	0	6	1268
224	1307230	6143	area	198	100	11	11.00	10	0	0	1268
225	1314157	2432	area	32	30	11	11.00	5	0	9	1277
226	1317965	2303	size	32	40	44	44.00	5	0	8	1285
227	1320956	4592	area	10	9	11	11.00	3	0	9	1294
228	1326892	5039	space	12	10	11	73.90	3	0	9	1303
229	1333067	2767	space	50	20	11	36.95	6	0	0	1303
230	1336698	9344	area	87	20	11	11.00	7	0	0	1303
231	1346681	3664	size	106	40	27	27.00	8	0	0	1303
232	1350905	3280	space	299	450	11	18.48	12	0	6	1309
233	1355433	2543	space	273	500	11	18.48	12	0	2	1311
234	1358552	2480	size	103	60	27	27.00	8	0	4	1315
235	1361751	3088	area	41	35	11	11.00	5	0	9	1324
236	1365976	3071	space	251	350	11	20.15	11	0	7	1331
237	1371015	3152	space	37	18	11	44.34	5	0	0	1331
238	1374935	5407	size	14	13	73	73.00	3	0	9	1340
239	1381174	3264	area	43	40	11	11.00	5	0	9	1349
240	1385669	2896	area	48	50	11	11.00	5	0	9	1358
241	1389381	6112	space	18	15	11	55.43	4	0	9	1367
242	1396436	4544	size	163	300	24	24.00	9	0	2	1369
243	1402228	3663	space	89	140	11	31.67	7	0	5	1374
244	1406706	3457	area	137	80	11	11.00	9	0	4	1378
245	1410834	5696	size	11	10	73	73.00	3	0	9	1387
246	1418274	3264	area	149	180	11	11.00	9	0	9	1396
247	1423010	5247	space	105	200	11	27.71	8	0	1	1397
248	1428929	4991	size	32	80	44	44.00	5	0	0	1397
249	1434655	2833	size	66	90	36	36.00	6	0	8	1405
250	1438080	4848	size	278	350	18	18.00	12	0	8	1413
251	1444191	5503	space	13	13	11	73.90	3	0	9	1422
252	1451519	4591	area	70	35	11	11.00	6	0	0	1422
253	1456813	2673	area	162	100	11	11.00	9	0	5	1427
254	1460717	2720	space	116	160	11	27.71	8	0	7	1434
255	1464636	3457	area	47	180	11	11.00	5	0	0	1434
256	1468748	3217	area	170	400	11	11.00	9	0	0	1434
