Subject: e14dl
trial	startTime	responseTime	vary	n	response	Rdot	Rspace	Nrings	Feedback	points	score
1	76038	8247	space	11	8	11	73.90	3	11	8	8
2	86551	4326	size	17	12	55	55.00	4	17	7	15
3	93030	4265	size	266	70	18	18.00	12	266	0	15
4	100790	4792	area	138	100	11	11.00	9	138	7	22
5	107287	2902	area	125	150	11	11.00	8	125	9	31
6	111416	3398	size	95	120	31	31.00	7	95	8	39
7	115879	4134	space	42	20	11	44.34	5	42	0	39
8	121464	3558	space	211	220	11	22.17	10	211	9	48
9	125959	6520	size	130	240	27	27.00	8	130	2	50
10	133655	7943	area	15	23	11	11.00	4	15	6	56
11	142408	6774	area	116	120	11	11.00	8	116	9	65
12	150360	3509	area	51	115	11	11.00	6	51	0	65
13	158424	13143	space	48	35	11	44.34	5	48	8	73
14	174215	3591	space	70	50	11	36.95	6	70	7	80
15	179449	8038	area	51	40	11	11.00	6	51	8	88
16	189112	2966	size	29	15	44	44.00	5	29	1	89
17	193401	3190	space	17	15	11	55.43	4	17	9	98
18	197176	6934	size	11	13	73	73.00	3	11	9	107
19	204968	4134	size	31	26	44	44.00	5	31	9	116
20	209720	11815	space	48	56	11	44.34	5	48	9	125
21	223369	6454	size	27	40	55	55.00	4	27	6	131
22	231816	4633	area	355	245	11	11.00	13	355	7	138
23	237513	7111	space	115	160	11	27.71	8	115	7	145
24	245784	5351	area	45	55	11	11.00	5	45	9	154
25	252889	3062	size	25	23	55	55.00	4	25	9	163
26	256761	3505	space	111	115	11	27.71	8	0	9	172
27	262025	4960	area	35	29	11	11.00	5	0	9	181
28	271033	7281	size	30	30	44	44.00	5	0	9	190
29	281306	2192	area	69	110	11	11.00	6	0	5	195
30	284602	2575	size	57	65	36	36.00	6	0	9	204
31	289498	3920	space	28	30	11	55.43	4	0	9	213
32	294410	5695	area	121	140	11	11.00	8	0	9	222
33	301193	2608	area	98	150	11	11.00	7	0	6	228
34	304602	4319	area	58	85	11	11.00	6	0	7	235
35	309705	2593	size	75	123	31	31.00	7	0	5	240
36	313081	6274	area	21	14	11	11.00	4	0	6	246
37	320217	2529	area	177	120	11	11.00	10	0	6	252
38	323515	3040	area	182	140	11	11.00	10	0	8	260
39	327419	6543	size	74	34	31	31.00	7	0	0	260
40	334970	4672	size	33	45	44	44.00	5	0	8	268
41	340571	3359	size	60	56	36	36.00	6	0	9	277
42	344746	2448	size	46	56	44	44.00	5	0	9	286
43	348475	3072	space	366	344	11	17.05	13	0	9	295
44	353210	9792	size	19	20	55	55.00	4	0	9	304
45	363850	5040	area	59	48	11	11.00	6	0	9	313
46	370010	5409	area	24	18	11	11.00	4	0	8	321
47	376251	3056	space	137	91	11	24.63	9	0	6	327
48	380138	2417	space	135	110	11	24.63	9	0	9	336
49	383690	3280	size	28	45	55	55.00	4	0	5	341
50	388218	2992	size	161	190	24	24.00	9	0	9	350
51	392347	4608	space	42	78	11	44.34	5	0	2	352
52	397915	4673	area	145	180	11	11.00	9	0	9	361
53	404747	4336	space	18	15	11	55.43	4	0	9	370
54	411915	3425	space	42	25	11	44.34	5	0	4	374
55	416091	3473	size	320	350	17	17.00	13	0	9	383
56	420412	5008	space	44	45	11	44.34	5	0	9	392
57	426252	2479	space	18	20	11	55.43	4	0	9	401
58	429340	7184	size	97	205	31	31.00	7	0	0	401
59	438492	3776	space	109	126	11	27.71	8	0	9	410
60	443147	3504	size	249	300	20	20.00	11	0	9	419
61	447643	5264	space	114	125	11	27.71	8	0	9	428
62	454123	6816	space	20	45	11	55.43	4	0	0	428
63	462604	3199	area	82	98	11	11.00	7	0	9	437
64	466429	2799	size	27	21	55	55.00	4	0	8	445
65	469948	3633	area	66	87	11	11.00	6	0	8	453
66	474525	2704	area	140	190	11	11.00	9	0	8	461
67	477820	3072	area	105	180	11	11.00	8	0	4	465
68	481485	4816	size	49	26	36	36.00	6	0	2	467
69	487068	4880	space	30	20	11	44.34	5	0	6	473
70	492764	3729	size	301	340	18	18.00	12	0	9	482
71	497389	5743	area	42	35	11	11.00	5	0	9	491
72	503836	3952	size	133	190	27	27.00	8	0	7	498
73	508493	2064	area	158	200	11	11.00	9	0	8	506
74	511405	4479	space	117	170	11	27.71	8	0	7	513
75	516541	2415	area	25	20	11	11.00	4	0	9	522
76	519644	3713	space	53	120	11	36.95	6	0	0	522
77	524108	4880	space	11	11	11	73.90	3	0	9	531
78	530557	6880	area	77	100	11	11.00	7	0	8	539
79	538286	2495	area	183	200	11	11.00	10	0	9	548
80	541550	3615	space	61	74	11	36.95	6	0	9	557
81	545853	2417	space	34	85	11	44.34	5	0	0	557
82	548925	3184	area	89	90	11	11.00	7	0	9	566
83	552765	2448	size	50	50	36	36.00	6	0	9	575
84	555917	5329	area	96	180	11	11.00	7	0	2	577
85	562061	4720	space	30	40	11	44.34	5	0	8	585
86	567965	3537	size	54	36	36	36.00	6	0	6	591
87	572125	4401	size	58	50	36	36.00	6	0	9	600
88	577197	3632	size	69	85	36	36.00	6	0	9	609
89	581422	2479	area	274	185	11	11.00	12	0	6	615
90	584510	4239	size	49	36	36	36.00	6	0	8	623
91	589422	4639	space	26	23	11	55.43	4	0	9	632
92	594861	3441	size	54	25	36	36.00	6	0	0	632
93	599021	2289	size	29	20	44	44.00	5	0	7	639
94	601885	3441	space	141	80	11	24.63	9	0	3	642
95	605981	4289	area	56	35	11	11.00	6	0	5	647
96	610845	2241	area	100	190	11	11.00	7	0	1	648
97	613678	3585	area	16	15	11	11.00	4	0	9	657
98	617950	1744	space	17	15	11	55.43	4	0	9	666
99	620287	3104	size	300	190	18	18.00	12	0	5	671
100	624046	1936	area	41	78	11	11.00	5	0	1	672
101	626639	1824	size	85	190	31	31.00	7	0	0	672
102	629086	2640	area	230	224	11	11.00	11	0	9	681
103	632383	2208	size	75	100	31	31.00	7	0	8	689
104	635359	3936	area	445	345	11	11.00	15	0	8	697
105	639966	2337	area	89	90	11	11.00	7	0	9	706
106	642846	1537	area	76	90	11	11.00	7	0	9	715
107	644894	2625	size	132	98	27	27.00	8	0	8	723
108	648110	2513	space	151	100	11	24.63	9	0	6	729
109	651263	2048	space	39	45	11	44.34	5	0	9	738
110	653966	3297	size	78	45	31	31.00	7	0	3	741
111	657790	2545	space	140	60	11	24.63	9	0	0	741
112	661054	2449	space	125	100	11	27.71	8	0	9	750
113	664142	3153	size	160	120	24	24.00	9	0	8	758
114	668014	2192	area	142	140	11	11.00	9	0	9	767
115	670766	4465	size	20	18	55	55.00	4	0	9	776
116	675790	1936	area	56	19	11	11.00	6	0	0	776
117	678303	2415	size	112	35	27	27.00	8	0	0	776
118	681295	2640	size	227	190	20	20.00	11	0	9	785
119	684512	2399	size	51	16	36	36.00	6	0	0	785
120	687456	2176	space	133	180	11	27.71	8	0	8	793
121	690320	3359	size	75	150	31	31.00	7	0	0	793
122	694175	4289	size	61	78	36	36.00	6	0	8	801
123	699023	2752	area	51	30	11	11.00	6	0	4	805
124	702512	2128	space	230	190	11	20.15	11	0	9	814
125	705360	2208	size	59	160	36	36.00	6	0	0	814
126	708304	2272	space	240	180	11	20.15	11	0	8	822
127	711360	5040	space	109	100	11	27.71	8	0	9	831
128	717039	1840	space	98	120	11	31.67	7	0	9	840
129	719440	2128	size	246	150	20	20.00	11	0	5	845
130	722095	2289	area	44	45	11	11.00	5	0	9	854
131	725103	3313	space	111	120	11	27.71	8	0	9	863
132	728959	2752	size	27	25	55	55.00	4	0	9	872
133	732703	3152	space	186	175	11	22.17	10	0	9	881
134	736576	2864	space	75	150	11	31.67	7	0	0	881
135	740031	3249	area	20	40	11	11.00	4	0	0	881
136	743887	2160	space	58	180	11	36.95	6	0	0	881
137	746640	2127	space	52	100	11	36.95	6	0	1	882
138	749457	1967	space	131	170	11	27.71	8	0	8	890
139	752176	2576	size	56	150	36	36.00	6	0	0	890
140	755345	2479	area	34	85	11	11.00	5	0	0	890
141	758385	1455	area	67	85	11	11.00	6	0	8	898
142	760529	1920	space	25	25	11	55.43	4	0	9	907
143	763072	1584	space	31	25	11	44.34	5	0	9	916
144	765281	2256	area	144	95	11	11.00	9	0	6	922
145	768096	3840	space	78	86	11	31.67	7	0	9	931
146	772545	2207	size	99	100	31	31.00	7	0	9	940
147	775425	3808	size	19	23	55	55.00	4	0	9	949
148	779744	3376	space	128	120	11	27.71	8	0	9	958
149	783712	2192	area	40	40	11	11.00	5	0	9	967
150	786513	2335	space	131	180	11	27.71	8	0	7	974
151	789473	4144	size	60	145	36	36.00	6	0	0	974
152	794593	2159	space	174	180	11	22.17	10	0	9	983
153	797744	2160	space	132	180	11	27.71	8	0	8	991
154	800704	1617	size	246	190	20	20.00	11	0	8	999
155	802896	2609	area	214	200	11	11.00	10	0	9	1008
156	806112	2129	area	12	12	11	11.00	3	0	9	1017
157	808928	2144	area	56	180	11	11.00	6	0	0	1017
158	811617	2736	area	75	45	11	11.00	7	0	4	1021
159	815168	2161	size	112	60	27	27.00	8	0	2	1023
160	817968	5136	area	17	18	11	11.00	4	0	9	1032
161	823680	3057	size	157	65	24	24.00	9	0	0	1032
162	827394	4399	space	43	30	11	44.34	5	0	7	1039
163	832466	4527	size	87	75	31	31.00	7	0	9	1048
164	838594	2688	space	108	110	11	27.71	8	0	9	1057
165	843121	2896	size	26	98	55	55.00	4	0	0	1057
166	846721	4144	area	128	130	11	11.00	8	0	9	1066
167	852145	2784	area	24	35	11	11.00	4	0	7	1073
168	855570	3167	size	29	120	44	44.00	5	0	0	1073
169	859185	3008	space	25	20	11	55.43	4	0	9	1082
170	862833	7856	size	71	60	36	36.00	6	0	9	1091
171	871586	3024	size	37	45	44	44.00	5	0	9	1100
172	875153	2305	space	89	75	11	31.67	7	0	9	1109
173	878242	5903	space	53	70	11	36.95	6	0	8	1117
174	884785	3200	area	95	95	11	11.00	7	0	9	1126
175	888753	3008	area	22	55	11	11.00	4	0	0	1126
176	892498	4479	size	59	55	36	36.00	6	0	9	1135
177	897698	3232	space	11	14	11	73.90	3	0	8	1143
178	901666	2801	space	59	25	11	36.95	6	0	0	1143
179	905363	2144	area	119	65	11	11.00	8	0	2	1145
180	908114	2624	area	45	45	11	11.00	5	0	9	1154
181	911491	2175	space	145	85	11	24.63	9	0	4	1158
182	914467	1824	area	84	85	11	11.00	7	0	9	1167
183	916898	1936	size	230	100	20	20.00	11	0	0	1167
184	919459	2048	size	100	95	31	31.00	7	0	9	1176
185	922259	4415	size	19	25	55	55.00	4	0	8	1184
186	927283	2288	size	205	120	22	22.00	10	0	4	1188
187	930451	2784	space	12	8	11	73.90	3	0	6	1194
188	934050	7393	space	118	93	11	27.71	8	0	8	1202
189	942227	3184	space	184	120	11	22.17	10	0	6	1208
190	946050	3024	size	42	25	44	44.00	5	0	4	1212
191	949666	2224	space	95	45	11	31.67	7	0	0	1212
192	952499	1599	space	90	45	11	31.67	7	0	0	1212
193	954658	1793	size	82	55	31	31.00	7	0	6	1218
194	957090	2640	size	57	60	36	36.00	6	0	9	1227
195	960307	2863	size	173	110	22	22.00	10	0	5	1232
196	963778	3121	space	66	95	11	36.95	6	0	7	1239
197	967443	2977	space	21	20	11	55.43	4	0	9	1248
198	970979	2112	space	77	30	11	31.67	7	0	0	1248
199	973779	2833	area	14	15	11	11.00	3	0	9	1257
200	977236	2767	size	69	45	36	36.00	6	0	6	1263
201	981508	4271	size	70	85	36	36.00	6	0	9	1272
202	986659	1569	area	37	85	11	11.00	5	0	0	1272
203	988899	1617	size	20	15	55	55.00	4	0	8	1280
204	991396	2527	size	112	40	27	27.00	8	0	0	1280
205	994372	1279	space	72	45	11	36.95	6	0	5	1285
206	996147	2337	space	34	35	11	44.34	5	0	9	1294
207	999428	3535	size	16	12	55	55.00	4	0	8	1302
208	1003651	2224	space	207	110	11	22.17	10	0	2	1304
209	1006612	1856	area	54	120	11	11.00	6	0	0	1304
210	1009027	2800	size	36	85	44	44.00	5	0	0	1304
