part,num_dots,answer,feedback,a,points,time
1,15,7,0,0.000000,0,0,2.90
1,183,100,0,0.000000,0,0,2.10
1,23,20,0,0.000000,0,0,2.63
1,32,30,0,0.000000,0,0,2.59
1,14,15,0,0.000000,0,0,2.05
1,41,35,0,0.000000,0,0,1.69
1,8,10,0,0.000000,0,0,1.21
1,60,40,0,0.000000,0,0,1.32
1,19,25,0,0.000000,0,0,1.62
1,8,7,0,0.000000,0,0,1.60
1,71,45,0,0.000000,0,0,2.50
1,9,20,0,0.000000,0,0,2.14
1,46,20,0,0.000000,0,0,1.74
1,4,4,0,0.000000,0,0,1.07
1,28,15,0,0.000000,0,0,1.49
1,80,45,0,0.000000,0,0,1.69
1,52,45,0,0.000000,0,0,0.65
1,62,45,0,0.000000,0,0,0.12
1,15,45,0,0.000000,0,0,0.01
1,29,45,0,0.000000,0,0,0.01
1,64,45,0,0.000000,0,0,0.01
1,107,45,0,0.000000,0,0,0.01
1,2,45,0,0.000000,0,0,0.01
1,43,45,0,0.000000,0,0,0.01
1,12,45,0,0.000000,0,0,0.01
1,58,45,0,0.000000,0,0,0.01
1,67,5,0,0.000000,0,0,0.01
1,157,45,0,0.000000,0,0,0.02
1,52,45,0,0.000000,0,0,0.01
1,35,45,0,0.000000,0,0,0.01
1,30,5,0,0.000000,0,0,0.01
1,51,45,0,0.000000,0,0,0.01
1,28,545,0,0.000000,0,0,0.01
1,7,45,0,0.000000,0,0,0.01
1,2,54,0,0.000000,0,0,0.01
1,46,4,0,0.000000,0,0,0.01
1,3,5,0,0.000000,0,0,0.01
1,6,45,0,0.000000,0,0,0.01
1,76,5,0,0.000000,0,0,0.01
1,17,4,0,0.000000,0,0,0.01
1,16,5,0,0.000000,0,0,0.01
1,39,4,0,0.000000,0,0,0.01
1,78,5,0,0.000000,0,0,0.01
1,5,444,0,0.000000,0,0,0.24
1,2,4,0,0.000000,0,0,0.01
1,32,445,0,0.000000,0,0,0.69
1,84,45,0,0.000000,0,0,0.36
1,29,45,0,0.000000,0,0,0.01
1,21,12,0,0.000000,0,0,0.89
1,17,12,0,0.000000,0,0,0.01
1,28,12,0,0.000000,0,0,0.01
1,44,2,0,0.000000,0,0,0.01
1,8,12,0,0.000000,0,0,0.01
1,20,12,0,0.000000,0,0,0.01
1,134,2,0,0.000000,0,0,0.01
1,27,13,0,0.000000,0,0,0.34
1,5,14,0,0.000000,0,0,0.08
1,39,35,0,0.000000,0,0,0.40
1,38,57,0,0.000000,0,0,0.11
1,13,45,0,0.000000,0,0,0.07
1,16,34,0,0.000000,0,0,0.14
1,195,567,0,0.000000,0,0,0.07
1,59,34,0,0.000000,0,0,0.13
1,189,57,0,0.000000,0,0,0.57
1,48,23,0,0.000000,0,0,0.24
1,39,56,0,0.000000,0,0,0.14
1,66,34,0,0.000000,0,0,0.19
1,79,67,0,0.000000,0,0,0.07
