part,num_dots,answer,feedback,a,points,time
1,14,15,0,0.000000,0,0,9.08
1,19,17,0,0.000000,0,0,10.07
1,104,50,0,0.000000,0,0,4.90
1,24,15,0,0.000000,0,0,14.96
1,49,33,0,0.000000,0,0,4.27
1,29,25,0,0.000000,0,0,8.02
1,13,12,0,0.000000,0,0,6.74
1,11,10,0,0.000000,0,0,4.63
1,36,35,0,0.000000,0,0,5.96
1,39,45,0,0.000000,0,0,4.31
1,68,55,0,0.000000,0,0,4.70
1,154,65,0,0.000000,0,0,6.50
1,14,11,0,0.000000,0,0,5.34
1,22,23,0,0.000000,0,0,3.75
1,39,37,0,0.000000,0,0,5.80
1,26,38,0,0.000000,0,0,7.19
1,22,33,0,0.000000,0,0,9.84
1,79,70,0,0.000000,0,0,2.39
1,8,7,0,0.000000,0,0,4.76
1,78,53,0,0.000000,0,0,3.86
1,100,68,0,0.000000,0,0,2.23
1,2,2,0,0.000000,0,0,2.63
1,11,9,0,0.000000,0,0,3.58
1,22,18,0,0.000000,0,0,4.17
1,12,10,0,0.000000,0,0,5.90
1,32,24,0,0.000000,0,0,2.46
1,55,37,0,0.000000,0,0,3.43
1,62,47,0,0.000000,0,0,2.83
1,24,24,0,0.000000,0,0,4.60
1,20,29,0,0.000000,0,0,5.11
1,115,80,0,0.000000,0,0,2.57
1,69,32,0,0.000000,0,0,3.62
1,42,35,0,0.000000,0,0,4.51
1,121,76,0,0.000000,0,0,3.08
1,66,54,0,0.000000,0,0,4.49
1,11,12,0,0.000000,0,0,6.51
1,27,20,0,0.000000,0,0,4.46
1,125,86,0,0.000000,0,0,3.30
1,7,7,0,0.000000,0,0,3.04
1,36,28,0,0.000000,0,0,4.85
1,25,24,0,0.000000,0,0,3.89
1,8,8,0,0.000000,0,0,2.96
1,108,88,0,0.000000,0,0,2.43
1,27,45,0,0.000000,0,0,6.78
1,14,15,0,0.000000,0,0,6.58
1,89,76,0,0.000000,0,0,3.81
1,8,7,0,0.000000,0,0,3.35
1,31,19,0,0.000000,0,0,5.40
1,14,16,0,0.000000,0,0,7.76
1,9,8,0,0.000000,0,0,4.08
1,55,35,0,0.000000,0,0,4.23
1,15,22,0,0.000000,0,0,9.03
1,3,3,0,0.000000,0,0,0.97
1,75,21,0,0.000000,0,0,7.11
1,87,42,0,0.000000,0,0,4.77
1,142,54,0,0.000000,0,0,4.92
1,4,4,0,0.000000,0,0,1.25
1,142,60,0,0.000000,0,0,2.71
1,2,2,0,0.000000,0,0,1.03
1,36,18,0,0.000000,0,0,4.66
1,26,17,0,0.000000,0,0,3.19
1,64,24,0,0.000000,0,0,4.75
1,180,76,0,0.000000,0,0,3.66
1,11,9,0,0.000000,0,0,3.14
1,22,2,0,0.000000,0,0,5.92
1,39,23,0,0.000000,0,0,5.91
1,75,38,0,0.000000,0,0,2.90
1,101,45,0,0.000000,0,0,4.37
1,33,15,0,0.000000,0,0,4.83
1,63,25,0,0.000000,0,0,2.68
1,23,18,0,0.000000,0,0,8.21
1,35,20,0,0.000000,0,0,2.65
1,6,6,0,0.000000,0,0,1.86
1,3,3,0,0.000000,0,0,1.02
1,57,30,0,0.000000,0,0,6.01
1,28,20,0,0.000000,0,0,2.20
1,68,29,0,0.000000,0,0,2.92
1,168,38,0,0.000000,0,0,4.41
1,28,27,0,0.000000,0,0,4.77
1,19,18,0,0.000000,0,0,3.27
1,5,5,0,0.000000,0,0,4.01
1,23,17,0,0.000000,0,0,7.22
1,26,18,0,0.000000,0,0,7.67
1,104,34,0,0.000000,0,0,2.97
1,37,20,0,0.000000,0,0,3.25
1,28,20,0,0.000000,0,0,1.97
1,265,75,0,0.000000,0,0,4.45
1,24,24,0,0.000000,0,0,9.08
1,138,40,0,0.000000,0,0,2.84
1,28,35,0,0.000000,0,0,3.08
1,52,19,0,0.000000,0,0,2.84
1,60,20,0,0.000000,0,0,2.29
1,53,24,0,0.000000,0,0,3.44
1,57,20,0,0.000000,0,0,1.95
1,8,7,0,0.000000,0,0,3.94
1,75,25,0,0.000000,0,0,2.41
1,23,15,0,0.000000,0,0,2.71
1,28,17,0,0.000000,0,0,1.79
1,59,20,0,0.000000,0,0,4.20
1,47,17,0,0.000000,0,0,4.98
1,55,20,0,0.000000,0,0,2.70
1,20,16,0,0.000000,0,0,11.67
1,18,18,0,0.000000,0,0,7.60
1,37,20,0,0.000000,0,0,1.76
1,11,10,0,0.000000,0,0,4.74
1,79,20,0,0.000000,0,0,1.62
1,5,5,0,0.000000,0,0,1.98
1,21,15,0,0.000000,0,0,4.63
1,50,20,0,0.000000,0,0,1.96
1,44,18,0,0.000000,0,0,4.27
1,68,27,0,0.000000,0,0,4.87
1,19,14,0,0.000000,0,0,4.12
1,99,45,0,0.000000,0,0,3.08
1,58,29,0,0.000000,0,0,5.53
1,3,3,0,0.000000,0,0,1.43
1,101,26,0,0.000000,0,0,6.47
1,66,25,0,0.000000,0,0,5.93
1,5,5,0,0.000000,0,0,2.95
1,83,19,0,0.000000,0,0,7.10
1,99,26,0,0.000000,0,0,2.68
1,9,8,0,0.000000,0,0,4.63
1,50,24,0,0.000000,0,0,2.65
1,132,28,0,0.000000,0,0,2.57
1,51,23,0,0.000000,0,0,7.08
1,111,45,0,0.000000,0,0,3.49
1,32,19,0,0.000000,0,0,7.56
1,32,1,0,0.000000,0,0,5.15
1,14,18,0,0.000000,0,0,9.86
1,78,30,0,0.000000,0,0,2.94
1,24,17,0,0.000000,0,0,3.50
1,18,13,0,0.000000,0,0,5.08
1,197,45,0,0.000000,0,0,11.52
1,132,45,0,0.000000,0,0,1.96
1,17,12,0,0.000000,0,0,3.70
1,94,25,0,0.000000,0,0,2.92
1,73,34,0,0.000000,0,0,14.40
1,80,23,0,0.000000,0,0,1.84
1,69,21,0,0.000000,0,0,1.72
1,85,20,0,0.000000,0,0,1.34
1,266,65,0,0.000000,0,0,3.30
1,25,20,0,0.000000,0,0,7.34
1,22,20,0,0.000000,0,0,7.63
1,7,6,0,0.000000,0,0,4.84
1,81,20,0,0.000000,0,0,8.59
1,7,7,0,0.000000,0,0,3.08
1,19,19,0,0.000000,0,0,4.28
1,21,34,0,0.000000,0,0,8.31
1,21,20,0,0.000000,0,0,6.55
1,8,8,0,0.000000,0,0,3.51
1,44,20,0,0.000000,0,0,4.24
1,14,12,0,0.000000,0,0,6.35
1,71,29,0,0.000000,0,0,2.70
1,33,33,0,0.000000,0,0,5.84
1,12,14,0,0.000000,0,0,4.96
1,94,30,0,0.000000,0,0,2.48
1,17,15,0,0.000000,0,0,7.79
1,61,26,0,0.000000,0,0,3.03
1,15,13,0,0.000000,0,0,6.71
