part,num_dots,answer,feedback,a,points,time
1,16,30,0,0.000000,0,0,6.85
1,17,16,0,0.000000,0,0,3.21
1,80,50,0,0.000000,0,0,3.28
1,29,36,0,0.000000,0,0,2.64
1,61,68,0,0.000000,0,0,3.84
1,73,59,0,0.000000,0,0,3.77
1,29,28,0,0.000000,0,0,3.36
1,34,33,0,0.000000,0,0,1.83
1,30,30,0,0.000000,0,0,3.74
1,58,50,0,0.000000,0,0,2.44
1,42,48,0,0.000000,0,0,2.32
1,95,70,0,0.000000,0,0,1.71
1,81,65,0,0.000000,0,0,3.31
1,167,90,0,0.000000,0,0,1.99
1,42,29,0,0.000000,0,0,3.23
1,6,8,0,0.000000,0,0,2.22
1,20,29,0,0.000000,0,0,5.44
1,65,39,0,0.000000,0,0,2.57
1,17,15,0,0.000000,0,0,3.88
1,5,5,0,0.000000,0,0,1.46
1,37,20,0,0.000000,0,0,5.44
1,200,128,0,0.000000,0,0,5.66
1,8,8,0,0.000000,0,0,2.64
1,3,3,0,0.000000,0,0,0.96
1,6,6,0,0.000000,0,0,3.88
1,41,27,0,0.000000,0,0,5.19
1,165,110,0,0.000000,0,0,3.90
1,45,34,0,0.000000,0,0,3.16
1,11,16,0,0.000000,0,0,1.80
1,18,25,0,0.000000,0,0,2.37
1,7,10,0,0.000000,0,0,2.22
1,37,20,0,0.000000,0,0,8.10
1,52,36,0,0.000000,0,0,2.41
1,25,19,0,0.000000,0,0,2.39
1,15,15,0,0.000000,0,0,2.93
1,49,31,0,0.000000,0,0,2.55
1,80,51,0,0.000000,0,0,1.89
1,63,40,0,0.000000,0,0,2.67
1,101,68,0,0.000000,0,0,3.01
1,45,42,0,0.000000,0,0,2.37
1,6,8,0,0.000000,0,0,2.71
1,54,39,0,0.000000,0,0,2.18
1,122,70,0,0.000000,0,0,3.42
1,185,84,0,0.000000,0,0,2.56
1,34,24,0,0.000000,0,0,3.70
1,121,60,0,0.000000,0,0,5.53
1,34,28,0,0.000000,0,0,2.37
1,51,35,0,0.000000,0,0,2.83
1,4,4,0,0.000000,0,0,1.12
1,10,13,0,0.000000,0,0,2.01
1,128,48,0,0.000000,0,0,3.89
1,65,58,0,0.000000,0,0,3.44
1,33,38,0,0.000000,0,0,2.02
1,175,76,0,0.000000,0,0,2.12
