part,num_dots,answer,feedback,a,points,time
1,4,5,0,0.000000,0,0,6.12
1,11,11,0,0.000000,0,0,9.79
1,118,100,0,0.000000,0,0,9.30
1,28,18,0,0.000000,0,0,2.84
1,44,32,0,0.000000,0,0,3.01
1,20,26,0,0.000000,0,0,3.11
1,35,28,0,0.000000,0,0,7.82
1,9,13,0,0.000000,0,0,5.29
1,12,12,0,0.000000,0,0,4.57
1,167,120,0,0.000000,0,0,4.83
1,12,12,0,0.000000,0,0,4.70
1,20,24,0,0.000000,0,0,4.95
1,60,38,0,0.000000,0,0,4.07
1,7,8,0,0.000000,0,0,3.99
1,36,7,0,0.000000,0,0,7.61
1,15,28,0,0.000000,0,0,5.03
1,34,36,0,0.000000,0,0,10.15
1,18,22,0,0.000000,0,0,9.80
1,123,60,0,0.000000,0,0,7.94
1,136,60,0,0.000000,0,0,4.67
1,27,28,0,0.000000,0,0,9.62
1,9,8,0,0.000000,0,0,4.97
1,26,27,0,0.000000,0,0,4.94
1,25,20,0,0.000000,0,0,6.99
1,15,16,0,0.000000,0,0,7.09
1,21,22,0,0.000000,0,0,6.84
1,3,3,0,0.000000,0,0,1.41
1,83,80,0,0.000000,0,0,7.01
1,42,40,0,0.000000,0,0,3.67
1,44,50,0,0.000000,0,0,4.33
1,20,18,0,0.000000,0,0,6.92
1,4,4,0,0.000000,0,0,1.82
1,17,14,0,0.000000,0,0,6.73
1,27,28,0,0.000000,0,0,3.78
1,11,14,0,0.000000,0,0,6.41
1,51,32,0,0.000000,0,0,5.29
1,14,12,0,0.000000,0,0,6.70
1,85,40,0,0.000000,0,0,5.12
1,60,50,0,0.000000,0,0,4.38
1,103,50,0,0.000000,0,0,4.17
1,27,23,0,0.000000,0,0,3.47
1,9,10,0,0.000000,0,0,5.99
1,37,26,0,0.000000,0,0,6.52
1,121,42,0,0.000000,0,0,10.99
1,62,36,0,0.000000,0,0,3.82
1,145,54,0,0.000000,0,0,5.84
1,21,19,0,0.000000,0,0,9.57
1,42,29,0,0.000000,0,0,2.77
1,23,25,0,0.000000,0,0,6.19
1,131,35,0,0.000000,0,0,8.39
1,8,9,0,0.000000,0,0,4.84
1,5,5,0,0.000000,0,0,2.87
1,10,9,0,0.000000,0,0,4.90
1,5,5,0,0.000000,0,0,2.29
1,18,13,0,0.000000,0,0,5.66
1,64,29,0,0.000000,0,0,3.97
1,88,35,0,0.000000,0,0,3.66
1,13,15,0,0.000000,0,0,7.52
1,78,38,0,0.000000,0,0,4.90
1,72,40,0,0.000000,0,0,2.39
1,6,6,0,0.000000,0,0,3.72
1,35,36,0,0.000000,0,0,7.27
1,66,42,0,0.000000,0,0,11.07
1,22,18,0,0.000000,0,0,6.12
1,66,28,0,0.000000,0,0,5.20
1,17,18,0,0.000000,0,0,7.68
1,55,32,0,0.000000,0,0,5.30
1,38,28,0,0.000000,0,0,3.29
1,3,3,0,0.000000,0,0,1.44
1,43,30,0,0.000000,0,0,9.64
1,139,50,0,0.000000,0,0,4.17
1,46,20,0,0.000000,0,0,3.21
1,53,25,0,0.000000,0,0,4.90
1,29,20,0,0.000000,0,0,2.61
1,82,30,0,0.000000,0,0,2.04
1,18,18,0,0.000000,0,0,2.67
1,90,28,0,0.000000,0,0,2.03
1,57,30,0,0.000000,0,0,1.29
1,35,32,0,0.000000,0,0,10.62
1,3,3,0,0.000000,0,0,0.94
1,63,30,0,0.000000,0,0,7.04
1,14,18,0,0.000000,0,0,2.91
1,149,40,0,0.000000,0,0,4.74
1,4,4,0,0.000000,0,0,1.81
1,41,28,0,0.000000,0,0,4.69
1,143,50,0,0.000000,0,0,3.81
1,82,28,0,0.000000,0,0,4.62
1,12,15,0,0.000000,0,0,5.49
1,30,22,0,0.000000,0,0,6.74
1,52,30,0,0.000000,0,0,3.73
1,81,40,0,0.000000,0,0,2.08
1,35,25,0,0.000000,0,0,4.52
1,97,40,0,0.000000,0,0,2.23
1,62,35,0,0.000000,0,0,8.10
1,18,22,0,0.000000,0,0,10.34
1,156,50,0,0.000000,0,0,3.66
1,28,27,0,0.000000,0,0,4.74
1,109,28,0,0.000000,0,0,11.04
1,56,36,0,0.000000,0,0,3.51
1,8,9,0,0.000000,0,0,5.49
1,95,45,0,0.000000,0,0,12.92
1,10,12,0,0.000000,0,0,6.60
1,40,30,0,0.000000,0,0,10.56
1,34,28,0,0.000000,0,0,11.92
1,14,16,0,0.000000,0,0,7.84
1,40,28,0,0.000000,0,0,2.31
1,40,35,0,0.000000,0,0,5.69
1,27,28,0,0.000000,0,0,3.33
1,93,37,0,0.000000,0,0,2.77
1,65,30,0,0.000000,0,0,4.53
1,14,19,0,0.000000,0,0,5.50
1,25,28,0,0.000000,0,0,5.22
1,26,28,0,0.000000,0,0,8.93
1,10,10,0,0.000000,0,0,5.20
1,69,40,0,0.000000,0,0,2.25
1,92,50,0,0.000000,0,0,1.36
1,72,50,0,0.000000,0,0,1.63
1,53,38,0,0.000000,0,0,2.17
1,46,48,0,0.000000,0,0,2.67
1,80,50,0,0.000000,0,0,3.71
1,35,20,0,0.000000,0,0,3.13
1,4,4,0,0.000000,0,0,1.31
1,49,28,0,0.000000,0,0,9.08
1,75,38,0,0.000000,0,0,1.75
1,67,36,0,0.000000,0,0,4.19
1,9,8,0,0.000000,0,0,5.64
1,48,48,0,0.000000,0,0,6.69
1,41,32,0,0.000000,0,0,2.56
1,9,9,0,0.000000,0,0,5.00
1,133,60,0,0.000000,0,0,3.26
1,37,60,0,0.000000,0,0,21.93
1,45,32,0,0.000000,0,0,1.99
1,80,40,0,0.000000,0,0,1.64
1,20,28,0,0.000000,0,0,3.54
1,24,28,0,0.000000,0,0,8.07
1,130,39,0,0.000000,0,0,3.60
1,69,30,0,0.000000,0,0,4.88
1,76,39,0,0.000000,0,0,4.36
1,29,18,0,0.000000,0,0,2.44
1,52,28,0,0.000000,0,0,2.49
1,43,28,0,0.000000,0,0,1.34
1,73,36,0,0.000000,0,0,4.17
1,60,28,0,0.000000,0,0,7.69
1,15,17,0,0.000000,0,0,7.95
1,110,35,0,0.000000,0,0,40.49
1,25,28,0,0.000000,0,0,2.59
1,21,22,0,0.000000,0,0,6.21
1,29,28,0,0.000000,0,0,2.59
1,27,29,0,0.000000,0,0,6.66
1,97,38,0,0.000000,0,0,5.73
1,60,38,0,0.000000,0,0,3.01
1,20,18,0,0.000000,0,0,2.02
1,41,27,0,0.000000,0,0,2.46
1,42,28,0,0.000000,0,0,6.74
1,18,19,0,0.000000,0,0,5.47
1,11,11,0,0.000000,0,0,4.62
1,10,10,0,0.000000,0,0,5.78
1,6,6,0,0.000000,0,0,2.32
1,14,12,0,0.000000,0,0,6.15
1,8,8,0,0.000000,0,0,3.25
1,6,6,0,0.000000,0,0,2.79
1,17,18,0,0.000000,0,0,6.22
1,37,22,0,0.000000,0,0,7.24
1,83,30,0,0.000000,0,0,6.91
1,91,38,0,0.000000,0,0,2.88
1,41,18,0,0.000000,0,0,3.03
1,12,15,0,0.000000,0,0,6.32
1,35,18,0,0.000000,0,0,2.06
1,6,7,0,0.000000,0,0,2.68
1,86,38,0,0.000000,0,0,2.77
1,53,35,0,0.000000,0,0,4.96
1,19,18,0,0.000000,0,0,6.27
1,3,3,0,0.000000,0,0,1.86
1,33,16,0,0.000000,0,0,4.84
1,11,9,0,0.000000,0,0,4.21
1,70,28,0,0.000000,0,0,2.52
1,41,32,0,0.000000,0,0,10.04
1,27,29,0,0.000000,0,0,8.36
1,6,6,0,0.000000,0,0,3.89
1,55,36,0,0.000000,0,0,2.56
1,6,6,0,0.000000,0,0,2.83
1,27,28,0,0.000000,0,0,2.54
1,13,12,0,0.000000,0,0,4.33
1,35,24,0,0.000000,0,0,2.01
1,133,36,0,0.000000,0,0,3.42
1,18,12,0,0.000000,0,0,6.67
1,46,32,0,0.000000,0,0,3.64
1,120,46,0,0.000000,0,0,3.61
1,81,33,0,0.000000,0,0,3.85
1,19,20,0,0.000000,0,0,8.53
1,36,28,0,0.000000,0,0,3.40
1,64,37,0,0.000000,0,0,2.24
1,23,22,0,0.000000,0,0,7.35
1,44,28,0,0.000000,0,0,2.74
1,143,38,0,0.000000,0,0,2.44
1,13,11,0,0.000000,0,0,4.09
1,78,28,0,0.000000,0,0,4.94
1,128,37,0,0.000000,0,0,4.71
1,68,25,0,0.000000,0,0,3.42
1,68,36,0,0.000000,0,0,2.24
1,27,20,0,0.000000,0,0,3.26
1,42,26,0,0.000000,0,0,4.96
1,164,40,0,0.000000,0,0,6.12
1,67,38,0,0.000000,0,0,11.77
1,17,16,0,0.000000,0,0,5.55
1,154,36,0,0.000000,0,0,4.12
1,74,30,0,0.000000,0,0,2.06
1,44,28,0,0.000000,0,0,2.14
1,17,19,0,0.000000,0,0,7.69
1,126,43,0,0.000000,0,0,8.75
1,31,23,0,0.000000,0,0,4.18
1,18,18,0,0.000000,0,0,4.44
1,82,30,0,0.000000,0,0,5.71
1,53,28,0,0.000000,0,0,1.92
1,123,40,0,0.000000,0,0,1.59
1,13,28,0,0.000000,0,0,6.91
1,60,28,0,0.000000,0,0,2.42
1,53,34,0,0.000000,0,0,4.47
1,59,34,0,0.000000,0,0,1.96
1,31,20,0,0.000000,0,0,6.71
1,6,8,0,0.000000,0,0,3.91
1,109,40,0,0.000000,0,0,7.09
1,169,4,0,0.000000,0,0,1.84
1,8,40,0,0.000000,0,0,3.87
1,31,28,0,0.000000,0,0,1.87
1,6,6,0,0.000000,0,0,3.16
1,4,4,0,0.000000,0,0,2.82
1,2,2,0,0.000000,0,0,1.52
1,52,22,0,0.000000,0,0,9.38
1,50,30,0,0.000000,0,0,2.70
1,53,30,0,0.000000,0,0,2.97
1,73,28,0,0.000000,0,0,7.87
1,12,15,0,0.000000,0,0,6.42
1,13,12,0,0.000000,0,0,4.59
1,3,3,0,0.000000,0,0,1.05
1,5,5,0,0.000000,0,0,2.85
1,90,50,0,0.000000,0,0,15.32
1,21,16,0,0.000000,0,0,6.35
1,32,28,0,0.000000,0,0,5.06
1,43,36,0,0.000000,0,0,2.06
1,42,30,0,0.000000,0,0,3.28
1,30,28,0,0.000000,0,0,2.06
1,2,2,0,0.000000,0,0,1.11
1,27,28,0,0.000000,0,0,9.37
1,8,9,0,0.000000,0,0,4.48
1,55,32,0,0.000000,0,0,10.24
1,15,12,0,0.000000,0,0,5.76
1,23,18,0,0.000000,0,0,3.26
1,90,26,0,0.000000,0,0,3.63
1,12,19,0,0.000000,0,0,5.99
2,38,38,1,0.900000,35,10,8.26
2,3,3,1,0.900000,3,10,2.97
2,18,15,1,0.900000,18,9,7.60
2,34,18,1,0.900000,31,8,5.70
2,113,38,1,0.900000,92,6,3.14
2,13,12,1,0.900000,13,10,5.03
2,50,32,1,0.900000,44,9,3.87
2,53,49,1,0.900000,47,10,6.26
2,24,27,1,0.900000,23,9,5.91
2,97,56,1,0.900000,80,8,3.37
2,30,32,1,0.900000,28,9,4.16
2,43,38,1,0.900000,39,10,5.92
2,21,18,1,0.900000,20,10,6.18
2,136,70,1,0.900000,109,8,5.52
2,21,18,1,0.900000,20,10,6.47
2,47,32,1,0.900000,42,9,3.09
2,57,50,1,0.900000,50,10,2.50
2,11,10,1,0.900000,11,10,4.14
2,13,11,1,0.900000,13,9,4.74
2,21,17,1,0.900000,20,9,5.90
2,16,15,1,0.900000,16,10,5.77
2,32,28,1,0.900000,30,10,2.88
2,27,18,1,0.900000,25,9,6.03
2,109,40,1,0.900000,89,7,3.60
2,175,90,1,0.900000,137,8,3.88
2,36,30,1,0.900000,33,10,9.79
2,8,8,1,0.900000,8,10,4.04
2,57,40,1,0.900000,50,9,4.66
2,9,11,1,0.900000,9,9,4.28
2,76,36,1,0.900000,65,7,3.86
