part,num_dots,answer,feedback,a,points,time
1,19,20,0,0.000000,0,0,4.82
1,26,24,0,0.000000,0,0,8.28
1,40,30,0,0.000000,0,0,3.35
1,8,9,0,0.000000,0,0,2.09
1,41,20,0,0.000000,0,0,2.57
1,64,30,0,0.000000,0,0,2.40
1,48,37,0,0.000000,0,0,4.82
1,43,25,0,0.000000,0,0,3.11
1,2,2,0,0.000000,0,0,1.76
1,45,25,0,0.000000,0,0,7.25
1,110,40,0,0.000000,0,0,2.83
1,73,35,0,0.000000,0,0,2.60
1,23,15,0,0.000000,0,0,1.73
1,85,50,0,0.000000,0,0,3.59
1,16,10,0,0.000000,0,0,4.04
1,88,30,0,0.000000,0,0,2.58
1,10,8,0,0.000000,0,0,3.10
1,104,50,0,0.000000,0,0,2.60
1,40,30,0,0.000000,0,0,4.42
1,34,20,0,0.000000,0,0,3.75
1,61,35,0,0.000000,0,0,3.47
1,142,60,0,0.000000,0,0,2.77
1,27,12,0,0.000000,0,0,2.28
1,36,20,0,0.000000,0,0,1.79
1,83,30,0,0.000000,0,0,2.31
1,38,36,0,0.000000,0,0,4.26
1,8,8,0,0.000000,0,0,2.80
1,20,15,0,0.000000,0,0,2.95
1,32,25,0,0.000000,0,0,1.99
1,35,28,0,0.000000,0,0,4.86
1,36,25,0,0.000000,0,0,2.53
1,9,10,0,0.000000,0,0,1.72
1,40,20,0,0.000000,0,0,6.55
1,171,50,0,0.000000,0,0,2.45
1,8,9,0,0.000000,0,0,3.12
1,140,55,0,0.000000,0,0,4.83
1,114,60,0,0.000000,0,0,2.75
1,75,45,0,0.000000,0,0,5.80
1,118,50,0,0.000000,0,0,1.49
1,114,57,0,0.000000,0,0,3.50
1,12,10,0,0.000000,0,0,2.32
1,11,7,0,0.000000,0,0,3.93
1,29,18,0,0.000000,0,0,2.68
1,43,27,0,0.000000,0,0,2.88
1,21,15,0,0.000000,0,0,7.85
1,24,15,0,0.000000,0,0,2.26
1,139,50,0,0.000000,0,0,2.73
1,21,19,0,0.000000,0,0,4.10
1,73,35,0,0.000000,0,0,3.08
1,46,33,0,0.000000,0,0,3.11
1,19,15,0,0.000000,0,0,5.81
1,23,10,0,0.000000,0,0,3.26
1,11,10,0,0.000000,0,0,1.89
1,33,27,0,0.000000,0,0,2.60
1,9,14,0,0.000000,0,0,2.45
1,40,25,0,0.000000,0,0,6.41
1,11,8,0,0.000000,0,0,2.79
1,11,9,0,0.000000,0,0,3.00
1,89,30,0,0.000000,0,0,5.70
1,13,10,0,0.000000,0,0,1.51
1,22,20,0,0.000000,0,0,3.80
1,37,25,0,0.000000,0,0,2.63
1,3,3,0,0.000000,0,0,1.16
1,41,14,0,0.000000,0,0,9.64
1,9,8,0,0.000000,0,0,3.43
1,71,26,0,0.000000,0,0,6.10
1,23,17,0,0.000000,0,0,2.81
1,133,30,0,0.000000,0,0,2.36
1,118,40,0,0.000000,0,0,1.46
1,60,25,0,0.000000,0,0,4.92
1,53,30,0,0.000000,0,0,5.88
1,31,18,0,0.000000,0,0,2.65
1,104,33,0,0.000000,0,0,3.61
1,82,40,0,0.000000,0,0,6.23
1,87,45,0,0.000000,0,0,4.18
1,21,18,0,0.000000,0,0,4.20
1,13,10,0,0.000000,0,0,1.72
1,141,50,0,0.000000,0,0,1.46
1,237,55,0,0.000000,0,0,2.02
1,137,55,0,0.000000,0,0,2.13
1,7,7,0,0.000000,0,0,3.72
1,11,9,0,0.000000,0,0,3.69
1,140,40,0,0.000000,0,0,3.09
1,218,50,0,0.000000,0,0,1.19
1,50,30,0,0.000000,0,0,3.16
1,62,33,0,0.000000,0,0,2.19
1,4,4,0,0.000000,0,0,1.47
1,18,18,0,0.000000,0,0,2.57
1,19,20,0,0.000000,0,0,2.10
1,111,30,0,0.000000,0,0,1.62
