part,num_dots,answer,feedback,a,points,time
1,32,30,0,0.000000,0,0,4.01
1,56,50,0,0.000000,0,0,2.39
1,39,40,0,0.000000,0,0,1.99
1,25,25,0,0.000000,0,0,2.84
1,28,40,0,0.000000,0,0,4.00
1,32,40,0,0.000000,0,0,2.84
1,13,15,0,0.000000,0,0,2.01
1,90,100,0,0.000000,0,0,2.16
1,165,125,0,0.000000,0,0,3.99
1,77,120,0,0.000000,0,0,3.01
1,21,20,0,0.000000,0,0,7.09
1,60,50,0,0.000000,0,0,1.63
1,4,4,0,0.000000,0,0,1.36
1,42,50,0,0.000000,0,0,2.49
1,103,100,0,0.000000,0,0,2.47
1,2,2,0,0.000000,0,0,0.84
1,122,100,0,0.000000,0,0,2.34
1,4,4,0,0.000000,0,0,1.19
1,40,100,0,0.000000,0,0,3.46
1,15,20,0,0.000000,0,0,1.68
1,51,40,0,0.000000,0,0,1.49
1,86,80,0,0.000000,0,0,2.69
1,62,80,0,0.000000,0,0,3.01
1,18,20,0,0.000000,0,0,1.42
1,39,40,0,0.000000,0,0,1.59
1,13,15,0,0.000000,0,0,3.02
1,31,20,0,0.000000,0,0,1.59
1,3,3,0,0.000000,0,0,1.17
1,79,40,0,0.000000,0,0,1.29
1,66,60,0,0.000000,0,0,2.01
1,129,100,0,0.000000,0,0,1.26
1,52,80,0,0.000000,0,0,1.84
1,91,80,0,0.000000,0,0,1.84
1,48,70,0,0.000000,0,0,2.77
1,72,90,0,0.000000,0,0,1.79
1,44,60,0,0.000000,0,0,2.36
1,18,15,0,0.000000,0,0,1.66
1,29,40,0,0.000000,0,0,3.17
1,75,60,0,0.000000,0,0,1.68
1,62,60,0,0.000000,0,0,1.02
1,35,30,0,0.000000,0,0,1.64
1,90,80,0,0.000000,0,0,1.78
1,41,30,0,0.000000,0,0,2.30
1,17,20,0,0.000000,0,0,4.76
1,44,40,0,0.000000,0,0,1.91
1,45,40,0,0.000000,0,0,2.99
1,30,30,0,0.000000,0,0,1.62
1,21,20,0,0.000000,0,0,2.54
1,130,100,0,0.000000,0,0,1.64
1,54,80,0,0.000000,0,0,1.40
1,41,60,0,0.000000,0,0,2.84
1,11,15,0,0.000000,0,0,2.89
1,93,100,0,0.000000,0,0,1.27
1,13,20,0,0.000000,0,0,1.96
1,57,40,0,0.000000,0,0,1.64
1,14,10,0,0.000000,0,0,0.96
1,36,30,0,0.000000,0,0,1.75
1,142,100,0,0.000000,0,0,1.21
1,87,100,0,0.000000,0,0,0.92
1,45,70,0,0.000000,0,0,2.09
