part,num_dots,answer,feedback,a,points,time
1,7,8,0,0.000000,0,0,4.54
1,47,35,0,0.000000,0,0,4.87
1,34,25,0,0.000000,0,0,4.04
1,50,40,0,0.000000,0,0,3.28
1,39,30,0,0.000000,0,0,3.25
1,102,80,0,0.000000,0,0,4.94
1,8,8,0,0.000000,0,0,3.99
1,2,2,0,0.000000,0,0,1.64
1,5,5,0,0.000000,0,0,3.01
1,19,20,0,0.000000,0,0,4.46
1,67,60,0,0.000000,0,0,3.16
1,28,30,0,0.000000,0,0,3.81
1,50,50,0,0.000000,0,0,2.25
1,42,60,0,0.000000,0,0,2.27
1,43,60,0,0.000000,0,0,3.62
1,122,80,0,0.000000,0,0,3.74
1,18,15,0,0.000000,0,0,1.97
1,32,25,0,0.000000,0,0,2.76
1,103,80,0,0.000000,0,0,5.16
1,4,4,0,0.000000,0,0,1.29
1,193,100,0,0.000000,0,0,3.09
1,8,7,0,0.000000,0,0,4.74
1,12,10,0,0.000000,0,0,2.06
1,61,40,0,0.000000,0,0,5.91
1,39,30,0,0.000000,0,0,1.46
1,6,5,0,0.000000,0,0,2.65
1,35,60,0,0.000000,0,0,4.36
1,32,35,0,0.000000,0,0,3.82
1,114,80,0,0.000000,0,0,4.41
1,8,8,0,0.000000,0,0,2.23
1,5,5,0,0.000000,0,0,2.78
1,14,12,0,0.000000,0,0,2.02
1,32,25,0,0.000000,0,0,2.56
1,58,45,0,0.000000,0,0,2.00
1,219,100,0,0.000000,0,0,2.70
1,206,100,0,0.000000,0,0,2.27
1,19,70,0,0.000000,0,0,6.33
1,113,80,0,0.000000,0,0,1.53
1,39,30,0,0.000000,0,0,3.27
1,44,30,0,0.000000,0,0,1.41
1,14,15,0,0.000000,0,0,1.56
1,28,40,0,0.000000,0,0,5.20
1,20,15,0,0.000000,0,0,3.40
1,44,30,0,0.000000,0,0,2.30
1,53,30,0,0.000000,0,0,1.29
1,86,50,0,0.000000,0,0,1.21
1,17,15,0,0.000000,0,0,2.00
1,10,10,0,0.000000,0,0,1.50
1,11,10,0,0.000000,0,0,1.10
1,109,60,0,0.000000,0,0,2.24
1,53,60,0,0.000000,0,0,2.80
1,35,30,0,0.000000,0,0,2.19
1,25,30,0,0.000000,0,0,2.24
1,106,80,0,0.000000,0,0,1.74
1,17,20,0,0.000000,0,0,4.56
1,23,20,0,0.000000,0,0,1.73
1,3,3,0,0.000000,0,0,1.32
1,7,7,0,0.000000,0,0,4.23
1,6,6,0,0.000000,0,0,2.79
1,97,80,0,0.000000,0,0,1.92
1,78,80,0,0.000000,0,0,2.12
1,34,30,0,0.000000,0,0,1.60
1,21,20,0,0.000000,0,0,1.77
1,5,5,0,0.000000,0,0,3.56
1,77,60,0,0.000000,0,0,3.78
1,40,40,0,0.000000,0,0,1.84
1,25,30,0,0.000000,0,0,1.55
1,52,40,0,0.000000,0,0,1.35
1,15,20,0,0.000000,0,0,1.89
1,117,60,0,0.000000,0,0,2.92
1,79,50,0,0.000000,0,0,1.38
1,6,8,0,0.000000,0,0,3.69
1,14,15,0,0.000000,0,0,2.28
1,19,15,0,0.000000,0,0,1.23
1,48,25,0,0.000000,0,0,2.50
1,6,8,0,0.000000,0,0,2.79
1,26,30,0,0.000000,0,0,5.54
1,69,50,0,0.000000,0,0,1.42
1,43,40,0,0.000000,0,0,2.38
1,63,50,0,0.000000,0,0,2.25
1,2,2,0,0.000000,0,0,1.10
1,24,25,0,0.000000,0,0,5.39
1,44,30,0,0.000000,0,0,1.53
1,20,20,0,0.000000,0,0,1.65
1,19,18,0,0.000000,0,0,4.81
1,91,60,0,0.000000,0,0,2.69
1,30,20,0,0.000000,0,0,1.75
1,53,40,0,0.000000,0,0,1.72
1,49,50,0,0.000000,0,0,1.45
1,111,80,0,0.000000,0,0,1.81
1,240,100,0,0.000000,0,0,2.50
1,22,15,0,0.000000,0,0,1.72
1,26,20,0,0.000000,0,0,1.91
1,42,35,0,0.000000,0,0,2.30
1,8,8,0,0.000000,0,0,2.03
1,79,50,0,0.000000,0,0,5.11
1,45,30,0,0.000000,0,0,2.23
1,27,25,0,0.000000,0,0,2.17
1,46,30,0,0.000000,0,0,1.34
1,156,60,0,0.000000,0,0,1.88
1,82,50,0,0.000000,0,0,2.25
1,9,9,0,0.000000,0,0,2.15
1,8,7,0,0.000000,0,0,2.87
1,69,30,0,0.000000,0,0,4.52
1,13,15,0,0.000000,0,0,2.23
1,3,3,0,0.000000,0,0,2.70
1,58,25,0,0.000000,0,0,4.12
1,16,15,0,0.000000,0,0,2.26
1,54,40,0,0.000000,0,0,2.01
1,74,45,0,0.000000,0,0,1.74
1,11,10,0,0.000000,0,0,4.04
1,40,20,0,0.000000,0,0,4.17
1,5,5,0,0.000000,0,0,3.30
1,25,25,0,0.000000,0,0,4.12
1,27,20,0,0.000000,0,0,1.71
1,29,20,0,0.000000,0,0,1.66
1,8,7,0,0.000000,0,0,4.44
1,2,2,0,0.000000,0,0,0.94
1,46,20,0,0.000000,0,0,4.32
1,107,60,0,0.000000,0,0,1.65
1,34,20,0,0.000000,0,0,1.88
1,46,40,0,0.000000,0,0,1.47
1,59,40,0,0.000000,0,0,1.32
1,40,40,0,0.000000,0,0,0.98
1,74,45,0,0.000000,0,0,2.86
1,45,40,0,0.000000,0,0,1.65
1,23,30,0,0.000000,0,0,2.00
1,30,30,0,0.000000,0,0,1.41
1,27,30,0,0.000000,0,0,1.03
1,47,30,0,0.000000,0,0,1.23
1,26,20,0,0.000000,0,0,1.09
1,22,20,0,0.000000,0,0,0.89
1,3,3,0,0.000000,0,0,1.22
1,41,30,0,0.000000,0,0,1.92
1,92,40,0,0.000000,0,0,1.05
1,32,20,0,0.000000,0,0,1.31
1,18,2,0,0.000000,0,0,0.84
1,26,20,0,0.000000,0,0,1.64
1,68,30,0,0.000000,0,0,1.77
1,5,5,0,0.000000,0,0,2.57
1,46,30,0,0.000000,0,0,3.70
1,52,30,0,0.000000,0,0,2.90
1,16,20,0,0.000000,0,0,0.99
1,47,30,0,0.000000,0,0,1.30
1,7,8,0,0.000000,0,0,3.56
1,22,20,0,0.000000,0,0,1.65
1,18,15,0,0.000000,0,0,2.21
1,29,20,0,0.000000,0,0,1.41
1,6,6,0,0.000000,0,0,2.98
