part,num_dots,answer,feedback,a,points,time
1,97,50,0,0.000000,0,0,4.42
1,150,75,0,0.000000,0,0,3.74
1,57,40,0,0.000000,0,0,3.66
1,17,15,0,0.000000,0,0,4.09
1,96,45,0,0.000000,0,0,3.82
1,36,25,0,0.000000,0,0,3.82
1,125,50,0,0.000000,0,0,4.26
1,47,30,0,0.000000,0,0,2.92
1,6,6,0,0.000000,0,0,3.59
1,53,30,0,0.000000,0,0,3.76
1,41,25,0,0.000000,0,0,2.94
1,130,45,0,0.000000,0,0,3.36
1,27,20,0,0.000000,0,0,2.36
1,154,80,0,0.000000,0,0,2.26
1,12,10,0,0.000000,0,0,2.76
1,90,30,0,0.000000,0,0,3.26
1,9,8,0,0.000000,0,0,2.71
1,90,30,0,0.000000,0,0,2.81
1,2,2,0,0.000000,0,0,1.61
1,34,20,0,0.000000,0,0,3.72
1,40,25,0,0.000000,0,0,3.36
1,75,35,0,0.000000,0,0,3.31
1,35,20,0,0.000000,0,0,2.92
1,47,30,0,0.000000,0,0,2.27
1,175,70,0,0.000000,0,0,3.81
1,22,15,0,0.000000,0,0,2.31
1,24,15,0,0.000000,0,0,1.56
1,51,20,0,0.000000,0,0,3.79
1,117,40,0,0.000000,0,0,2.59
1,19,20,0,0.000000,0,0,2.31
1,36,15,0,0.000000,0,0,3.07
1,41,25,0,0.000000,0,0,3.46
1,97,35,0,0.000000,0,0,2.69
1,46,35,0,0.000000,0,0,5.17
1,57,30,0,0.000000,0,0,2.77
1,58,30,0,0.000000,0,0,3.12
1,64,45,0,0.000000,0,0,2.47
1,56,40,0,0.000000,0,0,2.04
1,7,6,0,0.000000,0,0,2.78
1,111,30,0,0.000000,0,0,3.27
1,59,28,0,0.000000,0,0,3.69
1,18,16,0,0.000000,0,0,4.04
1,40,20,0,0.000000,0,0,3.49
1,64,30,0,0.000000,0,0,2.57
1,88,29,0,0.000000,0,0,6.14
1,12,8,0,0.000000,0,0,3.51
1,48,25,0,0.000000,0,0,3.43
1,258,100,0,0.000000,0,0,2.84
1,70,40,0,0.000000,0,0,4.79
1,17,10,0,0.000000,0,0,2.52
1,102,30,0,0.000000,0,0,2.64
1,42,20,0,0.000000,0,0,2.49
1,25,13,0,0.000000,0,0,3.33
1,35,22,0,0.000000,0,0,2.95
1,3,3,0,0.000000,0,0,1.53
1,48,20,0,0.000000,0,0,4.13
1,7,7,0,0.000000,0,0,2.39
1,26,17,0,0.000000,0,0,3.41
1,10,9,0,0.000000,0,0,2.36
1,127,45,0,0.000000,0,0,4.21
1,86,55,0,0.000000,0,0,2.11
1,51,55,0,0.000000,0,0,2.44
1,6,6,0,0.000000,0,0,2.01
1,5,5,0,0.000000,0,0,2.09
1,42,19,0,0.000000,0,0,4.71
1,98,30,0,0.000000,0,0,3.51
1,46,20,0,0.000000,0,0,1.63
1,13,11,0,0.000000,0,0,3.62
1,85,38,0,0.000000,0,0,4.79
1,190,48,0,0.000000,0,0,2.67
1,9,7,0,0.000000,0,0,2.57
1,6,6,0,0.000000,0,0,2.32
1,24,10,0,0.000000,0,0,4.71
1,15,12,0,0.000000,0,0,3.02
1,30,20,0,0.000000,0,0,2.47
1,73,30,0,0.000000,0,0,3.60
1,11,10,0,0.000000,0,0,2.64
1,29,20,0,0.000000,0,0,1.56
1,10,8,0,0.000000,0,0,2.59
1,67,20,0,0.000000,0,0,3.92
1,9,8,0,0.000000,0,0,2.61
1,81,30,0,0.000000,0,0,2.11
1,22,17,0,0.000000,0,0,2.14
1,107,40,0,0.000000,0,0,2.52
1,77,40,0,0.000000,0,0,1.89
1,29,20,0,0.000000,0,0,3.78
1,41,30,0,0.000000,0,0,2.09
1,22,25,0,0.000000,0,0,4.33
1,9,7,0,0.000000,0,0,2.67
1,140,45,0,0.000000,0,0,3.16
1,19,10,0,0.000000,0,0,3.86
1,75,27,0,0.000000,0,0,3.73
1,13,10,0,0.000000,0,0,4.61
1,114,30,0,0.000000,0,0,4.69
1,13,10,0,0.000000,0,0,3.09
1,17,15,0,0.000000,0,0,2.12
1,6,6,0,0.000000,0,0,1.81
1,62,20,0,0.000000,0,0,3.06
1,76,20,0,0.000000,0,0,4.86
1,2,2,0,0.000000,0,0,1.06
2,11,8,1,0.900000,11,9,2.45
2,72,25,1,0.900000,66,6,3.41
2,17,15,1,0.900000,17,9,2.57
2,78,40,1,0.900000,71,8,3.47
2,143,100,1,0.900000,122,9,3.55
2,58,60,1,0.900000,54,10,4.45
2,15,20,1,0.900000,15,9,1.98
2,38,25,1,0.900000,37,8,1.96
2,62,30,1,0.900000,58,7,2.78
2,37,37,1,0.900000,36,10,3.53
2,45,40,1,0.900000,43,10,2.61
2,5,5,1,0.900000,5,10,1.70
2,28,25,1,0.900000,28,10,2.38
2,7,7,1,0.900000,7,10,2.65
2,18,17,1,0.900000,18,10,3.33
2,42,25,1,0.900000,41,8,5.00
2,45,35,1,0.900000,43,9,2.20
2,2,2,1,0.900000,2,10,1.17
2,14,13,1,0.900000,14,10,3.42
2,32,27,1,0.900000,32,9,3.77
2,63,39,1,0.900000,58,8,2.57
2,75,75,1,0.900000,68,10,3.62
