part,num_dots,answer,feedback,a,points,time
1,91,64,0,0.000000,0,0,16.53
1,10,14,0,0.000000,0,0,6.19
1,24,16,0,0.000000,0,0,9.69
1,123,56,0,0.000000,0,0,10.84
1,17,23,0,0.000000,0,0,8.08
1,55,61,0,0.000000,0,0,8.89
1,156,61,0,0.000000,0,0,4.12
1,154,61,0,0.000000,0,0,2.92
1,81,58,0,0.000000,0,0,4.71
1,9,12,0,0.000000,0,0,3.58
1,40,49,0,0.000000,0,0,7.16
1,13,25,0,0.000000,0,0,2.39
1,13,14,0,0.000000,0,0,3.66
1,15,17,0,0.000000,0,0,5.87
1,56,28,0,0.000000,0,0,8.09
1,21,13,0,0.000000,0,0,5.24
1,41,28,0,0.000000,0,0,6.31
1,14,25,0,0.000000,0,0,5.04
1,64,53,0,0.000000,0,0,6.54
1,82,62,0,0.000000,0,0,2.51
1,24,14,0,0.000000,0,0,2.76
1,98,60,0,0.000000,0,0,4.94
1,129,59,0,0.000000,0,0,3.46
1,22,19,0,0.000000,0,0,7.04
1,65,24,0,0.000000,0,0,6.26
1,38,35,0,0.000000,0,0,3.30
1,50,45,0,0.000000,0,0,3.72
1,26,27,0,0.000000,0,0,3.16
1,43,19,0,0.000000,0,0,2.37
1,37,27,0,0.000000,0,0,1.63
1,12,15,0,0.000000,0,0,4.21
1,31,27,0,0.000000,0,0,1.66
1,3,3,0,0.000000,0,0,0.87
1,30,26,0,0.000000,0,0,3.79
1,14,13,0,0.000000,0,0,6.27
1,161,67,0,0.000000,0,0,1.61
1,41,38,0,0.000000,0,0,3.62
1,5,5,0,0.000000,0,0,1.22
1,7,8,0,0.000000,0,0,1.99
1,82,42,0,0.000000,0,0,11.77
1,59,32,0,0.000000,0,0,1.74
1,17,10,0,0.000000,0,0,2.39
1,13,14,0,0.000000,0,0,1.52
1,16,56,0,0.000000,0,0,3.23
1,12,14,0,0.000000,0,0,1.21
1,17,12,0,0.000000,0,0,1.01
1,108,56,0,0.000000,0,0,1.39
1,58,56,0,0.000000,0,0,3.36
1,111,56,0,0.000000,0,0,2.01
1,69,48,0,0.000000,0,0,3.16
1,30,24,0,0.000000,0,0,1.89
1,110,48,0,0.000000,0,0,3.69
1,11,24,0,0.000000,0,0,6.26
1,43,36,0,0.000000,0,0,1.78
1,3,3,0,0.000000,0,0,0.94
1,168,56,0,0.000000,0,0,4.26
1,151,58,0,0.000000,0,0,1.91
1,5,5,0,0.000000,0,0,1.42
1,24,12,0,0.000000,0,0,2.23
