part,num_dots,answer,feedback,a,points,time
1,6,6,0,0.000000,0,0,7.15
1,8,9,0,0.000000,0,0,2.81
1,26,20,0,0.000000,0,0,1.86
1,16,15,0,0.000000,0,0,1.76
1,100,59,0,0.000000,0,0,2.89
1,38,15,0,0.000000,0,0,1.96
1,40,20,0,0.000000,0,0,1.52
1,42,25,0,0.000000,0,0,1.47
1,5,5,0,0.000000,0,0,1.02
1,47,30,0,0.000000,0,0,1.87
1,21,15,0,0.000000,0,0,1.39
1,12,12,0,0.000000,0,0,1.02
1,31,16,0,0.000000,0,0,1.47
1,191,70,0,0.000000,0,0,3.37
1,49,30,0,0.000000,0,0,2.63
1,106,590,0,0.000000,0,0,4.26
1,136,100,0,0.000000,0,0,5.49
1,84,60,0,0.000000,0,0,1.84
1,17,10,0,0.000000,0,0,1.61
1,15,8,0,0.000000,0,0,1.37
1,57,20,0,0.000000,0,0,2.01
1,11,7,0,0.000000,0,0,1.51
1,51,20,0,0.000000,0,0,1.43
1,170,100,0,0.000000,0,0,1.53
1,127,100,0,0.000000,0,0,1.59
1,172,100,0,0.000000,0,0,1.30
1,147,120,0,0.000000,0,0,2.30
1,5,4,0,0.000000,0,0,0.99
1,37,20,0,0.000000,0,0,1.46
1,45,25,0,0.000000,0,0,1.04
1,119,50,0,0.000000,0,0,1.43
1,79,30,0,0.000000,0,0,7.11
1,27,15,0,0.000000,0,0,2.08
1,13,7,0,0.000000,0,0,1.41
1,75,5,0,0.000000,0,0,4.13
1,110,100,0,0.000000,0,0,2.21
1,5,5,0,0.000000,0,0,1.26
1,13,8,0,0.000000,0,0,1.16
1,12,9,0,0.000000,0,0,1.44
1,73,20,0,0.000000,0,0,1.84
1,7,5,0,0.000000,0,0,1.14
1,35,27,0,0.000000,0,0,3.32
1,131,100,0,0.000000,0,0,2.39
1,6,5,0,0.000000,0,0,1.04
1,53,29,0,0.000000,0,0,2.31
1,63,35,0,0.000000,0,0,1.71
1,81,50,0,0.000000,0,0,2.07
1,32,20,0,0.000000,0,0,1.34
1,24,17,0,0.000000,0,0,2.52
1,28,17,0,0.000000,0,0,1.31
1,36,20,0,0.000000,0,0,1.52
1,9,10,0,0.000000,0,0,1.17
1,72,40,0,0.000000,0,0,6.44
1,40,30,0,0.000000,0,0,1.84
1,5,5,0,0.000000,0,0,1.09
1,8,7,0,0.000000,0,0,0.96
1,22,10,0,0.000000,0,0,1.23
1,44,26,0,0.000000,0,0,1.98
1,4,4,0,0.000000,0,0,0.96
1,3,3,0,0.000000,0,0,0.96
1,36,20,0,0.000000,0,0,2.78
1,105,50,0,0.000000,0,0,1.63
1,18,12,0,0.000000,0,0,1.31
1,35,17,0,0.000000,0,0,1.71
1,4,4,0,0.000000,0,0,0.92
1,5,5,0,0.000000,0,0,0.96
1,29,20,0,0.000000,0,0,1.89
1,186,120,0,0.000000,0,0,2.53
1,31,30,0,0.000000,0,0,1.64
1,33,50,0,0.000000,0,0,2.04
1,7,7,0,0.000000,0,0,1.08
1,58,20,0,0.000000,0,0,1.39
1,14,15,0,0.000000,0,0,1.61
1,49,20,0,0.000000,0,0,1.54
1,102,50,0,0.000000,0,0,1.38
1,27,7,0,0.000000,0,0,1.36
1,22,20,0,0.000000,0,0,1.68
1,6,7,0,0.000000,0,0,0.88
1,36,25,0,0.000000,0,0,1.35
1,4,6,0,0.000000,0,0,1.81
1,6,6,0,0.000000,0,0,0.93
1,60,20,0,0.000000,0,0,2.40
1,16,10,0,0.000000,0,0,1.13
1,7,8,0,0.000000,0,0,1.37
1,13,12,0,0.000000,0,0,1.34
1,76,40,0,0.000000,0,0,1.51
1,104,50,0,0.000000,0,0,1.41
1,57,45,0,0.000000,0,0,1.62
1,27,20,0,0.000000,0,0,1.27
1,22,22,0,0.000000,0,0,1.50
1,21,15,0,0.000000,0,0,1.57
1,103,28,0,0.000000,0,0,2.11
1,53,30,0,0.000000,0,0,1.43
1,11,10,0,0.000000,0,0,1.43
1,90,20,0,0.000000,0,0,1.29
1,16,10,0,0.000000,0,0,1.09
1,4,4,0,0.000000,0,0,0.93
1,25,23,0,0.000000,0,0,3.07
1,13,10,0,0.000000,0,0,1.17
1,6,7,0,0.000000,0,0,1.22
