run,index,num_dots,answer1,answer2,points1,points2,time
1,1,204,25,50,0,0,13.25
1,2,16,15,15,5,5,7.84
1,3,59,25,25,0,0,7.04
1,4,131,50,50,0,0,4.72
1,5,72,40,40,0,0,9.75
1,6,22,15,20,5,2,9.27
1,7,123,50,55,0,0,7.27
1,8,51,35,40,0,0,8.54
1,9,5,5,4,4,2,3.07
1,10,15,13,12,6,7,5.83
1,11,7,7,7,8,8,4.59
1,12,47,15,15,5,5,8.54
1,13,8,8,8,9,9,3.50
1,14,13,11,12,8,7,4.02
1,15,3,3,3,0,0,2.36
1,16,15,15,14,5,5,5.39
1,17,7,7,7,8,8,4.37
1,18,114,45,40,0,0,6.94
1,19,13,14,13,5,6,5.89
1,20,83,30,35,0,0,8.75
1,21,28,20,18,2,3,6.17
1,22,12,12,11,7,8,5.55
1,23,65,25,28,0,0,9.50
1,24,11,10,11,9,8,7.88
1,25,23,20,18,2,3,9.70
1,26,70,30,33,0,0,8.81
1,27,125,45,49,0,0,7.63
1,28,30,18,20,3,2,7.94
1,29,54,22,20,1,2,5.21
1,30,22,15,19,5,2,9.02
1,31,71,25,29,0,0,8.76
1,32,90,30,35,0,0,6.91
1,33,46,20,25,2,0,5.11
1,34,44,20,25,2,0,5.91
1,35,78,25,30,0,0,3.97
1,36,43,20,22,2,1,6.19
1,37,3,3,3,0,0,2.32
1,38,24,15,18,5,3,4.66
1,39,13,13,15,6,5,6.64
1,40,26,18,20,3,2,8.77
1,41,4,4,4,2,2,2.36
1,42,4,4,4,2,2,2.24
1,43,40,18,20,3,2,8.20
1,44,139,30,35,0,0,7.15
1,45,229,40,45,0,0,4.86
1,46,12,11,13,8,6,6.09
1,47,249,50,45,0,0,4.42
1,48,23,20,22,2,1,10.71
1,49,10,8,10,9,9,4.49
1,50,2,2,2,0,0,2.22
1,51,22,15,14,5,5,7.25
1,52,2,2,2,0,0,1.62
1,53,69,20,25,2,0,4.62
1,54,14,15,13,5,6,5.81
1,55,38,18,20,3,2,3.49
1,56,23,15,18,5,3,4.94
1,57,45,20,24,2,0,3.46
1,58,87,20,25,2,0,3.44
1,59,100,28,30,0,0,6.97
1,60,50,27,28,0,0,3.34
1,61,24,15,14,5,5,7.07
1,62,18,14,15,5,5,5.01
1,63,97,20,25,2,0,3.04
1,64,36,20,23,2,0,4.34
1,65,48,20,24,2,0,4.34
1,66,9,8,9,9,10,3.76
1,67,46,20,22,2,1,6.10
1,68,51,20,23,2,0,2.94
1,69,73,24,27,0,0,5.56
1,70,20,16,18,4,3,6.71
1,71,78,24,25,0,0,6.16
1,72,2,2,2,0,0,3.52
1,73,41,20,19,2,2,5.06
1,74,23,15,17,5,3,5.91
1,75,56,20,22,2,1,2.96
1,76,156,30,32,0,0,4.87
1,77,20,17,18,3,3,5.16
1,78,61,20,24,2,0,2.51
1,79,55,25,26,0,0,4.41
1,80,27,20,23,2,0,3.10
1,81,61,20,24,2,0,2.50
1,82,11,13,12,6,7,7.37
1,83,24,15,14,5,5,5.62
1,84,165,30,34,0,0,3.41
1,85,98,35,34,0,0,3.59
1,86,15,10,12,9,7,4.24
1,87,13,12,13,7,6,4.31
1,88,42,19,20,2,2,4.11
1,89,71,24,23,0,0,2.93
1,90,23,16,18,4,3,5.36
1,91,34,19,17,2,3,4.48
1,92,35,20,23,2,0,4.00
1,93,5,5,5,4,4,2.44
1,94,76,20,23,2,0,4.46
1,95,10,10,11,9,8,3.62
1,96,93,20,24,2,0,3.54
1,97,63,20,23,2,0,4.73
1,98,75,20,23,2,0,4.29
1,99,33,20,22,2,1,3.02
1,100,8,8,8,9,9,4.01
1,101,149,30,30,0,0,8.44
1,102,86,28,28,0,0,5.32
1,103,32,2,18,0,3,6.59
1,104,60,18,19,3,2,4.17
1,105,60,20,22,2,1,2.87
1,106,19,17,16,3,4,5.88
1,107,11,11,11,8,8,3.07
1,108,92,20,22,2,1,6.76
1,109,35,18,17,3,3,7.04
1,110,10,9,8,10,9,3.66
1,111,54,20,20,2,2,4.57
1,112,113,25,25,0,0,2.84
1,113,159,30,30,0,0,2.62
1,114,198,34,32,0,0,4.22
1,115,25,15,16,5,4,4.74
1,116,29,18,19,3,2,4.17
1,117,17,15,16,5,4,4.98
1,118,147,25,26,0,0,3.14
1,119,32,20,21,2,1,5.46
1,120,17,19,18,2,3,6.09
1,121,53,20,21,2,1,3.58
1,122,30,20,21,2,1,5.00
1,123,12,12,13,7,6,4.99
1,124,20,16,17,4,3,4.69
1,125,36,18,19,3,2,5.63
1,126,28,18,19,3,2,6.94
1,127,109,25,26,0,0,3.77
1,128,62,20,25,2,0,4.09
1,129,9,9,8,10,9,5.77
1,130,141,30,34,0,0,4.13
1,131,17,12,13,7,6,3.55
1,132,10,10,10,9,9,4.99
1,133,69,20,23,2,0,2.46
1,134,9,9,9,10,10,2.79
1,135,84,20,23,2,0,2.29
1,136,37,20,23,2,0,2.93
1,137,48,20,22,2,1,3.42
1,138,9,9,9,10,10,2.68
1,139,51,20,22,2,1,3.44
1,140,82,22,23,1,0,2.12
1,141,118,28,27,0,0,3.35
1,142,31,19,18,2,3,5.28
1,143,31,20,19,2,2,5.30
1,144,45,20,21,2,1,2.65
1,145,61,22,21,1,1,2.01
1,146,22,15,17,5,3,4.44
1,147,70,20,20,2,2,4.31
1,148,48,20,22,2,1,3.36
1,149,45,20,22,2,1,5.16
1,150,27,18,17,3,3,4.11
2,18,114,28,29,0,0,5.99
2,99,33,27,28,0,0,2.66
2,61,24,16,15,4,5,2.06
2,32,90,25,27,0,0,2.71
2,51,22,8,7,9,8,2.91
2,129,9,8,9,9,10,2.66
2,53,69,2,20,0,2,4.25
2,118,147,30,39,0,0,5.00
2,147,70,28,26,0,0,3.71
2,101,149,30,31,0,0,2.86
2,86,15,12,12,7,7,4.71
2,143,31,16,17,4,3,2.12
2,28,30,16,17,4,3,2.11
2,76,156,25,28,0,0,2.91
2,84,165,30,35,0,0,2.96
2,27,125,30,35,0,0,3.47
2,79,55,25,20,0,2,3.60
2,109,35,18,20,3,2,5.37
2,113,159,25,26,0,0,5.82
2,88,42,18,18,3,3,4.61
2,45,229,40,40,0,0,3.92
2,41,4,4,4,2,2,1.68
2,125,36,16,16,4,4,10.94
2,115,25,15,15,5,5,4.48
2,108,92,25,25,0,0,8.95
2,30,22,15,15,5,5,5.02
2,81,61,20,24,2,0,5.01
2,60,50,17,16,3,4,4.56
2,46,12,12,11,7,8,3.67
2,62,18,16,15,4,5,4.36
2,140,82,20,20,2,2,2.92
2,11,7,7,7,8,8,2.78
2,40,26,20,19,2,2,6.79
2,149,45,20,18,2,3,7.44
2,19,13,8,8,9,9,3.74
2,80,27,17,17,3,3,4.71
2,26,70,20,20,2,2,2.17
2,74,23,17,17,3,3,5.52
2,148,48,20,20,2,2,3.62
2,49,10,8,9,9,10,2.96
2,123,12,11,11,8,8,4.77
2,141,118,40,35,0,0,8.42
2,116,29,17,18,3,3,6.14
2,78,61,23,24,0,0,4.78
2,126,28,17,18,3,3,4.51
2,66,9,9,9,10,10,4.89
2,150,27,20,20,2,2,4.73
2,42,4,4,4,2,2,2.09
2,83,24,17,18,3,3,4.49
2,91,34,20,20,2,2,4.11
2,117,17,16,15,4,5,4.36
2,39,13,12,12,7,7,3.17
2,47,249,55,55,0,0,7.06
2,58,87,35,35,0,0,5.28
2,85,98,35,35,0,0,4.54
2,68,51,23,23,0,0,4.88
2,100,8,8,8,9,9,2.80
2,10,15,14,14,5,5,3.59
2,50,2,2,2,0,0,1.79
2,44,139,40,40,0,0,14.61
2,71,78,30,29,0,0,14.35
2,25,23,11,12,8,7,3.78
2,104,60,20,20,2,2,5.35
2,134,9,10,10,9,9,2.89
2,20,83,22,23,1,0,3.68
2,12,47,20,24,2,0,4.54
2,52,2,2,2,0,0,1.71
2,9,5,5,5,4,4,1.77
2,89,71,25,27,0,0,6.14
2,95,10,12,11,7,8,4.57
2,146,22,15,14,5,5,3.91
2,15,3,3,3,0,0,1.47
2,98,75,27,28,0,0,5.51
2,64,36,24,25,0,0,3.90
2,121,53,25,26,0,0,4.00
2,144,45,26,26,0,0,4.49
2,75,56,30,28,0,0,6.91
2,17,7,7,78,8,0,3.10
2,131,17,10,10,9,9,6.55
2,2,16,17,17,3,3,4.43
2,72,2,2,2,0,0,2.51
2,137,48,27,27,0,0,5.62
2,107,11,10,10,9,9,3.37
2,112,113,30,30,0,0,6.97
2,1,204,50,50,0,0,7.71
2,73,41,30,30,0,0,5.01
2,6,22,18,18,3,3,4.31
2,3,59,24,25,0,0,2.13
2,59,100,30,30,0,0,5.68
2,142,31,24,25,0,0,3.89
2,114,198,45,45,0,0,3.55
2,97,63,30,30,0,0,6.11
2,138,9,10,11,9,8,3.97
2,5,72,25,25,0,0,2.88
2,127,109,35,35,0,0,4.31
2,29,54,20,24,2,0,3.11
2,106,19,20,20,2,2,10.94
2,37,3,3,3,0,0,1.36
2,145,61,25,25,0,0,3.12
2,128,62,25,25,0,0,1.49
2,105,60,25,25,0,0,2.50
2,31,71,30,30,0,0,2.01
2,7,123,36,36,0,0,2.05
2,23,65,36,36,0,0,1.61
2,111,54,3636,36,0,0,2.89
2,54,14,10,10,9,9,3.46
2,124,20,10,10,9,9,1.53
2,43,40,16,15,4,5,4.37
2,93,5,5,5,4,4,1.79
2,94,76,25,25,0,0,2.34
2,8,51,20,20,2,2,2.19
2,48,23,10,15,9,5,5.28
2,14,13,10,11,9,8,3.24
2,34,44,15,15,5,5,2.13
2,21,28,18,18,3,3,3.29
2,82,11,17,18,3,3,4.83
2,13,8,8,8,9,9,3.31
2,96,93,25,25,0,0,2.86
2,77,20,10,12,9,7,3.29
2,120,17,14,14,5,5,2.63
2,139,51,20,20,2,2,2.11
2,4,131,30,30,0,0,2.24
2,36,43,25,25,0,0,2.38
2,55,38,25,25,0,0,2.31
2,70,20,20,20,2,2,2.00
2,130,141,36,36,0,0,2.52
2,33,46,25,25,0,0,2.61
2,133,69,25,25,0,0,1.11
2,132,10,10,10,9,9,2.74
2,24,11,10,10,9,9,1.41
2,122,30,20,20,2,2,2.07
2,16,15,10,10,9,9,3.16
2,69,73,25,25,0,0,1.81
2,38,24,20,20,2,2,2.69
2,103,32,25,25,0,0,4.53
2,119,32,20,20,2,2,1.82
2,65,48,25,25,0,0,1.64
2,56,23,20,20,2,2,1.86
2,63,97,30,30,0,0,2.17
2,136,37,26,26,0,0,4.04
2,35,78,30,30,0,0,2.12
2,87,13,10,10,9,9,3.14
2,67,46,20,20,2,2,1.52
2,102,86,27,26,0,0,3.46
2,92,35,23,23,0,0,3.16
2,135,84,28,28,0,0,2.87
2,22,12,10,10,9,9,2.09
2,57,45,20,20,2,2,2.00
2,90,23,20,20,2,2,3.75
2,110,10,12,12,7,7,2.66
