run,index,num_dots,answer1,answer2,points1,points2,time
1,1,32,42,54,0,0,12.46
1,2,8,8,9,9,10,4.25
1,3,137,245,267,0,0,9.53
1,4,97,365,408,0,0,7.52
1,5,3,3,3,0,0,3.16
1,6,44,214,231,0,0,6.38
1,7,65,245,267,0,0,6.30
1,8,73,356,456,0,0,5.09
1,9,94,570,500,0,0,5.15
1,10,3,3,3,0,0,2.40
1,11,72,300,305,0,0,5.41
1,12,34,54,80,0,0,4.71
1,13,10,15,17,5,3,5.79
1,14,10,13,12,6,7,4.49
1,15,11,9,11,10,8,4.06
1,16,81,500,475,0,0,6.36
1,17,59,321,300,0,0,4.59
1,18,11,17,15,3,5,5.21
1,19,30,200,214,0,0,4.72
1,20,26,100,125,0,0,4.88
1,21,24,100,75,0,0,3.63
1,22,20,35,38,0,0,5.67
1,23,17,32,35,0,0,4.50
1,24,28,100,120,0,0,4.85
1,25,125,500,520,0,0,3.64
1,26,16,40,48,0,0,5.24
1,27,14,27,25,0,0,5.43
1,28,35,56,45,0,0,6.96
1,29,55,120,150,0,0,4.04
1,30,133,480,430,0,0,4.52
1,31,85,200,250,0,0,3.63
1,32,43,180,175,0,0,4.39
1,33,24,34,39,0,0,6.79
1,34,107,380,420,0,0,5.22
1,35,126,500,560,0,0,2.91
1,36,53,200,175,0,0,4.27
1,37,14,25,20,0,2,5.90
1,38,8,7,7,8,8,3.40
1,39,67,100,122,0,0,2.47
1,40,31,80,75,0,0,2.97
1,41,20,35,33,0,0,8.08
1,42,55,100,125,0,0,2.49
1,43,10,9,8,10,9,3.31
1,44,63,100,99,0,0,4.36
1,45,36,80,90,0,0,3.53
1,46,112,200,189,0,0,5.13
1,47,188,300,320,0,0,3.52
1,48,73,300,250,0,0,6.19
1,49,10,9,10,10,9,3.26
1,50,64,100,120,0,0,3.30
1,51,42,100,120,0,0,2.48
1,52,24,35,40,0,0,4.24
1,53,38,60,70,0,0,2.74
1,54,119,150,165,0,0,5.66
1,55,140,290,300,0,0,5.52
1,56,31,100,120,0,0,5.99
1,57,61,130,140,0,0,3.41
1,58,2,2,2,0,0,1.21
