run,index,num_dots,answer1,answer2,points1,points2,time
1,1,4,4,5,2,4,6.57
1,2,41,58,82,0,0,13.69
1,3,76,58,67,0,0,10.94
1,4,103,64,74,0,0,16.80
1,5,57,35,32,0,0,11.80
1,6,156,76,81,0,0,9.92
1,7,72,45,52,0,0,10.51
1,8,91,56,67,0,0,11.78
1,9,35,14,22,5,1,10.63
1,10,21,11,17,8,3,10.53
1,11,2,2,2,0,0,5.52
1,12,132,74,86,0,0,7.39
1,13,66,56,52,0,0,11.12
1,14,74,32,44,0,0,9.64
1,15,16,12,10,7,9,10.22
1,16,43,22,27,1,0,12.37
1,17,33,25,29,0,0,8.49
1,18,57,34,39,0,0,8.98
1,19,2,2,2,0,0,4.43
1,20,101,43,38,0,0,11.40
1,21,7,7,9,8,10,7.06
1,22,26,19,21,2,1,9.37
1,23,87,33,34,0,0,7.69
1,24,146,56,59,0,0,9.07
1,25,44,25,29,0,0,8.94
1,26,86,49,57,0,0,13.99
1,27,15,17,21,3,1,13.88
1,28,57,40,35,0,0,9.18
1,29,97,61,57,0,0,11.20
1,30,20,19,21,2,1,9.99
1,31,24,19,24,2,0,12.06
1,32,60,46,50,0,0,16.44
1,33,29,20,17,2,3,6.67
1,34,14,10,12,9,7,12.55
1,35,8,7,9,8,10,6.34
1,36,35,28,31,0,0,13.99
1,37,82,42,37,0,0,6.23
1,38,105,54,47,0,0,12.09
1,39,14,10,14,9,5,10.62
1,40,139,63,71,0,0,14.17
1,41,63,51,42,0,0,10.80
1,42,3,3,3,0,0,3.71
1,43,44,34,37,0,0,6.30
1,44,106,73,79,0,0,9.23
1,45,28,21,27,1,0,8.57
1,46,11,10,12,9,7,8.31
1,47,8,7,8,8,9,5.01
1,48,5,5,5,4,4,3.99
1,49,23,26,28,0,0,8.00
1,50,19,18,21,3,1,8.12
1,51,25,25,31,0,0,10.77
1,52,21,20,25,2,0,9.36
1,53,17,18,24,3,0,5.61
1,54,73,44,39,0,0,8.54
1,55,22,27,31,0,0,5.66
1,56,29,38,32,0,0,11.20
1,57,56,37,41,0,0,10.34
1,58,27,17,21,3,1,7.10
1,59,97,67,59,0,0,7.76
1,60,3,3,3,0,0,4.01
1,61,8,8,9,9,10,5.41
1,62,8,8,8,9,9,4.27
1,63,66,54,44,0,0,8.28
1,64,27,36,32,0,0,9.40
1,65,160,67,71,0,0,6.80
1,66,37,29,33,0,0,9.71
1,67,153,73,80,0,0,11.40
1,68,42,28,31,0,0,11.60
1,69,5,5,5,4,4,3.26
1,70,35,27,36,0,0,8.44
1,71,55,56,61,0,0,10.12
1,72,189,71,69,0,0,5.50
1,73,9,11,15,8,5,6.44
1,74,18,17,15,3,5,8.58
1,75,113,43,49,0,0,7.57
1,76,17,16,20,4,2,12.87
1,77,20,13,17,6,3,6.87
1,78,13,16,21,4,1,8.87
1,79,7,8,9,9,10,5.59
1,80,65,62,52,0,0,12.62
1,81,14,21,28,1,0,9.82
1,82,39,23,31,0,0,10.57
1,83,4,4,4,2,2,2.68
1,84,64,34,37,0,0,8.71
1,85,24,22,28,1,0,7.98
1,86,113,59,63,0,0,7.45
1,87,18,19,22,2,1,9.07
1,88,11,18,15,3,5,8.17
1,89,33,29,34,0,0,6.41
1,90,11,13,19,6,2,9.24
1,91,24,29,34,0,0,11.41
1,92,80,54,62,0,0,12.05
1,93,27,17,24,3,0,8.27
1,94,15,13,16,6,4,5.89
1,95,26,19,24,2,0,8.20
1,96,3,3,3,0,0,2.15
1,97,80,64,57,0,0,9.25
1,98,50,43,38,0,0,5.05
1,99,8,8,10,9,9,7.52
1,100,45,32,39,0,0,6.14
1,101,35,37,41,0,0,10.06
1,102,10,9,13,10,6,5.55
1,103,73,34,49,0,0,12.37
1,104,24,18,25,3,0,6.11
1,105,8,8,10,9,9,4.76
1,106,41,43,57,0,0,6.66
1,107,13,13,15,6,5,3.24
1,108,18,17,15,3,5,3.69
1,109,50,56,61,0,0,8.94
1,110,24,21,25,1,0,5.74
1,111,88,54,57,0,0,9.05
1,112,18,16,19,4,2,7.14
1,113,5,5,5,4,4,2.29
1,114,5,5,5,4,4,2.33
1,115,38,36,41,0,0,7.87
1,116,22,22,27,1,0,4.77
1,117,55,37,43,0,0,8.76
1,118,56,29,36,0,0,6.47
1,119,11,15,19,5,2,6.00
1,120,14,11,13,8,6,6.91
1,121,103,56,54,0,0,7.00
1,122,85,43,47,0,0,8.29
1,123,28,13,21,6,1,5.36
1,124,47,25,31,0,0,10.12
1,125,153,69,73,0,0,7.04
1,126,130,46,54,0,0,5.89
1,127,18,13,19,6,2,4.37
1,128,141,54,69,0,0,5.79
1,129,70,43,37,0,0,5.16
1,130,47,27,31,0,0,5.79
1,131,49,27,34,0,0,10.41
1,132,38,27,31,0,0,11.47
1,133,31,15,19,5,2,7.67
