run,index,num_dots,answer1,answer2,points1,points2,time
1,1,11,15,13,5,6,8.68
1,2,82,50,50,0,0,4.25
1,3,69,60,60,0,0,3.46
1,4,3,3,3,0,0,1.87
1,5,71,75,67,0,0,4.16
1,6,46,60,60,0,0,5.38
1,7,11,9,9,10,10,3.29
1,8,22,30,30,0,0,2.65
1,9,42,50,50,0,0,2.87
1,10,70,80,80,0,0,2.07
1,11,149,60,60,0,0,5.95
1,12,24,19,20,2,2,4.61
1,13,6,6,6,6,6,4.56
1,14,28,36,34,0,0,5.59
1,15,15,16,18,4,3,5.87
1,16,46,38,38,0,0,5.51
1,17,5,4,4,2,2,1.50
1,18,20,18,19,3,2,4.14
1,19,6,6,6,6,6,2.61
1,20,2,2,2,0,0,1.24
1,21,54,40,40,0,0,3.15
1,22,22,60,60,0,0,1.76
1,23,24,30,30,0,0,2.57
1,24,3,3,3,0,0,1.01
1,25,65,65,65,0,0,3.54
1,26,46,45,45,0,0,3.57
1,27,80,69,68,0,0,3.67
1,28,4,4,4,2,2,1.61
1,29,29,3,35,0,0,2.94
1,30,16,45,45,0,0,2.07
1,31,85,80,80,0,0,1.99
1,32,2,2,2,0,0,1.03
1,33,44,45,43,0,0,3.56
1,34,80,67,68,0,0,3.25
1,35,41,76,67,0,0,2.63
1,36,23,23,21,0,1,4.17
1,37,102,76,78,0,0,3.79
1,38,31,23,21,0,1,2.67
1,39,17,11,12,8,7,2.73
1,40,92,87,79,0,0,3.02
1,41,76,54,52,0,0,6.34
1,42,17,13,14,6,5,6.75
1,43,45,23,21,0,1,3.28
1,44,5,5,5,4,4,1.32
1,45,8,7,7,8,8,2.31
1,46,66,34,33,0,0,2.88
1,47,39,34,33,0,0,3.64
1,48,44,32,32,0,0,3.87
1,49,8,10,9,9,10,2.96
1,50,22,18,17,3,3,4.19
1,51,113,65,67,0,0,6.75
1,52,60,76,78,0,0,2.74
1,53,7,7,6,8,6,2.98
1,54,173,78,76,0,0,4.51
1,55,25,19,20,2,2,3.57
1,56,91,79,82,0,0,3.41
1,57,11,9,8,10,9,2.81
1,58,127,67,64,0,0,3.06
