run,index,num_dots,answer1,answer2,points1,points2,time
1,1,9,9,7,10,8,9.46
1,2,70,40,35,0,0,10.33
1,3,27,20,25,2,0,7.87
1,4,47,30,25,0,0,5.74
1,5,5,5,6,4,6,7.79
1,6,21,14,16,5,4,7.97
1,7,78,40,30,0,0,4.83
1,8,45,50,55,0,0,11.27
1,9,123,70,75,0,0,6.99
1,10,4,4,5,2,4,2.71
1,11,155,70,80,0,0,13.44
1,12,67,50,55,0,0,3.91
1,13,37,30,35,0,0,4.74
1,14,54,30,40,0,0,3.51
1,15,62,40,45,0,0,4.58
1,16,80,40,45,0,0,4.89
1,17,307,100,105,0,0,9.49
1,18,18,20,18,2,3,12.39
1,19,64,40,35,0,0,3.77
1,20,20,25,20,0,2,9.34
1,21,49,40,45,0,0,3.44
1,22,30,30,35,0,0,11.40
1,23,33,20,25,2,0,9.67
1,24,40,20,30,2,0,4.55
1,25,62,30,45,0,0,4.38
1,26,26,20,25,2,0,9.37
1,27,12,10,15,9,5,7.35
1,28,11,12,15,7,5,6.52
1,29,78,30,40,0,0,5.54
1,30,86,70,80,0,0,4.54
1,31,23,20,25,2,0,8.65
1,32,43,35,45,0,0,3.77
1,33,2,2,2,0,0,4.14
1,34,105,60,70,0,0,3.61
1,35,18,15,20,5,2,6.91
1,36,7,7,10,8,9,4.09
1,37,60,50,60,0,0,3.86
1,38,90,70,65,0,0,3.42
1,39,56,30,35,0,0,4.39
1,40,15,15,20,5,2,6.49
1,41,54,40,50,0,0,4.07
1,42,50,40,60,0,0,4.32
1,43,26,20,25,2,0,7.50
1,44,22,15,20,5,2,7.85
1,45,24,20,30,2,0,2.62
1,46,9,10,15,9,5,7.34
1,47,12,12,15,7,5,5.14
1,48,9,9,10,10,9,4.73
1,49,67,30,50,0,0,4.56
1,50,25,20,25,2,0,4.27
1,51,104,50,60,0,0,3.05
1,52,8,8,10,9,9,4.69
1,53,88,40,50,0,0,2.83
1,54,67,50,60,0,0,2.91
1,55,7,7,10,8,9,4.18
1,56,9,8,10,9,9,4.34
1,57,5,5,7,4,8,3.21
1,58,13,12,14,7,5,5.64
1,59,50,20,25,2,0,6.45
1,60,65,35,45,0,0,2.62
1,61,12,15,20,5,2,7.83
1,62,100,50,60,0,0,2.59
1,63,8,10,12,9,7,4.84
1,64,126,60,70,0,0,2.92
1,65,13,12,15,7,5,8.39
1,66,37,20,30,2,0,3.71
1,67,8,7,10,8,9,3.92
1,68,41,30,40,0,0,4.13
1,69,15,10,15,9,5,5.99
1,70,42,30,40,0,0,3.54
1,71,42,25,40,0,0,6.52
1,72,59,30,45,0,0,3.69
1,73,19,20,25,2,0,4.18
1,74,109,50,60,0,0,3.51
1,75,42,30,45,0,0,3.95
1,76,2,2,2,0,0,1.72
1,77,19,20,30,2,0,6.83
1,78,90,45,55,0,0,3.60
1,79,3,2,3,0,0,2.33
1,80,95,50,60,0,0,4.54
1,81,29,30,35,0,0,21.20
1,82,151,50,60,0,0,4.09
1,83,28,20,25,2,0,3.12
1,84,4,4,5,2,4,1.99
1,85,41,35,20,0,2,4.44
1,86,14,10,15,9,5,5.32
1,87,5,5,7,4,8,3.14
1,88,30,30,35,0,0,7.32
1,89,16,15,20,5,2,5.29
1,90,11,10,15,9,5,7.32
1,91,22,20,25,2,0,11.86
1,92,7,6,7,6,8,2.97
1,93,57,40,50,0,0,4.74
1,94,14,15,20,5,2,4.56
1,95,200,70,75,0,0,5.49
1,96,5,5,6,4,6,2.97
1,97,35,25,30,0,0,4.72
1,98,94,50,60,0,0,3.32
1,99,95,60,70,0,0,1.96
1,100,44,30,40,0,0,5.11
1,101,187,70,80,0,0,3.03
1,102,22,20,30,2,0,3.82
1,103,3,3,3,0,0,2.64
1,104,6,6,7,6,8,3.51
1,105,33,25,35,0,0,3.06
1,106,11,10,12,9,7,5.59
1,107,25,20,25,2,0,6.11
1,108,8,8,10,9,9,5.04
1,109,20,15,2,5,0,4.21
1,110,50,20,25,2,0,10.81
1,111,26,20,25,2,0,14.04
1,112,9,8,10,9,9,5.38
1,113,20,15,25,5,0,3.84
1,114,28,35,40,0,0,6.50
1,115,69,35,45,0,0,4.04
1,116,53,35,40,0,0,7.04
1,117,2,2,2,0,0,1.81
1,118,25,30,35,0,0,5.22
1,119,40,25,35,0,0,6.86
1,120,56,40,45,0,0,2.47
1,121,12,10,15,9,5,4.80
1,122,12,10,12,9,7,6.05
1,123,65,25,35,0,0,3.07
1,124,22,15,20,5,2,3.74
1,125,49,25,35,0,0,4.84
1,126,71,35,45,0,0,6.97
1,127,83,40,45,0,0,4.19
1,128,76,40,45,0,0,6.16
1,129,106,50,55,0,0,1.87
1,130,40,35,40,0,0,3.38
1,131,48,20,30,2,0,7.43
1,132,3,3,3,0,0,2.21
1,133,8,9,10,10,9,4.67
1,134,49,25,30,0,0,4.96
1,135,16,15,20,5,2,3.26
1,136,139,45,50,0,0,3.07
1,137,24,20,25,2,0,5.86
1,138,51,25,35,0,0,9.29
1,139,34,15,20,5,2,5.94
1,140,43,25,35,0,0,4.61
1,141,197,80,90,0,0,6.86
1,142,90,85,80,0,0,9.89
1,143,91,45,50,0,0,4.67
1,144,27,25,20,0,2,7.34
1,145,46,25,30,0,0,4.74
1,146,133,70,80,0,0,6.05
1,147,46,20,25,2,0,6.76
1,148,92,35,40,0,0,3.67
1,149,55,20,25,2,0,7.16
1,150,56,25,26,0,0,11.19
2,12,67,40,45,0,0,12.67
2,138,51,35,40,0,0,13.00
2,44,22,15,20,5,2,6.46
2,78,90,45,50,0,0,5.39
2,7,78,30,34,0,0,10.30
2,96,5,5,6,4,6,2.79
2,41,54,50,55,0,0,7.71
2,34,105,60,65,0,0,4.86
2,63,8,10,12,9,7,5.96
2,105,33,35,40,0,0,8.94
2,129,106,60,55,0,0,8.57
2,32,43,25,30,0,0,9.51
2,67,8,9,10,10,9,4.94
2,140,43,50,55,0,0,11.14
2,121,12,10,15,9,5,4.80
2,23,33,25,35,0,0,5.84
2,65,13,10,12,9,7,7.82
2,24,40,30,25,0,0,7.18
2,137,24,30,35,0,0,6.63
2,4,47,55,60,0,0,5.12
2,18,18,15,20,5,2,6.30
2,71,42,40,45,0,0,4.01
2,74,109,65,7,0,8,5.37
2,135,16,20,25,2,0,5.33
2,128,76,45,50,0,0,9.34
2,25,62,45,50,0,0,3.65
2,88,30,20,30,2,0,4.64
2,52,8,9,10,10,9,4.41
2,80,95,65,70,0,0,5.02
2,106,11,10,12,9,7,6.34
2,103,3,3,3,0,0,2.27
2,9,123,55,65,0,0,10.67
2,30,86,50,55,0,0,6.47
2,82,151,65,70,0,0,3.82
2,17,307,80,90,0,0,3.39
2,3,27,25,30,0,0,4.52
2,72,59,30,3,0,0,10.15
2,89,16,30,35,0,0,8.78
2,111,26,20,25,2,0,5.54
2,99,95,45,50,0,0,13.42
2,35,18,15,20,5,2,5.37
2,109,20,15,20,5,2,7.51
2,136,139,45,50,0,0,12.07
2,14,54,50,55,0,0,8.36
2,113,20,15,20,5,2,7.65
2,147,46,40,45,0,0,19.75
2,70,42,20,25,2,0,11.59
2,79,3,3,3,0,0,2.59
2,5,5,5,6,4,6,3.11
2,145,46,20,25,2,0,11.60
2,94,14,15,16,5,4,9.29
2,31,23,15,20,5,2,8.01
2,86,14,15,17,5,3,6.50
2,62,100,40,45,0,0,7.19
2,131,48,30,35,0,0,5.33
2,84,4,4,4,2,2,1.86
2,104,6,6,6,6,6,2.82
2,43,26,15,20,5,2,5.58
2,90,11,10,15,9,5,5.62
2,73,19,15,20,5,2,7.42
2,39,56,45,50,0,0,10.46
2,37,60,35,40,0,0,10.19
2,56,9,10,12,9,7,6.16
2,97,35,25,35,0,0,4.91
2,107,25,25,35,0,0,6.66
2,57,5,5,6,4,6,4.39
2,1,9,10,11,9,8,4.93
2,102,22,15,20,5,2,7.66
2,133,8,9,10,10,9,3.37
2,21,49,25,30,0,0,12.15
2,11,155,50,60,0,0,11.72
2,101,187,80,90,0,0,4.24
2,55,7,8,9,9,10,9.97
2,28,11,10,11,9,8,6.81
2,117,2,2,2,0,0,1.72
2,33,2,2,2,0,0,1.78
2,16,80,40,45,0,0,16.51
2,110,50,30,35,0,0,7.39
2,98,94,40,45,0,0,10.15
2,8,45,35,45,0,0,7.34
2,59,50,45,50,0,0,8.05
2,27,12,15,16,5,4,6.49
2,85,41,25,30,0,0,11.19
2,66,37,25,30,0,0,9.70
2,75,42,25,35,0,0,11.00
2,139,34,20,25,2,0,9.15
2,58,13,12,15,7,5,7.02
2,60,65,30,35,0,0,8.35
2,141,197,65,70,0,0,3.81
2,6,21,20,25,2,0,7.38
2,124,22,20,25,2,0,8.03
2,142,90,40,45,0,0,7.92
2,150,56,25,35,0,0,8.55
2,51,104,60,65,0,0,9.14
2,127,83,65,60,0,0,10.52
2,53,88,50,55,0,0,9.29
2,93,57,35,40,0,0,8.44
2,91,22,25,30,0,0,9.30
2,123,65,30,35,0,0,11.87
2,77,19,25,28,0,0,13.09
2,54,67,35,40,0,0,11.95
2,81,29,20,25,2,0,6.50
2,112,9,10,12,9,7,5.69
2,119,40,30,35,0,0,9.32
2,69,15,15,20,5,2,4.82
2,45,24,20,25,2,0,6.57
2,144,27,20,25,2,0,7.30
2,22,30,20,25,2,0,7.35
2,47,12,15,20,5,2,8.00
2,40,15,15,16,5,4,6.91
2,116,53,35,45,0,0,10.25
2,19,64,35,40,0,0,7.59
2,108,8,10,8,9,9,5.32
2,48,9,8,9,9,10,3.27
2,29,78,65,70,0,0,5.60
2,61,12,10,12,9,7,6.05
2,26,26,20,25,2,0,6.26
2,64,126,65,75,0,0,10.19
2,95,200,85,95,0,0,3.34
2,15,62,45,55,0,0,10.29
2,38,90,45,50,0,0,8.29
2,46,9,10,12,9,7,5.89
2,42,50,30,35,0,0,7.00
2,87,5,5,6,4,6,3.14
2,146,133,70,75,0,0,7.22
2,2,70,25,35,0,0,8.31
2,122,12,15,18,5,3,8.52
2,118,25,15,18,5,3,7.25
2,132,3,3,3,0,0,2.42
2,143,91,45,50,0,0,6.77
2,92,7,7,8,8,9,2.49
2,49,67,40,45,0,0,8.49
2,76,2,2,2,0,0,2.02
2,50,25,30,35,0,0,4.91
2,10,4,4,4,2,2,1.74
2,114,28,25,35,0,0,6.13
2,20,20,20,25,2,0,5.08
2,115,69,35,40,0,0,3.82
2,149,55,35,30,0,0,9.29
2,120,56,35,40,0,0,10.10
2,134,49,35,40,0,0,11.86
2,125,49,30,35,0,0,3.61
2,100,44,25,30,0,0,5.66
2,13,37,35,40,0,0,6.87
2,126,71,35,40,0,0,2.69
2,83,28,25,30,0,0,8.39
2,148,92,50,60,0,0,6.49
2,130,40,25,30,0,0,8.46
2,36,7,7,8,8,9,2.27
2,68,41,25,30,0,0,6.29
