run,index,num_dots,answer1,answer2,points1,points2,time
1,1,109,100,85,0,0,14.22
1,2,5,5,6,4,6,5.38
1,3,66,58,55,0,0,11.64
1,4,152,78,69,0,0,12.00
1,5,39,35,42,0,0,6.82
1,6,61,54,57,0,0,9.70
1,7,36,35,39,0,0,9.20
1,8,51,48,53,0,0,10.80
1,9,36,46,57,0,0,11.81
1,10,49,38,45,0,0,6.63
1,11,39,45,49,0,0,8.95
1,12,38,38,43,0,0,6.50
1,13,85,56,63,0,0,7.97
1,14,42,43,49,0,0,11.21
1,15,62,56,63,0,0,5.89
1,16,39,39,48,0,0,5.91
1,17,104,69,75,0,0,7.04
1,18,11,9,10,10,9,6.14
1,19,4,4,4,2,2,2.22
1,20,20,15,21,5,1,8.53
1,21,9,8,9,9,10,3.66
1,22,17,12,14,7,5,5.74
1,23,11,11,12,8,7,4.51
1,24,121,75,80,0,0,8.44
1,25,8,7,8,8,9,2.99
1,26,30,25,21,0,1,5.24
1,27,20,15,18,5,3,6.96
1,28,12,13,15,6,5,5.67
1,29,29,25,30,0,0,9.59
1,30,26,21,25,1,0,6.54
1,31,47,45,52,0,0,12.52
1,32,67,56,63,0,0,10.09
1,33,107,65,69,0,0,9.77
1,34,144,75,79,0,0,8.09
1,35,84,53,59,0,0,12.97
1,36,43,25,34,0,0,6.46
1,37,50,35,39,0,0,4.23
1,38,13,11,14,8,5,5.47
1,39,4,4,4,2,2,1.76
1,40,16,15,17,5,3,5.69
1,41,66,32,38,0,0,7.19
1,42,31,25,28,0,0,4.91
1,43,122,45,58,0,0,5.34
1,44,22,21,28,1,0,8.79
1,45,56,29,36,0,0,5.80
1,46,29,25,37,0,0,7.64
1,47,7,7,8,8,9,3.19
1,48,21,14,18,5,3,6.51
1,49,18,16,21,4,1,8.02
1,50,46,28,34,0,0,7.81
1,51,30,25,34,0,0,7.25
1,52,59,36,45,0,0,4.97
1,53,33,24,32,0,0,8.81
1,54,60,29,36,0,0,5.87
1,55,24,20,25,2,0,10.42
1,56,60,35,42,0,0,7.57
1,57,102,55,62,0,0,11.01
1,58,169,69,75,0,0,7.76
1,59,4,4,4,2,2,1.94
1,60,46,25,32,0,0,18.55
1,61,20,23,27,0,0,9.74
1,62,4,13,25,6,0,20.92
1,63,66,39,48,0,0,11.70
1,64,3,3,3,0,0,1.59
1,65,29,28,35,0,0,8.03
1,66,32,37,41,0,0,6.64
1,67,37,37,42,0,0,8.46
1,68,53,39,45,0,0,5.82
