run,index,num_dots,answer1,answer2,points1,points2,time
1,1,37,29,19,0,2,12.78
1,2,2,2,2,0,0,3.39
1,3,38,20,25,2,0,6.66
1,4,69,30,28,0,0,5.32
1,5,27,14,15,5,5,4.03
1,6,8,8,9,9,10,4.56
1,7,34,12,14,7,5,4.11
1,8,172,35,37,0,0,5.61
1,9,3,3,3,0,0,2.57
1,10,189,40,47,0,0,5.45
1,11,25,13,15,6,5,5.40
1,12,66,20,25,2,0,5.89
1,13,4,4,5,2,4,3.04
1,14,70,30,27,0,0,5.42
1,15,30,15,18,5,3,5.37
1,16,24,15,16,5,4,5.69
1,17,81,28,27,0,0,6.09
1,18,8,6,7,6,8,3.18
1,19,81,30,28,0,0,8.02
1,20,53,18,19,3,2,4.56
1,21,14,12,14,7,5,4.90
1,22,45,20,25,2,0,3.99
1,23,24,26,20,0,2,7.04
1,24,51,27,25,0,0,5.17
1,25,26,15,17,5,3,3.76
1,26,30,18,15,3,5,4.11
1,27,54,30,33,0,0,4.49
1,28,91,48,47,0,0,4.50
1,29,83,49,47,0,0,4.39
1,30,35,16,18,4,3,3.87
1,31,72,45,43,0,0,4.23
1,32,71,38,37,0,0,6.04
1,33,6,5,6,4,6,2.46
1,34,86,38,28,0,0,3.92
1,35,45,17,19,3,2,3.41
1,36,68,27,28,0,0,3.22
1,37,44,18,17,3,3,3.87
1,38,119,35,33,0,0,5.09
1,39,39,22,25,1,0,2.94
1,40,15,10,9,9,10,3.44
1,41,92,45,48,0,0,3.16
1,42,43,26,27,0,0,2.91
1,43,24,14,13,5,6,4.19
1,44,6,6,7,6,8,6.49
1,45,13,10,12,9,7,3.66
1,46,36,19,20,2,2,3.67
1,47,132,50,47,0,0,8.70
1,48,11,9,8,10,9,4.19
1,49,11,20,10,2,9,4.59
1,50,38,15,13,5,6,5.79
1,51,23,13,12,6,7,5.90
1,52,34,19,18,2,3,2.90
1,53,82,34,36,0,0,5.02
1,54,22,12,13,7,6,3.37
1,55,65,30,29,0,0,5.81
1,56,7,6,7,6,8,4.21
1,57,47,20,22,2,1,3.49
1,58,30,23,25,0,0,3.69
1,59,24,12,14,7,5,4.06
1,60,6,5,6,4,6,2.52
1,61,8,1,13,0,6,7.23
1,62,54,22,24,1,0,5.70
1,63,35,17,18,3,3,2.32
1,64,204,59,62,0,0,5.87
1,65,42,25,27,0,0,4.37
1,66,15,10,12,9,7,3.91
1,67,40,17,19,3,2,3.14
1,68,26,12,13,7,6,4.02
1,69,80,28,34,0,0,5.77
1,70,143,29,33,0,0,4.23
1,71,75,33,31,0,0,6.67
1,72,67,19,20,2,2,3.41
1,73,16,9,12,10,7,4.27
1,74,51,15,17,5,3,3.16
1,75,5,5,6,4,6,4.26
