run,index,num_dots,answer1,answer2,points1,points2,time
1,1,74,42,55,0,0,20.87
1,2,38,37,48,0,0,9.59
1,3,150,70,85,0,0,4.44
1,4,86,65,78,0,0,5.05
1,5,17,15,12,5,7,4.32
1,6,116,68,70,0,0,7.78
1,7,11,8,9,9,10,3.47
1,8,24,17,24,3,0,4.32
1,9,42,30,28,0,0,8.54
1,10,27,25,32,0,0,11.25
1,11,76,80,76,0,0,6.68
1,12,147,115,130,0,0,4.82
1,13,10,9,7,10,8,3.11
1,14,28,37,41,0,0,4.47
1,15,12,8,10,9,9,4.32
1,16,7,10,11,9,8,3.89
1,17,17,18,21,3,1,3.25
1,18,9,13,15,6,5,3.80
1,19,46,38,42,0,0,7.05
1,20,8,8,9,9,10,3.69
1,21,2,2,2,0,0,2.73
1,22,6,6,7,6,8,2.69
1,23,48,30,34,0,0,5.66
1,24,35,48,52,0,0,4.31
1,25,30,39,30,0,0,3.24
1,26,13,29,33,0,0,4.41
1,27,47,69,58,0,0,6.27
1,28,104,80,90,0,0,3.37
1,29,75,115,125,0,0,3.29
1,30,4,4,5,2,4,1.39
1,31,39,50,60,0,0,7.78
1,32,51,70,65,0,0,3.76
1,33,11,25,15,0,5,3.41
1,34,17,26,30,0,0,5.64
1,35,53,50,57,0,0,4.59
1,36,40,60,55,0,0,5.44
1,37,38,50,45,0,0,3.39
1,38,90,146,130,0,0,5.43
1,39,30,30,35,0,0,5.84
1,40,5,6,5,6,4,2.51
1,41,39,70,80,0,0,5.27
1,42,110,180,200,0,0,3.41
1,43,61,90,80,0,0,4.69
1,44,49,80,57,0,0,5.96
1,45,59,50,40,0,0,6.72
1,46,101,180,160,0,0,4.22
1,47,55,160,150,0,0,3.67
1,48,3,3,3,0,0,1.54
1,49,17,25,26,0,0,3.58
1,50,86,80,90,0,0,12.60
1,51,83,130,140,0,0,5.68
1,52,29,28,37,0,0,5.24
1,53,162,200,180,0,0,3.09
1,54,5,6,7,6,8,1.84
1,55,32,40,48,0,0,6.93
1,56,7,12,14,7,5,5.02
1,57,43,38,28,0,0,5.64
1,58,88,100,90,0,0,2.72
1,59,56,70,60,0,0,4.14
1,60,73,80,70,0,0,2.16
1,61,54,80,70,0,0,3.26
1,62,82,99,90,0,0,5.50
1,63,11,14,15,5,5,3.12
1,64,65,76,59,0,0,6.43
1,65,11,18,20,3,2,3.21
1,66,108,70,65,0,0,4.95
1,67,36,30,28,0,0,3.22
1,68,28,40,30,0,0,4.36
1,69,114,90,100,0,0,5.02
1,70,8,10,11,9,8,3.21
1,71,3,3,3,0,0,1.48
1,72,7,12,13,7,6,2.12
1,73,69,30,35,0,0,3.37
1,74,110,60,70,0,0,3.37
1,75,46,40,50,0,0,2.43
1,76,35,70,80,0,0,2.12
1,77,77,80,90,0,0,2.12
1,78,69,100,105,0,0,2.58
1,79,12,20,18,2,3,2.76
1,80,26,30,35,0,0,3.12
1,81,8,15,20,5,2,3.39
1,82,38,30,35,0,0,2.07
1,83,33,40,45,0,0,5.22
1,84,32,35,40,0,0,4.24
1,85,16,21,18,1,3,3.87
1,86,32,31,25,0,0,7.52
1,87,45,40,35,0,0,3.42
1,88,7,9,11,10,8,3.45
1,89,37,30,25,0,0,4.13
1,90,21,25,28,0,0,5.41
1,91,136,120,130,0,0,5.04
1,92,7,7,6,8,6,2.84
1,93,4,4,4,2,2,1.61
1,94,32,28,35,0,0,4.74
1,95,23,40,38,0,0,3.18
1,96,90,90,75,0,0,3.47
1,97,152,120,140,0,0,3.12
1,98,7,20,17,2,3,3.24
1,99,13,17,15,3,5,3.04
1,100,93,80,90,0,0,4.52
1,101,84,100,80,0,0,5.21
1,102,6,15,12,5,7,4.42
1,103,26,28,33,0,0,6.79
1,104,53,65,55,0,0,3.51
1,105,43,45,55,0,0,2.69
1,106,51,57,65,0,0,3.89
1,107,14,18,20,3,2,3.68
1,108,17,20,18,2,3,4.32
1,109,28,30,35,0,0,6.31
1,110,132,90,100,0,0,3.96
