sid,year,date,type,stimulus,response,rt1,rt2
144,2012,2012-03-21.1741,train,3,3,1.213,1.529
144,2012,2012-03-21.1741,train,7,7,2.048,3.906
144,2012,2012-03-21.1741,train,22,22,3.467,4.959
144,2012,2012-03-21.1741,train,164,164,2.515,6.828
144,2012,2012-03-21.1741,train,50,50,1.140,2.588
144,2012,2012-03-21.1741,test,60,15,3.692,10.032
144,2012,2012-03-21.1741,test,3,3,1.574,2.287
144,2012,2012-03-21.1741,test,90,20,2.878,5.643
144,2012,2012-03-21.1741,test,60,19,3.973,5.876
144,2012,2012-03-21.1741,test,75,16,3.261,4.574
144,2012,2012-03-21.1741,test,60,25,2.848,4.658
144,2012,2012-03-21.1741,test,8,5,2.656,3.890
144,2012,2012-03-21.1741,test,15,9,4.631,6.110
144,2012,2012-03-21.1741,test,15,11,3.844,5.676
144,2012,2012-03-21.1741,test,8,3,4.297,5.492
144,2012,2012-03-21.1741,test,8,3,2.207,2.838
144,2012,2012-03-21.1741,test,90,20,3.786,5.760
144,2012,2012-03-21.1741,test,120,40,2.609,3.973
144,2012,2012-03-21.1741,test,3,3,0.957,1.486
144,2012,2012-03-21.1741,test,90,35,3.696,4.908
144,2012,2012-03-21.1741,test,30,15,4.806,6.027
144,2012,2012-03-21.1741,test,8,6,2.124,2.571
144,2012,2012-03-21.1741,test,120,25,4.515,7.462
144,2012,2012-03-21.1741,test,30,7,3.631,4.808
144,2012,2012-03-21.1741,test,8,5,2.904,3.806
144,2012,2012-03-21.1741,test,120,22,1.825,3.356
144,2012,2012-03-21.1741,test,40,15,5.944,7.813
144,2012,2012-03-21.1741,test,25,20,3.637,4.841
144,2012,2012-03-21.1741,test,3,3,0.925,1.619
144,2012,2012-03-21.1741,test,12,4,2.572,3.506
144,2012,2012-03-21.1741,test,12,4,5.699,6.478
144,2012,2012-03-21.1741,test,30,10,2.606,5.376
144,2012,2012-03-21.1741,test,60,21,2.362,14.891
144,2012,2012-03-21.1741,test,75,23,4.228,6.528
144,2012,2012-03-21.1741,test,120,12,9.741,11.001
144,2012,2012-03-21.1741,test,15,7,5.470,7.012
144,2012,2012-03-21.1741,test,20,6,4.484,5.442
144,2012,2012-03-21.1741,test,20,7,5.756,6.694
144,2012,2012-03-21.1741,test,60,31,3.494,5.025
144,2012,2012-03-21.1741,test,15,11,5.239,6.544
144,2012,2012-03-21.1741,test,40,21,2.471,3.740
144,2012,2012-03-21.1741,test,50,30,3.949,5.609
144,2012,2012-03-21.1741,test,15,4,2.774,3.990
144,2012,2012-03-21.1741,test,25,6,3.153,3.739
144,2012,2012-03-21.1741,test,8,5,1.920,2.387
144,2012,2012-03-21.1741,test,3,3,1.149,1.536
144,2012,2012-03-21.1741,test,7,6,1.704,2.087
144,2012,2012-03-21.1741,test,30,10,1.065,1.970
144,2012,2012-03-21.1741,test,30,10,2.167,3.289
144,2012,2012-03-21.1741,test,60,50,4.703,6.761
144,2012,2012-03-21.1741,test,90,47,5.344,7.963
144,2012,2012-03-21.1741,test,3,3,2.400,4.207
144,2012,2012-03-21.1741,test,30,24,9.778,20.951
144,2012,2012-03-21.1741,test,25,42,6.589,8.180
144,2012,2012-03-21.1741,test,4,3,3.442,4.140
144,2012,2012-03-21.1741,test,90,6,2.108,2.604
144,2012,2012-03-21.1741,test,3,3,1.114,3.005
144,2012,2012-03-21.1741,test,120,50,1.920,8.063
144,2012,2012-03-21.1741,test,60,24,2.194,3.623
144,2012,2012-03-21.1741,test,40,15,1.976,4.307
144,2012,2012-03-21.1741,test,7,5,4.664,5.509
144,2012,2012-03-21.1741,test,60,22,7.876,10.868
144,2012,2012-03-21.1741,test,50,24,2.875,4.090
144,2012,2012-03-21.1741,test,8,8,5.977,7.429
144,2012,2012-03-21.1741,test,50,20,2.812,4.224
144,2012,2012-03-21.1741,test,15,13,4.951,7.295
144,2012,2012-03-21.1741,test,25,8,6.735,7.312
144,2012,2012-03-21.1741,test,50,20,2.963,4.257
144,2012,2012-03-21.1741,test,8,6,1.827,2.304
144,2012,2012-03-21.1741,test,90,34,7.979,10.317
144,2012,2012-03-21.1741,test,3,3,1.298,1.686
144,2012,2012-03-21.1741,test,30,10,1.779,2.471
144,2012,2012-03-21.1741,test,40,12,3.554,4.324
144,2012,2012-03-21.1741,test,8,5,2.487,3.339
144,2012,2012-03-21.1741,test,12,8,5.309,5.926
144,2012,2012-03-21.1741,test,60,41,4.072,5.643
144,2012,2012-03-21.1741,test,15,26,8.678,14.474
144,2012,2012-03-21.1741,test,90,32,4.252,10.217
144,2012,2012-03-21.1741,test,90,24,6.549,8.147
144,2012,2012-03-21.1741,test,12,8,3.964,4.674
144,2012,2012-03-21.1741,test,3,21,4.986,7.279
144,2012,2012-03-21.1741,test,8,7,5.166,5.993
144,2012,2012-03-21.1741,test,60,22,6.538,7.579
144,2012,2012-03-21.1741,test,15,21,5.609,10.651
144,2012,2012-03-21.1741,test,120,34,3.389,8.464
144,2012,2012-03-21.1741,test,30,31,9.150,10.701
